actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-07T01:10:29.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-07T01:10:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-01-07T01:10:30.8Z,1,REGULAR,jumpball,recovered,[],1631110,,,1610612759,0,0,2025-01-07T01:10:30Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. N. Vučević: Tip to J. Sochan,"[1631110, 1641705, 202696]",1610612759.0,SAS,startperiod,J. Sochan,1631110.0,Sochan,J. Sochan,Wembanyama,1641705.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-01-07T01:10:45.0Z,1,REGULAR,turnover,bad pass,[],1641705,,,1610612759,0,0,2025-01-07T01:10:51Z,70000,False,,,0,,V. Wembanyama bad pass TURNOVER (1 TO),"[1641705, 1629632]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Right,1.0,White,1629632.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-01-07T01:10:45.0Z,1,REGULAR,steal,,[],1629632,,,1610612741,0,0,2025-01-07T01:10:46Z,80000,False,,,0,,C. White STEAL (1 STL),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M27.00S,2025-01-07T01:11:00.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629632,94.69448094612353,51.71568627450981,1610612741,0,0,2025-01-07T01:11:04Z,90000,False,9.0,-3.0,1,right,MISS C. White driving finger roll Layup,[1629632],1610612741.0,CHI,driving finger roll,,,White,C. White,,,,,Restricted Area,0-8 Center,,,,0.9,Missed,,,,,,,,,,,,,,,
10,PT11M26.00S,2025-01-07T01:11:01.4Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,0,0,2025-01-07T01:11:04Z,100000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M11.00S,2025-01-07T01:11:16.8Z,1,REGULAR,2pt,Jump Shot,[],1630170,17.69053876478318,17.401960784313726,1610612759,0,2,2025-01-07T01:11:58Z,110000,False,163.0,114.0,1,left,D. Vassell 19' pullup Jump Shot (2 PTS),[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Right,,,,19.88,Made,,,,,2.0,,,,,,,,,,
12,PT10M49.00S,2025-01-07T01:11:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,92.72339027595268,50.98039215686274,1610612741,0,2,2025-01-07T01:11:49Z,120000,False,5.0,16.0,1,right,MISS N. Vučević driving Layup - blocked,"[202696, 1641705]",1610612741.0,CHI,driving,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,1.66,Missed,,,,,,Wembanyama,1641705.0,,,,,,,,
13,PT10M49.00S,2025-01-07T01:11:39.0Z,1,REGULAR,block,,[],1641705,,,1610612741,0,2,2025-01-07T01:11:41Z,130000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2025-01-07T01:11:39.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,0,2,2025-01-07T01:11:49Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,,12.0,,,,,,,,,,,,,,
