actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-16T01:10:12.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-16T01:10:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-16T01:10:15.0Z,1,REGULAR,jumpball,recovered,[],1630811,,,1610612737,0,0,2025-01-16T01:10:15Z,40000,False,,,0,,Jump Ball C. Capela vs. N. Vučević: Tip to K. Wallace,"[1630811, 203991, 202696]",1610612737.0,ATL,startperiod,K. Wallace,1630811.0,Wallace,K. Wallace,Capela,203991.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-01-16T01:10:33.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631223,88.12417871222075,47.794117647058826,1610612737,0,2,2025-01-16T01:10:37Z,70000,False,-11.0,59.0,1,right,D. Roddy 6' driving floating Jump Shot (2 PTS) (K. Wallace 1 AST),"[1631223, 1630811]",1610612737.0,ATL,driving floating,,,Roddy,D. Roddy,,,,,In The Paint (Non-RA),0-8 Center,6.01,Made,2.0,K. Wallace,1630811.0,1.0,,,,,,,,,,,,,,
9,PT11M15.00S,2025-01-16T01:10:55.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,12.565703022339028,55.88235294117647,1610612741,0,2,2025-01-16T01:11:01Z,90000,False,-29.0,66.0,1,left,MISS N. Vučević 7' fadeaway Shot,[202696],1610612741.0,CHI,fadeaway,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,7.19,Missed,,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2025-01-16T01:10:57.5Z,1,REGULAR,rebound,defensive,[],1631223,,,1610612737,0,2,2025-01-16T01:11:01Z,100000,False,,,0,,D. Roddy REBOUND (Off:0 Def:1),[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M08.00S,2025-01-16T01:11:04.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631223,92.9862023653088,50.245098039215684,1610612737,0,4,2025-01-16T01:11:36Z,110000,False,1.0,13.0,1,right,D. Roddy driving Layup (4 PTS) (K. Wallace 2 AST),"[1631223, 1630811]",1610612737.0,ATL,driving,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,1.35,Made,4.0,K. Wallace,1630811.0,2.0,,,,,,,,,,,,,,
13,PT10M57.00S,2025-01-16T01:11:14.6Z,1,REGULAR,turnover,bad pass,[],202696,,,1610612741,0,4,2025-01-16T01:11:18Z,130000,False,,,0,,N. Vučević bad pass TURNOVER (1 TO),"[202696, 1630700]",1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Daniels,1630700.0,,,,,,,
14,PT10M57.00S,2025-01-16T01:11:14.6Z,1,REGULAR,steal,,[],1630700,,,1610612737,0,4,2025-01-16T01:11:16Z,140000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2025-01-16T01:11:28.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630700,93.11760840998686,47.794117647058826,1610612737,0,6,2025-01-16T01:11:33Z,150000,False,-11.0,12.0,1,right,D. Daniels driving reverse Layup (2 PTS),[1630700],1610612737.0,ATL,driving reverse,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,1.64,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2025-01-16T01:11:36.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630172,7.30946123521682,47.30392156862745,1610612741,2,6,2025-01-16T01:16:32Z,160000,False,13.0,16.0,1,left,P. Williams cutting Layup (2 PTS) (J. Giddey 1 AST),"[1630172, 1630581]",1610612741.0,CHI,cutting,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,2.11,Made,2.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,,
18,PT10M18.00S,2025-01-16T01:11:53.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,89.04402102496715,47.30392156862745,1610612737,2,6,2025-01-16T01:11:56Z,180000,False,-13.0,50.0,1,right,MISS C. Capela Hook,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,5.23,Missed,,,,,,,,,,,,,,,,,,
19,PT10M16.00S,2025-01-16T01:11:55.0Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,2,6,2025-01-16T01:11:56Z,190000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
