actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-04-12T00:12:17.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-12T00:12:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-04-12T00:12:20.7Z,1,REGULAR,jumpball,recovered,[],1642267,,,1610612764,0,0,2025-04-12T00:12:20Z,40000,False,,,0,,Jump Ball A. Sarr vs. N. Vučević: Tip to B. Carrington,"[1642267, 1642259, 202696]",1610612764.0,WAS,startperiod,B. Carrington,1642267.0,Carrington,B. Carrington,Sarr,1642259.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2025-04-12T00:12:56.2Z,1,REGULAR,3pt,Jump Shot,[],1642273,66.17936925098554,46.81372549019608,1610612764,0,0,2025-04-12T00:13:01Z,80000,False,-16.0,265.0,1,right,MISS K. George 26' 3PT,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Center,26.59,Missed,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2025-04-12T00:13:01.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2025-04-12T00:13:01Z,90000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M24.00S,2025-04-12T00:13:19.7Z,1,REGULAR,2pt,Jump Shot,[],1629632,17.69053876478318,25.245098039215684,1610612741,2,0,2025-04-12T00:13:23Z,100000,False,124.0,114.0,1,left,C. White 16' step back Jump Shot (2 PTS) (N. Vučević 1 AST),"[1629632, 202696]",1610612741.0,CHI,step back,,,White,C. White,,,,,Mid-Range,16-24 Right Center,16.82,Made,,,,,2.0,N. Vučević,202696.0,1.0,,,,,,,,,,
11,PT11M11.00S,2025-04-12T00:13:34.3Z,1,REGULAR,turnover,out-of-bounds,[],1642259,,,1610612764,2,0,2025-04-12T00:13:40Z,110000,False,,,0,,A. Sarr bad pass out-of-bounds TURNOVER (1 TO),[1642259],1610612764.0,WAS,bad pass,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1628487.0,1.0,,,,,,,,
12,PT11M01.00S,2025-04-12T00:13:54.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628989,28.728646517739815,76.22549019607843,1610612741,2,0,2025-04-12T00:13:58Z,120000,False,-131.0,218.0,1,left,MISS K. Huerter 25' 3PT,[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,25.4,Missed,,,,,,,,,,,,,,,,,,
13,PT10M58.00S,2025-04-12T00:13:57.4Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,2,0,2025-04-12T00:13:58Z,130000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M46.00S,2025-04-12T00:14:29.5Z,1,REGULAR,3pt,Jump Shot,[],1642273,65.91655716162943,46.81372549019608,1610612764,2,0,2025-04-12T00:14:34Z,140000,False,-16.0,268.0,1,right,MISS K. George 26' 3PT,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Center,26.84,Missed,,,,,,,,,,,,,,,,,,
15,PT10M43.00S,2025-04-12T00:14:32.5Z,1,REGULAR,rebound,defensive,[],1641763,,,1610612741,2,0,2025-04-12T00:14:34Z,150000,False,,,0,,J. Phillips REBOUND (Off:0 Def:1),[1641763],1610612741.0,CHI,,,,Phillips,J. Phillips,,,,,Above the Break 3,24+ Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M31.00S,2025-04-12T00:14:48.0Z,1,REGULAR,2pt,Layup,[],1629632,14.011169513797633,32.59803921568628,1610612741,2,0,2025-04-12T00:18:06Z,160000,False,87.0,79.0,1,left,MISS C. White 11' driving Layup - blocked,"[1629632, 1642267]",1610612741.0,CHI,driving,,,White,C. White,,,,,Mid-Range,8-16 Right,11.77,Missed,,,,,,,,,,,Carrington,1642267.0,,,,,,
18,PT10M31.00S,2025-04-12T00:14:48.0Z,1,REGULAR,block,,[],1642267,,,1610612741,2,0,2025-04-12T00:14:50Z,170000,False,,,0,,B. Carrington BLOCK (1 BLK),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
19,PT10M30.00S,2025-04-12T00:14:49.0Z,1,REGULAR,rebound,offensive,[],1629632,,,1610612741,2,0,2025-04-12T00:18:06Z,180000,False,,,0,,C. White REBOUND (Off:1 Def:0),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Mid-Range,8-16 Right,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,,,
20,PT10M28.00S,2025-04-12T00:14:51.9Z,1,REGULAR,turnover,bad pass,[],1629632,,,1610612741,2,0,2025-04-12T00:18:18Z,190000,False,,,0,,C. White bad pass TURNOVER (1 TO),"[1629632, 1630551]",1610612741.0,CHI,,,,White,C. White,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,,,Champagnie,1630551.0,,,,
21,PT10M28.00S,2025-04-12T00:14:51.9Z,1,REGULAR,steal,,[],1630551,,,1610612764,2,0,2025-04-12T00:17:08Z,200000,False,,,0,,J. Champagnie STEAL (1 STL),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
22,PT10M22.00S,2025-04-12T00:14:55.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642358,92.46057818659659,49.754901960784316,1610612764,2,2,2025-04-12T00:18:29Z,210000,False,-1.0,18.0,1,right,A. Johnson running Layup (2 PTS) (B. Carrington 1 AST),"[1642358, 1642267]",1610612764.0,WAS,running,,,Johnson,A. Johnson,,,,,Restricted Area,0-8 Center,1.84,Made,,,,,2.0,B. Carrington,1642267.0,1.0,,,,,,,,,,
23,PT09M58.00S,2025-04-12T00:15:17.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,7.046649145860711,48.28431372549019,1610612741,4,2,2025-04-12T00:15:21Z,220000,False,9.0,14.0,1,left,K. Huerter cutting Layup (2 PTS) (M. Buzelis 1 AST),"[1628989, 1641824]",1610612741.0,CHI,cutting,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,1.62,Made,,,,,2.0,M. Buzelis,1641824.0,1.0,,,,,,,,,,
25,PT09M42.00S,2025-04-12T00:15:33.6Z,1,REGULAR,turnover,lost ball,[],1642267,,,1610612764,4,2,2025-04-12T00:15:37Z,240000,False,,,0,,B. Carrington lost ball TURNOVER (1 TO),"[1642267, 1629632]",1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,1.0,,,White,1629632.0,,,,
26,PT09M42.00S,2025-04-12T00:15:33.6Z,1,REGULAR,steal,,[],1629632,,,1610612741,4,2,2025-04-12T00:15:35Z,250000,False,,,0,,C. White STEAL (1 STL),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
28,PT09M37.00S,2025-04-12T00:15:38.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202696,9.017739816031538,56.86274509803921,1610612741,6,2,2025-04-12T00:19:35Z,260000,False,-34.0,32.0,1,left,N. Vučević floating Jump Shot (2 PTS) (K. Huerter 1 AST),"[202696, 1628989]",1610612741.0,CHI,floating,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,4.71,Made,,,,,2.0,K. Huerter,1628989.0,1.0,,,,,,,,,,
30,PT09M15.00S,2025-04-12T00:15:59.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642259,80.76544021024968,49.01960784313725,1610612764,6,2,2025-04-12T00:20:10Z,280000,False,-5.0,128.0,1,right,MISS A. Sarr 12' turnaround fadeaway Shot,[1642259],1610612764.0,WAS,turnaround fadeaway,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),8-16 Center,12.84,Missed,,,,,,,,,,,,,,,,,,
31,PT09M12.00S,2025-04-12T00:16:02.8Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,6,2,2025-04-12T00:16:04Z,290000,False,,,0,,C. White REBOUND (Off:1 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,In The Paint (Non-RA),8-16 Center,,,30.0,2.0,1.0,1.0,,,,,,,,,,,,,,
32,PT09M00.00S,2025-04-12T00:16:14.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,7.440867279894875,49.50980392156863,1610612741,8,2,2025-04-12T00:16:18Z,300000,False,2.0,17.0,1,left,N. Vučević turnaround Hook (4 PTS) (C. White 1 AST),"[202696, 1629632]",1610612741.0,CHI,turnaround,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,1.76,Made,,,,,4.0,C. White,1629632.0,1.0,,,,,,,,,,
34,PT08M48.00S,2025-04-12T00:16:27.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630551,92.46057818659659,51.225490196078425,1610612764,8,4,2025-04-12T00:16:30Z,320000,False,6.0,18.0,1,right,J. Champagnie driving Layup (2 PTS) (A. Johnson 1 AST),"[1630551, 1642358]",1610612764.0,WAS,driving,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,1.94,Made,,,,,2.0,A. Johnson,1642358.0,1.0,,,,,,,,,,
35,PT08M36.00S,2025-04-12T00:16:39.3Z,1,REGULAR,3pt,Jump Shot,[],1628989,30.17411300919842,29.411764705882355,1610612741,8,4,2025-04-12T00:16:43Z,330000,False,103.0,231.0,1,left,MISS K. Huerter 25' 3PT,[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Right Center,25.3,Missed,,,,,,,,,,,,,,,,,,
