actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-08T01:10:24.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-08T01:10:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-08T01:10:27.9Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612750,0,0,2024-11-08T01:10:27Z,40000,False,,,0,,Jump Ball R. Gobert vs. N. Vučević: Tip to J. Randle,"[203944, 203497, 202696]",1610612750.0,MIN,startperiod,J. Randle,203944.0,Randle,J. Randle,Gobert,203497.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-11-08T01:10:39.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203497,8.886333771353483,53.431372549019606,1610612750,0,0,2024-11-08T01:10:43Z,70000,False,-17.0,31.0,1,left,MISS R. Gobert turnaround Hook - blocked,"[203497, 202696]",1610612750.0,MIN,turnaround,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,3.55,Missed,Vučević,202696.0,,,,,,,,,,,,,,,,
8,PT11M45.00S,2024-11-08T01:10:39.2Z,1,REGULAR,block,,[],202696,,,1610612750,0,0,2024-11-08T01:10:42Z,80000,False,,,0,,N. Vučević BLOCK (1 BLK),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2024-11-08T01:10:39.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,0,0,2024-11-08T01:10:43Z,90000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M30.00S,2024-11-08T01:11:02.2Z,1,REGULAR,2pt,Jump Shot,[],202696,84.57621550591328,25.98039215686275,1610612741,0,0,2024-11-08T01:11:07Z,110000,False,-120.0,92.0,1,right,MISS N. Vučević 15' Jump Shot,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Mid-Range,8-16 Left,15.16,Missed,,,,,,,,,,,,,,,,,,
12,PT11M28.00S,2024-11-08T01:11:04.2Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,0,2024-11-08T01:11:07Z,120000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Left,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M20.00S,2024-11-08T01:11:16.2Z,1,REGULAR,foul,personal,[],1630245,,,1610612750,0,0,2024-11-08T01:11:31Z,130000,False,,,0,,A. Dosunmu personal FOUL (1 PF),"[1630245, 1630162]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,16-24 Right Center,,,,,,,,,200832.0,1.0,0.0,Edwards,1630162.0,,,,,,,
15,PT11M11.00S,2024-11-08T01:11:39.9Z,1,REGULAR,3pt,Jump Shot,[],1630183,4.418528252299605,95.34313725490196,1610612750,0,3,2024-11-08T01:11:43Z,150000,False,-227.0,-11.0,1,left,J. McDaniels 3PT  (3 PTS) (R. Gobert 1 AST),"[1630183, 203497]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,22.7,Made,,,,,,,,,,,,3.0,R. Gobert,203497.0,1.0,,,
17,PT10M45.00S,2024-11-08T01:12:06.6Z,1,REGULAR,3pt,Jump Shot,[],1630581,67.88764783180025,28.186274509803923,1610612741,3,3,2024-11-08T01:12:11Z,170000,False,-109.0,249.0,1,right,J. Giddey 27' 3PT  (3 PTS) (N. Vučević 1 AST),"[1630581, 202696]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,27.22,Made,,,,,,,,,,,,3.0,N. Vučević,202696.0,1.0,,,
19,PT10M23.00S,2024-11-08T01:12:28.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,15.456636005256241,44.36274509803921,1610612750,3,3,2024-11-08T01:12:34Z,190000,False,28.0,93.0,1,left,MISS A. Edwards 9' driving floating Shot,[1630162],1610612750.0,MIN,driving floating,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,9.7,Missed,,,,,,,,,,,,,,,,,,
20,PT10M21.00S,2024-11-08T01:12:30.3Z,1,REGULAR,rebound,offensive,[],1630162,,,1610612750,3,3,2024-11-08T01:12:30Z,200000,False,,,0,,A. Edwards REBOUND (Off:1 Def:0),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,
21,PT10M19.00S,2024-11-08T01:12:32.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630162,11.908672798948752,45.09803921568628,1610612750,3,3,2024-11-08T01:12:36Z,210000,False,25.0,59.0,1,left,MISS A. Edwards 6' driving floating Shot,[1630162],1610612750.0,MIN,driving floating,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,6.43,Missed,,,,,,,,,,,,,,,,,,
22,PT10M17.00S,2024-11-08T01:12:34.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,3,3,2024-11-08T01:12:36Z,220000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,
23,PT10M02.00S,2024-11-08T01:12:49.3Z,1,REGULAR,3pt,Jump Shot,[],1630172,68.15045992115637,66.91176470588235,1610612741,6,3,2024-11-08T01:12:53Z,230000,False,85.0,247.0,1,right,P. Williams 26' 3PT  (3 PTS) (C. White 1 AST),"[1630172, 1629632]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,26.1,Made,,,,,,,,,,,,3.0,C. White,1629632.0,1.0,,,
25,PT09M43.00S,2024-11-08T01:13:08.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,19.004599211563733,37.5,1610612750,6,3,2024-11-08T01:13:13Z,250000,False,62.0,126.0,1,left,MISS J. Randle 14' fadeaway Shot,[203944],1610612750.0,MIN,fadeaway,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,14.07,Missed,,,,,,,,,,,,,,,,,,
