actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-03T23:10:16.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-03T23:10:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-03T23:10:18.2Z,1,REGULAR,jumpball,recovered,[],1627734,,,1610612754,0,0,2021-11-03T23:10:18Z,40000,,,0,,Jump Ball M. Turner vs. M. Robinson: Tip to D. Sabonis,"[1627734, 1626167, 1629011]",1610612754.0,IND,startperiod,D. Sabonis,1627734.0,Sabonis,D. Sabonis,Turner,1626167.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-11-03T23:10:35.4Z,1,REGULAR,3pt,Jump Shot,[],1627747,78.66294349540078,8.333333333333332,1610612754,0,0,2021-11-03T23:10:41Z,70000,-208.0,148.0,1,right,MISS C. LeVert 25' 3PT - blocked,"[1627747, 1629011]",1610612754.0,IND,,,,LeVert,C. LeVert,,,,,25.56,Missed,Robinson,1629011.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-11-03T23:10:35.4Z,1,REGULAR,block,,[],1629011,,,1610612754,0,0,2021-11-03T23:10:38Z,80000,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2021-11-03T23:10:35.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,0,0,2021-11-03T23:10:41Z,90000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
10,PT11M40.00S,2021-11-03T23:10:39.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,0,0,2021-11-03T23:10:39Z,100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M35.00S,2021-11-03T23:10:53.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626167,77.87450722733246,10.294117647058822,1610612754,3,0,2021-11-03T23:10:58Z,110000,-199.0,155.0,1,right,M. Turner 25' 3PT pullup (3 PTS) (M. Brogdon 1 AST),"[1626167, 1627763]",1610612754.0,IND,pullup,,,Turner,M. Turner,,,,,25.22,Made,,,,3.0,M. Brogdon,1627763.0,1.0,,,,,,,,,,,,
13,PT11M10.00S,2021-11-03T23:11:18.7Z,1,REGULAR,3pt,Jump Shot,[],203944,14.273981603153747,2.696078431372549,1610612752,3,0,2021-11-03T23:11:23Z,130000,237.0,82.0,1,left,MISS J. Randle 25' step back 3PT,[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,25.02,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2021-11-03T23:11:22.7Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612754,3,0,2021-11-03T23:11:23Z,140000,,,0,,M. Brogdon REBOUND (Off:0 Def:1),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,13.0,,,,,1.0,1.0,0.0,,,,,,,,,
15,PT11M01.00S,2021-11-03T23:11:27.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626167,92.85479632063075,3.431372549019608,1610612754,6,0,2021-11-03T23:11:32Z,150000,-233.0,15.0,1,right,M. Turner 3PT  (6 PTS) (C. LeVert 1 AST),"[1626167, 1627747]",1610612754.0,IND,,,,Turner,M. Turner,,,,,23.33,Made,,,,6.0,C. LeVert,1627747.0,1.0,,,,,,,,,,,,
17,PT10M35.00S,2021-11-03T23:11:52.0Z,1,REGULAR,2pt,Jump Shot,[],203944,27.151773981603156,60.78431372549019,1610612752,6,0,2021-11-03T23:11:57Z,170000,-54.0,203.0,1,left,MISS J. Randle 20' pullup Shot,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,20.97,Missed,,,,,,,,,,,,,,,,,,,
