actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-26T00:10:14.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-26T00:10:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-26T00:10:17.1Z,1,REGULAR,jumpball,recovered,[],1627741,,,1610612754,0,0,2022-02-26T00:10:17Z,40000,,,0,,Jump Ball I. Jackson vs. I. Roby: Tip to B. Hield,"[1627741, 1630543, 1629676]",1610612754.0,IND,startperiod,B. Hield,1627741.0,Hield,B. Hield,Jackson,1630543.0,Roby,1629676.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-02-26T00:10:32.5Z,1,REGULAR,2pt,Jump Shot,[],1627741,94.82588699080158,9.313725490196079,1610612754,2,0,2022-02-26T00:10:37Z,70000,-203.0,-4.0,1,right,B. Hield 20' pullup Jump Shot (2 PTS) (M. Brogdon 1 AST),"[1627741, 1627763]",1610612754.0,IND,pullup,,,Hield,B. Hield,,,,,20.34,Made,2.0,M. Brogdon,1627763.0,1.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2022-02-26T00:10:46.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,8.623521681997373,44.6078431372549,1610612760,2,0,2022-02-26T00:11:51Z,90000,27.0,29.0,1,left,MISS D. Bazley driving finger roll Layup - blocked,"[1629647, 1629052]",1610612760.0,OKC,driving finger roll,,,Bazley,D. Bazley,,,,,3.93,Missed,,,,,Brissett,1629052.0,,,,,,,,,,,,,
10,PT11M27.00S,2022-02-26T00:10:46.3Z,1,REGULAR,block,,[],1629052,,,1610612760,2,0,2022-02-26T00:10:48Z,100000,,,0,,O. Brissett BLOCK (1 BLK),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2022-02-26T00:10:47.3Z,1,REGULAR,rebound,offensive,[],1630598,,,1610612760,2,0,2022-02-26T00:11:57Z,110000,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,
33,PT11M26.00S,2022-02-26T00:10:49.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630598,6.619579500657039,48.28431372549019,1610612760,2,0,2022-02-26T00:13:29Z,115000,9.0,10.0,1,left,MISS A. Wiggins tip Layup,[1630598],1610612760.0,OKC,tip,,,Wiggins,A. Wiggins,,,,,1.3,Missed,,,,,,,,,,,,,,,,,,,
34,PT11M26.00S,2022-02-26T00:10:49.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,2,0,2022-02-26T00:13:29Z,117500,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,
12,PT11M26.00S,2022-02-26T00:10:53.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,2,0,2022-02-26T00:10:53Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2022-02-26T00:11:08.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628983,8.229303547963205,45.588235294117645,1610612760,2,0,2022-02-26T00:13:29Z,130000,22.0,25.0,1,left,MISS S. Gilgeous-Alexander driving finger roll Layup - blocked,"[1628983, 1630543]",1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,3.33,Missed,,,,,Jackson,1630543.0,,,,,,,,,,,,,
14,PT11M18.00S,2022-02-26T00:11:08.6Z,1,REGULAR,block,,[],1630543,,,1610612760,2,0,2022-02-26T00:11:10Z,140000,,,0,,I. Jackson BLOCK (1 BLK),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M15.00S,2022-02-26T00:11:11.6Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612754,2,0,2022-02-26T00:11:15Z,150000,,,0,,M. Brogdon REBOUND (Off:0 Def:1),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
