actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-14T00:10:46.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-14T00:10:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-14T00:10:47.6Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2021-12-14T00:10:47Z,40000,,,0,,Jump Ball K. Looney vs. M. Turner: Tip to D. Green,"[203110, 1626172, 1626167]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-12-14T00:11:03.6Z,1,REGULAR,3pt,Jump Shot,[],1629673,28.33442838370565,23.284313725490197,1610612744,0,0,2021-12-14T00:11:08Z,70000,134.0,214.0,1,left,MISS J. Poole 25' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,25.21,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2021-12-14T00:11:07.6Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,0,0,2021-12-14T00:11:08Z,80000,,,0,,C. Duarte REBOUND (Off:0 Def:1),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2021-12-14T00:11:23.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,92.72339027595268,46.81372549019608,1610612754,2,0,2021-12-14T00:11:32Z,90000,-16.0,16.0,1,right,D. Sabonis cutting Layup (2 PTS) (M. Brogdon 1 AST),"[1627734, 1627763]",1610612754.0,IND,cutting,,,Sabonis,D. Sabonis,,,,,2.25,Made,,,,,2.0,M. Brogdon,1627763.0,1.0,,,,,,,,,,,
11,PT11M25.00S,2021-12-14T00:11:26.5Z,1,REGULAR,foul,personal,['1freethrow'],1626172,,,1610612754,2,0,2021-12-14T00:11:32Z,110000,,,0,,K. Looney shooting personal FOUL (1 PF) (Sabonis 1 FT),"[1626172, 1627734]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,,,,,,,,,,,1193.0,1.0,0.0,Sabonis,1627734.0,,,,,,
13,PT11M25.00S,2021-12-14T00:11:49.7Z,1,REGULAR,freethrow,1 of 1,[],1627734,,,1610612754,3,0,2021-12-14T00:11:49Z,130000,,,0,,D. Sabonis Free Throw 1 of 1 (3 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
14,PT11M17.00S,2021-12-14T00:12:00.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,8.754927726675426,44.6078431372549,1610612744,3,0,2021-12-14T00:12:14Z,140000,27.0,30.0,1,left,MISS D. Green driving finger roll Layup,[203110],1610612744.0,GSW,driving finger roll,,,Green,D. Green,,,,,4.02,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M15.00S,2021-12-14T00:12:06.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,3,0,2021-12-14T00:12:06Z,150000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,
16,PT11M15.00S,2021-12-14T00:12:08.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,3,0,2021-12-14T00:12:08Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
