actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-02-27T22:10:23.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-27T22:10:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-27T22:10:25.2Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2022-02-27T22:10:25Z,40000,,,0,,Jump Ball R. Williams III vs. I. Jackson: Tip to M. Smart,"[203935, 1629057, 1630543]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-02-27T22:10:34.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,91.27792378449409,51.225490196078425,1610612738,0,0,2022-02-27T22:10:38Z,70000,6.0,29.0,1,right,MISS R. Williams III alley-oop DUNK,[1629057],1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,3.01,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-02-27T22:10:37.9Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,0,0,2022-02-27T22:10:38Z,80000,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M42.00S,2022-02-27T22:10:40.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,31.09395532194481,68.87254901960785,1610612754,0,0,2022-02-27T22:10:47Z,90000,-94.0,240.0,1,left,MISS B. Hield 25' running 3PT,[1627741],1610612754.0,IND,running,,,Hield,B. Hield,,,,,25.77,Missed,,,,,,,,,,,,,,,,,,
10,PT11M40.00S,2022-02-27T22:10:42.5Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,0,0,2022-02-27T22:10:47Z,100000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M34.00S,2022-02-27T22:10:49.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1627759,77.34888304862024,67.40196078431373,1610612738,0,2,2022-02-27T22:10:55Z,110000,87.0,160.0,1,right,J. Brown 18' running pullup Jump Shot (2 PTS),[1627759],1610612738.0,BOS,running pullup,,,Brown,J. Brown,,,,,18.25,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M08.00S,2022-02-27T22:11:14.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630543,6.1268068331143235,49.754901960784316,1610612754,2,2,2022-02-27T22:11:18Z,120000,1.0,5.0,1,left,I. Jackson DUNK (2 PTS) (M. Brogdon 1 AST),"[1630543, 1627763]",1610612754.0,IND,,,,Jackson,I. Jackson,,,,,0.52,Made,,,,,2.0,M. Brogdon,1627763.0,1.0,,,,,,,,,,
14,PT10M47.00S,2022-02-27T22:11:36.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,73.9323258869908,86.02941176470588,1610612738,2,2,2022-02-27T22:11:41Z,140000,180.0,193.0,1,right,MISS J. Brown 26' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,26.36,Missed,,,,,,,,,,,,,,,,,,
15,PT10M43.00S,2022-02-27T22:11:40.1Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,2,2,2022-02-27T22:11:41Z,150000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M37.00S,2022-02-27T22:11:46.9Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612754,2,2,2022-02-27T22:11:53Z,160000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Brogdon 2 FT),"[1628369, 1627763]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,,,,201640.0,1.0,0.0,Brogdon,1627763.0,,,,,
18,PT10M37.00S,2022-02-27T22:12:07.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627763,,,1610612754,3,2,2022-02-27T22:12:08Z,180000,,,0,,M. Brogdon Free Throw 1 of 2 (1 PTS),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
19,PT10M37.00S,2022-02-27T22:12:20.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627763,,,1610612754,4,2,2022-02-27T22:12:20Z,190000,,,0,,M. Brogdon Free Throw 2 of 2 (2 PTS),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
20,PT10M23.00S,2022-02-27T22:12:37.2Z,1,REGULAR,3pt,Jump Shot,[],203935,77.87450722733246,87.74509803921569,1610612738,4,5,2022-02-27T22:12:41Z,200000,189.0,155.0,1,right,M. Smart 24' 3PT  (3 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,24.45,Made,,,,,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,
22,PT10M08.00S,2022-02-27T22:12:51.6Z,1,REGULAR,3pt,Jump Shot,[],1629052,32.802233902759525,63.23529411764706,1610612754,4,5,2022-02-27T22:12:57Z,220000,-66.0,256.0,1,left,MISS O. Brissett 26' 3PT,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,26.42,Missed,,,,,,,,,,,,,,,,,,
23,PT10M05.00S,2022-02-27T22:12:54.6Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,4,5,2022-02-27T22:12:57Z,230000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT09M55.00S,2022-02-27T22:13:04.0Z,1,REGULAR,3pt,Jump Shot,[],203935,71.04139290407359,20.588235294117645,1610612738,4,5,2022-02-27T22:13:08Z,240000,-147.0,220.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.44,Missed,,,,,,,,,,,,,,,,,,
25,PT09M52.00S,2022-02-27T22:13:07.1Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,4,5,2022-02-27T22:13:07Z,250000,,,0,,J. Tatum REBOUND (Off:1 Def:0),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,,,
26,PT09M51.00S,2022-02-27T22:13:08.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628369,88.64980289093299,50.73529411764706,1610612738,4,7,2022-02-27T22:13:12Z,260000,4.0,54.0,1,right,J. Tatum fadeaway Jump Shot (2 PTS),[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,5.43,Made,,,,,2.0,,,,,,,,,,,,,
27,PT09M41.00S,2022-02-27T22:13:18.2Z,1,REGULAR,3pt,Jump Shot,[],1627763,9.543363994743759,95.83333333333334,1610612754,7,7,2022-02-27T22:13:22Z,270000,-229.0,37.0,1,left,M. Brogdon 3PT step back (5 PTS),[1627763],1610612754.0,IND,step back,,,Brogdon,M. Brogdon,,,,,23.22,Made,,,,,5.0,,,,,,,,,,,,,
