actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-25T00:11:08.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-25T00:11:08Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-25T00:11:10.0Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2021-11-25T00:11:10Z,40000,,,0,,Jump Ball D. Jordan vs. M. Turner: Tip to L. James,"[2544, 201599, 1626167]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Jordan,201599.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-11-25T00:11:24.4Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,0,0,2021-11-25T00:11:29Z,70000,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1626167]",1610612747.0,LAL,,,,James,L. James,,,,,1.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-11-25T00:11:24.4Z,1,REGULAR,steal,,[],1626167,,,1610612754,0,0,2021-11-25T00:11:26Z,80000,,,0,,M. Turner STEAL (1 STL),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2021-11-25T00:11:28.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,0,0,2021-11-25T00:11:28Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2021-11-25T00:11:49.7Z,1,REGULAR,turnover,out-of-bounds,[],203200,,,1610612754,0,0,2021-11-25T00:11:54Z,100000,,,0,,J. Holiday bad pass out-of-bounds TURNOVER (1 TO),[203200],1610612754.0,IND,bad pass,,,Holiday,J. Holiday,,,,,1.0,,,1179.0,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2021-11-25T00:12:03.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201566,14.668199737187912,36.76470588235294,1610612747,0,0,2021-11-25T00:12:07Z,110000,66.0,85.0,1,left,MISS R. Westbrook 10' fadeaway Shot,[201566],1610612747.0,LAL,fadeaway,,,Westbrook,R. Westbrook,,,,,,,,,10.81,Missed,,,,,,,,,,,,,,,
12,PT11M14.00S,2021-11-25T00:12:06.4Z,1,REGULAR,rebound,offensive,[],201599,,,1610612747,0,0,2021-11-25T00:12:06Z,120000,,,0,,D. Jordan REBOUND (Off:1 Def:0),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,
13,PT11M14.00S,2021-11-25T00:12:09.6Z,1,REGULAR,foul,personal,[],203200,,,1610612747,0,0,2021-11-25T00:12:15Z,130000,,,0,,J. Holiday personal FOUL (1 PF),"[203200, 201599]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,1179.0,,,,,,,1.0,0.0,Jordan,201599.0,,,,,,,
15,PT11M03.00S,2021-11-25T00:12:39.5Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",2544,5.995400788436268,69.11764705882352,1610612747,0,0,2021-11-25T00:12:43Z,150000,-96.0,4.0,1,left,MISS L. James 9' driving floating Shot,[2544],1610612747.0,LAL,driving floating,,,James,L. James,,,,,,,,,9.57,Missed,,,,,,,,,,,,,,,
