actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
15,PT10M48.00S,2021-11-21T00:11:30.4Z,1,REGULAR,turnover,bad pass,[],1628404,,,1610612740,0,0,2021-11-21T00:11:35Z,150000,,,0,,J. Hart bad pass TURNOVER (1 TO),"[1628404, 1627747]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,1.0,LeVert,1627747.0,,,,,,,,,,,,
16,PT10M48.00S,2021-11-21T00:11:30.4Z,1,REGULAR,steal,,[],1627747,,,1610612754,0,0,2021-11-21T00:11:32Z,160000,,,0,,C. LeVert STEAL (1 STL),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M43.00S,2021-11-21T00:11:35.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626167,27.808804204993432,14.950980392156863,1610612754,3,0,2021-11-21T00:11:43Z,170000,175.0,209.0,1,left,M. Turner 27' 3PT  (3 PTS) (C. LeVert 1 AST),"[1626167, 1627747]",1610612754.0,IND,,,,Turner,M. Turner,,,,,27.26,Made,,,,,,,,3.0,C. LeVert,1627747.0,1.0,,,,,,,,
19,PT10M22.00S,2021-11-21T00:11:56.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,92.9862023653088,53.18627450980392,1610612740,3,2,2021-11-21T00:12:43Z,190000,16.0,13.0,1,right,N. Alexander-Walker driving finger roll Layup (2 PTS) (J. Valanciunas 1 AST),"[1629638, 202685]",1610612740.0,NOP,driving finger roll,,,Alexander-Walker,N. Alexander-Walker,,,,,2.08,Made,,,,,,,,2.0,J. Valanciunas,202685.0,1.0,,,,,,,,
21,PT10M01.00S,2021-11-21T00:12:16.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627734,13.87976346911958,60.29411764705882,1610612754,3,2,2021-11-21T00:12:23Z,210000,-51.0,78.0,1,left,MISS D. Sabonis 9' fadeaway Shot,[1627734],1610612754.0,IND,fadeaway,,,Sabonis,D. Sabonis,,,,,9.35,Missed,,,,,,,,,,,,,,,,,,,
22,PT09M59.00S,2021-11-21T00:12:18.9Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,3,2,2021-11-21T00:12:23Z,220000,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
23,PT09M51.00S,2021-11-21T00:12:26.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627742,90.62089356110381,51.470588235294116,1610612740,3,2,2021-11-21T00:12:32Z,230000,7.0,36.0,1,right,MISS B. Ingram driving DUNK - blocked,"[1627742, 1626167]",1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,3.65,Missed,,,,,,,,,,,,Turner,1626167.0,,,,,,
24,PT09M51.00S,2021-11-21T00:12:26.6Z,1,REGULAR,block,,[],1626167,,,1610612740,3,2,2021-11-21T00:12:28Z,240000,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M49.00S,2021-11-21T00:12:28.6Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612754,3,2,2021-11-21T00:12:32Z,250000,,,0,,M. Brogdon REBOUND (Off:0 Def:1),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
26,PT09M45.00S,2021-11-21T00:12:33.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627763,30.56833114323259,65.93137254901961,1610612754,3,2,2021-11-21T00:14:09Z,260000,-80.0,235.0,1,left,MISS M. Brogdon 24' step back 3PT,[1627763],1610612754.0,IND,step back,,,Brogdon,M. Brogdon,,,,,24.8,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M42.00S,2021-11-21T00:12:36.2Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612754,3,2,2021-11-21T00:14:09Z,270000,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,26.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
28,PT09M32.00S,2021-11-21T00:12:46.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627763,18.265440210249672,50.268075980392155,1610612754,5,2,2021-11-21T00:12:56Z,280000,-1.0,119.0,1,left,M. Brogdon 11' step back Jump Shot (2 PTS),[1627763],1610612754.0,IND,step back,,,Brogdon,M. Brogdon,,,,,11.92,Made,,,,,,,,2.0,,,,,,,,,,,
29,PT09M12.00S,2021-11-21T00:13:05.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,94.03745072273325,54.65686274509803,1610612740,5,2,2021-11-21T00:13:11Z,290000,23.0,4.0,1,right,MISS J. Valanciunas driving Layup,[202685],1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,2.36,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M09.00S,2021-11-21T00:13:08.9Z,1,REGULAR,rebound,offensive,[],203107,,,1610612740,5,2,2021-11-21T00:13:11Z,300000,,,0,,T. Satoransky REBOUND (Off:1 Def:0),[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,29.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
31,PT09M08.00S,2021-11-21T00:13:10.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,92.46057818659659,53.18627450980392,1610612740,5,2,2021-11-21T00:16:50Z,310000,16.0,18.0,1,right,MISS J. Valanciunas Layup,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,2.43,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M08.00S,2021-11-21T00:13:10.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,5,2,2021-11-21T00:13:18Z,320000,,,0,,D. Sabonis REBOUND (Off:1 Def:2),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,31.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
33,PT08M58.00S,2021-11-21T00:13:20.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.521024967148489,54.41176470588235,1610612754,7,2,2021-11-21T00:17:07Z,330000,-22.0,9.0,1,left,D. Sabonis reverse Layup (2 PTS) (J. Holiday 1 AST),"[1627734, 203200]",1610612754.0,IND,reverse,,,Sabonis,D. Sabonis,,,,,2.38,Made,,,,,,,,2.0,J. Holiday,203200.0,1.0,,,,,,,,
35,PT08M39.00S,2021-11-21T00:13:39.0Z,1,REGULAR,3pt,Jump Shot,[],1628404,67.23061760840999,49.754901960784316,1610612740,7,2,2021-11-21T00:13:43Z,350000,-1.0,256.0,1,right,MISS J. Hart 25' pullup 3PT,[1628404],1610612740.0,NOP,pullup,,,Hart,J. Hart,,,,,25.55,Missed,,,,,,,,,,,,,,,,,,,
36,PT08M36.00S,2021-11-21T00:13:42.0Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,7,2,2021-11-21T00:13:43Z,360000,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,35.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
38,PT08M36.00S,2021-11-21T00:13:42.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,93.16688567674113,50.22212009803921,1610612740,7,4,2021-11-21T00:13:52Z,380000,1.0,12.0,1,right,J. Valanciunas putback Layup (2 PTS),[202685],1610612740.0,NOP,putback,,,Valanciunas,J. Valanciunas,,,,,1.18,Made,,,,,,,,2.0,,,,,,,,,,,
39,PT08M24.00S,2021-11-21T00:13:53.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,7.835085413929041,54.166666666666664,1610612754,9,4,2021-11-21T00:14:01Z,390000,-21.0,21.0,1,left,D. Sabonis turnaround Hook (4 PTS),[1627734],1610612754.0,IND,turnaround,,,Sabonis,D. Sabonis,,,,,2.96,Made,,,,,,,,4.0,,,,,,,,,,,
41,PT08M05.00S,2021-11-21T00:14:12.7Z,1,REGULAR,2pt,Jump Shot,[],202685,93.77463863337714,25.49019607843137,1610612740,9,4,2021-11-21T00:14:18Z,410000,-123.0,6.0,1,right,MISS J. Valanciunas 12' turnaround fadeaway Shot,[202685],1610612740.0,NOP,turnaround fadeaway,,,Valanciunas,J. Valanciunas,,,,,12.26,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M03.00S,2021-11-21T00:14:14.7Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,9,4,2021-11-21T00:14:18Z,420000,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
43,PT07M51.00S,2021-11-21T00:14:28.0Z,1,REGULAR,3pt,Jump Shot,[],203200,30.56833114323259,73.77450980392157,1610612754,12,4,2021-11-21T00:15:00Z,430000,-119.0,235.0,1,left,J. Holiday 26' 3PT  (3 PTS) (D. Sabonis 1 AST),"[203200, 1627734]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,26.32,Made,,,,,,,,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,
45,PT07M37.00S,2021-11-21T00:14:46.7Z,1,REGULAR,foul,personal,[],1626167,,,1610612740,12,4,2021-11-21T00:15:03Z,450000,,,0,,M. Turner personal FOUL (1 PF),"[1626167, 202685]",1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,1628954.0,1.0,0.0,Valanciunas,202685.0,
47,PT07M28.00S,2021-11-21T00:15:11.8Z,1,REGULAR,turnover,lost ball,[],203107,,,1610612740,12,4,2021-11-21T00:15:15Z,470000,,,0,,T. Satoransky lost ball TURNOVER (1 TO),"[203107, 1626167]",1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,1.0,Turner,1626167.0,,,,,,,,,,,,
48,PT07M28.00S,2021-11-21T00:15:11.8Z,1,REGULAR,steal,,[],1626167,,,1610612754,12,4,2021-11-21T00:15:13Z,480000,,,0,,M. Turner STEAL (1 STL),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M22.00S,2021-11-21T00:15:17.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203200,9.674770039421814,48.03921568627451,1610612754,12,4,2021-11-21T00:15:26Z,490000,10.0,38.0,1,left,MISS J. Holiday running finger roll Layup,[203200],1610612754.0,IND,running finger roll,,,Holiday,J. Holiday,,,,,3.96,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M18.00S,2021-11-21T00:15:21.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,12,4,2021-11-21T00:15:26Z,500000,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,49.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
51,PT07M17.00S,2021-11-21T00:15:22.2Z,1,REGULAR,turnover,bad pass,[],202685,,,1610612740,12,4,2021-11-21T00:15:29Z,510000,,,0,,J. Valanciunas bad pass TURNOVER (1 TO),"[202685, 1627734]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,1.0,Sabonis,1627734.0,,,,,,,,,,,,
52,PT07M17.00S,2021-11-21T00:15:22.2Z,1,REGULAR,steal,,[],1627734,,,1610612754,12,4,2021-11-21T00:15:23Z,520000,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M14.00S,2021-11-21T00:15:25.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627763,29.6484888304862,30.14705882352941,1610612754,15,4,2021-11-21T00:15:34Z,530000,99.0,226.0,1,left,M. Brogdon 24' 3PT  (5 PTS) (J. Holiday 2 AST),"[1627763, 203200]",1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,24.7,Made,,,,,,,,5.0,J. Holiday,203200.0,2.0,,,,,,,,
55,PT07M11.00S,2021-11-21T00:15:33.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,15,4,2021-11-21T00:15:34Z,550000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M11.00S,2021-11-21T00:18:15.6Z,1,REGULAR,substitution,out,[],203200,,,1610612740,15,4,2021-11-21T00:18:30Z,560000,,,0,,SUB out: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M11.00S,2021-11-21T00:18:15.6Z,1,REGULAR,substitution,out,[],1627747,,,1610612740,15,4,2021-11-21T00:18:30Z,570000,,,0,,SUB out: C. LeVert,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M11.00S,2021-11-21T00:18:15.6Z,1,REGULAR,substitution,in,[],1630537,,,1610612740,15,4,2021-11-21T00:18:30Z,580000,,,0,,SUB in: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M11.00S,2021-11-21T00:18:15.6Z,1,REGULAR,substitution,in,[],204456,,,1610612740,15,4,2021-11-21T00:18:30Z,590000,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M52.00S,2021-11-21T00:18:50.8Z,1,REGULAR,2pt,Jump Shot,[],1627742,79.45137976346912,31.862745098039213,1610612740,15,4,2021-11-21T00:18:58Z,600000,-91.0,141.0,1,right,MISS B. Ingram 16' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,16.74,Missed,,,,,,,,,,,,,,,,,,,
61,PT06M47.00S,2021-11-21T00:18:55.8Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,15,4,2021-11-21T00:18:58Z,610000,,,0,,M. Turner REBOUND (Off:0 Def:3),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,60.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
62,PT06M35.00S,2021-11-21T00:19:07.0Z,1,REGULAR,3pt,Jump Shot,[],1627763,32.276609724047304,64.95098039215686,1610612754,15,4,2021-11-21T00:19:11Z,620000,-75.0,251.0,1,left,MISS M. Brogdon 26' 3PT,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,26.18,Missed,,,,,,,,,,,,,,,,,,,
63,PT06M31.00S,2021-11-21T00:19:11.0Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612740,15,4,2021-11-21T00:19:11Z,630000,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
64,PT06M25.00S,2021-11-21T00:19:16.9Z,1,REGULAR,turnover,bad pass,[],1629638,,,1610612740,15,4,2021-11-21T00:19:20Z,640000,,,0,,N. Alexander-Walker bad pass TURNOVER (1 TO),"[1629638, 204456]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,1.0,McConnell,204456.0,,,,,,,,,,,,
65,PT06M25.00S,2021-11-21T00:19:16.9Z,1,REGULAR,steal,,[],204456,,,1610612754,15,4,2021-11-21T00:19:18Z,650000,,,0,,T. McConnell STEAL (1 STL),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M20.00S,2021-11-21T00:19:22.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627734,9.674770039421814,51.225490196078425,1610612754,15,4,2021-11-21T00:19:32Z,660000,-6.0,38.0,1,left,MISS D. Sabonis running DUNK - blocked,"[1627734, 1628404]",1610612754.0,IND,running,,,Sabonis,D. Sabonis,,,,,3.89,Missed,,,,,,,,,,,,Hart,1628404.0,,,,,,
89,PT06M20.00S,2021-11-21T00:19:22.2Z,1,REGULAR,block,,[],1628404,,,1610612754,15,4,2021-11-21T00:21:59Z,665000,,,0,,J. Hart BLOCK (1 BLK),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M17.00S,2021-11-21T00:19:25.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,15,4,2021-11-21T00:19:32Z,670000,,,0,,J. Valanciunas REBOUND (Off:1 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,66.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
68,PT06M09.00S,2021-11-21T00:19:33.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203107,86.28449408672799,41.42156862745098,1610612740,15,6,2021-11-21T00:19:39Z,680000,-43.0,76.0,1,right,T. Satoransky 8' fadeaway Jump Shot (2 PTS) (N. Alexander-Walker 1 AST),"[203107, 1629638]",1610612740.0,NOP,fadeaway,,,Satoransky,T. Satoransky,,,,,8.76,Made,,,,,,,,2.0,N. Alexander-Walker,1629638.0,1.0,,,,,,,,
70,PT05M56.00S,2021-11-21T00:19:45.3Z,1,REGULAR,2pt,Jump Shot,[],1630537,24.78646517739816,58.08823529411765,1610612754,17,6,2021-11-21T00:19:50Z,700000,-40.0,180.0,1,left,C. Duarte 18' pullup Jump Shot (2 PTS) (D. Sabonis 2 AST),"[1630537, 1627734]",1610612754.0,IND,pullup,,,Duarte,C. Duarte,,,,,18.5,Made,,,,,,,,2.0,D. Sabonis,1627734.0,2.0,,,,,,,,
72,PT05M36.00S,2021-11-21T00:20:05.7Z,1,REGULAR,3pt,Jump Shot,[],203107,76.03482260183968,85.7843137254902,1610612740,17,6,2021-11-21T00:20:09Z,720000,179.0,173.0,1,right,MISS T. Satoransky 24' 3PT,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,24.87,Missed,,,,,,,,,,,,,,,,,,,
73,PT05M33.00S,2021-11-21T00:20:08.7Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,17,6,2021-11-21T00:20:09Z,730000,,,0,,C. Duarte REBOUND (Off:0 Def:1),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
74,PT05M23.00S,2021-11-21T00:20:19.2Z,1,REGULAR,2pt,Jump Shot,[],1627734,22.815374507227332,68.62745098039215,1610612754,19,6,2021-11-21T00:20:26Z,740000,-93.0,162.0,1,left,D. Sabonis 18' Jump Shot (6 PTS) (C. Duarte 1 AST),"[1627734, 1630537]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,18.68,Made,,,,,,,,6.0,C. Duarte,1630537.0,1.0,,,,,,,,
76,PT04M55.00S,2021-11-21T00:20:46.4Z,1,REGULAR,2pt,Jump Shot,[],1627742,83.919185282523,69.6078431372549,1610612740,19,6,2021-11-21T00:20:51Z,760000,98.0,99.0,1,right,MISS B. Ingram 13' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,13.91,Missed,,,,,,,,,,,,,,,,,,,
77,PT04M52.00S,2021-11-21T00:20:49.4Z,1,REGULAR,rebound,defensive,[],204456,,,1610612754,19,6,2021-11-21T00:20:51Z,770000,,,0,,T. McConnell REBOUND (Off:0 Def:1),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
78,PT04M47.00S,2021-11-21T00:20:54.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627734,6.652431011826544,53.92156862745098,1610612754,21,6,2021-11-21T00:21:01Z,780000,-20.0,10.0,1,left,D. Sabonis cutting finger roll Layup (8 PTS) (T. McConnell 1 AST),"[1627734, 204456]",1610612754.0,IND,cutting finger roll,,,Sabonis,D. Sabonis,,,,,2.2,Made,,,,,,,,8.0,T. McConnell,204456.0,1.0,,,,,,,,
80,PT04M32.00S,2021-11-21T00:21:12.1Z,1,REGULAR,foul,offensive,[],1628404,,,1610612740,21,6,2021-11-21T00:21:20Z,800000,,,0,,J. Hart offensive FOUL (1 PF),"[1628404, 204456]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,McConnell,204456.0,
82,PT04M32.00S,2021-11-21T00:21:12.1Z,1,REGULAR,turnover,offensive foul,[],1628404,,,1610612740,21,6,2021-11-21T00:21:12Z,820000,,,0,,J. Hart offensive foul TURNOVER (2 TO),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,2.0,,,,,,,,,201639.0,,,,,
83,PT04M32.00S,2021-11-21T00:21:18.9Z,1,REGULAR,substitution,out,[],1629638,,,1610612754,21,6,2021-11-21T00:21:26Z,830000,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M32.00S,2021-11-21T00:21:18.9Z,1,REGULAR,substitution,out,[],203107,,,1610612754,21,6,2021-11-21T00:21:26Z,840000,,,0,,SUB out: T. Satoransky,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M32.00S,2021-11-21T00:21:18.9Z,1,REGULAR,substitution,in,[],1630529,,,1610612754,21,6,2021-11-21T00:21:26Z,850000,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M32.00S,2021-11-21T00:21:18.9Z,1,REGULAR,substitution,in,[],1630184,,,1610612754,21,6,2021-11-21T00:21:26Z,860000,,,0,,SUB in: K. Lewis Jr.,[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M23.00S,2021-11-21T00:21:42.6Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612754,21,6,2021-11-21T00:21:48Z,870000,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Sabonis 2 FT),"[202685, 1627734]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,Sabonis,1627734.0,
