actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-11-21T00:10:19.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-21T00:10:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-21T00:10:20.4Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612740,0,0,2021-11-21T00:10:20Z,40000,,,0,,Jump Ball J. Valanciunas vs. M. Turner: Tip to J. Hart,"[1628404, 202685, 1626167]",1610612740.0,NOP,startperiod,J. Hart,1628404.0,Hart,J. Hart,Valanciunas,202685.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-11-21T00:10:31.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,83.13074901445466,39.21568627450981,1610612740,0,0,2021-11-21T00:10:37Z,70000,-54.0,106.0,1,right,MISS B. Ingram 11' fadeaway Shot,[1627742],1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,11.9,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-11-21T00:10:33.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,0,2021-11-21T00:10:37Z,80000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2021-11-21T00:10:47.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,19.398817345597898,37.5,1610612754,0,0,2021-11-21T00:10:57Z,90000,62.0,130.0,1,left,MISS C. LeVert 14' driving floating Shot,[1627747],1610612754.0,IND,driving floating,,,LeVert,C. LeVert,,,,,14.41,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2021-11-21T00:10:50.2Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,0,0,2021-11-21T00:10:57Z,100000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M14.00S,2021-11-21T00:11:04.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629638,82.21090670170827,49.26470588235294,1610612740,0,0,2021-11-21T00:11:36Z,110000,-4.0,115.0,1,right,MISS N. Alexander-Walker 11' floating Shot,[1629638],1610612740.0,NOP,floating,,,Alexander-Walker,N. Alexander-Walker,,,,,11.48,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2021-11-21T00:11:07.8Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,0,0,2021-11-21T00:11:09Z,120000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M03.00S,2021-11-21T00:11:14.8Z,1,REGULAR,2pt,Jump Shot,[],203200,25.837713534822605,53.92156862745098,1610612754,0,0,2021-11-21T00:11:20Z,130000,-20.0,190.0,1,left,MISS J. Holiday 19' pullup Shot,[203200],1610612754.0,IND,pullup,,,Holiday,J. Holiday,,,,,19.14,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2021-11-21T00:11:16.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2021-11-21T00:11:20Z,140000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
