actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-28T22:10:15.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-28T22:10:15Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-28T22:10:17.7Z,1,REGULAR,jumpball,recovered,[],201950,,,1610612749,0,0,2021-11-28T22:10:17Z,40000,,,0,,Jump Ball B. Portis vs. M. Turner: Tip to J. Holiday,"[201950, 1626171, 1626167]",1610612749.0,MIL,startperiod,J. Holiday,201950.0,Holiday,J. Holiday,Portis,1626171.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-11-28T22:10:36.5Z,1,REGULAR,2pt,Jump Shot,[],203507,93.77463863337714,74.01960784313727,1610612749,0,2,2021-11-28T22:10:43Z,70000,120.0,6.0,1,right,G. Antetokounmpo 12' turnaround fadeaway Jump Shot (2 PTS) (B. Portis 1 AST),"[203507, 1626171]",1610612749.0,MIL,turnaround fadeaway,,,Antetokounmpo,G. Antetokounmpo,,,,,12.02,Made,2.0,B. Portis,1626171.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2021-11-28T22:10:54.3Z,1,REGULAR,turnover,bad pass,[],1627747,,,1610612754,0,2,2021-11-28T22:10:58Z,90000,,,0,,C. LeVert bad pass TURNOVER (1 TO),"[1627747, 201950]",1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,1.0,Holiday,201950.0,,,,,,,,,,,
10,PT11M20.00S,2021-11-28T22:10:54.3Z,1,REGULAR,steal,,[],201950,,,1610612749,0,2,2021-11-28T22:10:56Z,100000,,,0,,J. Holiday STEAL (1 STL),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2021-11-28T22:11:01.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203114,94.03745072273325,3.431372549019608,1610612749,0,2,2021-11-28T22:11:05Z,110000,-233.0,4.0,1,right,MISS K. Middleton 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,23.28,Missed,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2021-11-28T22:11:04.3Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,2,2021-11-28T22:11:05Z,120000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,
13,PT10M58.00S,2021-11-28T22:11:16.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.783837056504599,54.166666666666664,1610612754,0,2,2021-11-28T22:11:20Z,130000,-21.0,11.0,1,left,MISS D. Sabonis Layup,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,2.37,Missed,,,,,,,,,,,,,,,,,,
14,PT10M56.00S,2021-11-28T22:11:18.3Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612754,0,2,2021-11-28T22:11:18Z,140000,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,
15,PT10M53.00S,2021-11-28T22:11:21.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203200,19.004599211563733,91.17647058823529,1610612754,3,2,2021-11-28T22:11:25Z,150000,-206.0,126.0,1,left,J. Holiday 24' 3PT  (3 PTS) (D. Sabonis 1 AST),"[203200, 1627734]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,24.14,Made,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,,,
17,PT10M40.00S,2021-11-28T22:11:33.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,90.75229960578186,42.8921568627451,1610612749,3,4,2021-11-28T22:11:39Z,170000,-36.0,34.0,1,right,J. Holiday driving finger roll Layup (2 PTS),[201950],1610612749.0,MIL,driving finger roll,,,Holiday,J. Holiday,,,,,4.94,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M27.00S,2021-11-28T22:11:47.1Z,1,REGULAR,2pt,Jump Shot,[],1627747,9.280551905387648,30.14705882352941,1610612754,3,4,2021-11-28T22:11:52Z,180000,99.0,35.0,1,left,MISS C. LeVert 10' pullup Shot,[1627747],1610612754.0,IND,pullup,,,LeVert,C. LeVert,,,,,10.52,Missed,,,,,,,,,,,,,,,,,,
19,PT10M23.00S,2021-11-28T22:11:51.1Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,3,4,2021-11-28T22:11:52Z,190000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,
20,PT10M18.00S,2021-11-28T22:11:56.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201950,82.34231274638634,95.09803921568627,1610612749,3,4,2021-11-28T22:14:19Z,200000,225.0,113.0,1,right,MISS J. Holiday 25' running 3PT,[201950],1610612749.0,MIL,running,,,Holiday,J. Holiday,,,,,25.25,Missed,,,,,,,,,,,,,,,,,,
21,PT10M15.00S,2021-11-28T22:11:59.8Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,3,4,2021-11-28T22:12:03Z,210000,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,
22,PT10M04.00S,2021-11-28T22:12:10.9Z,1,REGULAR,turnover,bad pass,[],1627734,,,1610612754,3,4,2021-11-28T22:12:14Z,220000,,,0,,D. Sabonis bad pass TURNOVER (1 TO),"[1627734, 203114]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,1.0,Middleton,203114.0,,,,,,,,,,,
23,PT10M04.00S,2021-11-28T22:12:10.9Z,1,REGULAR,steal,,[],203114,,,1610612749,3,4,2021-11-28T22:12:12Z,230000,,,0,,K. Middleton STEAL (1 STL),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,
