actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-02-03T00:10:20.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-03T00:10:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-02-03T00:10:22.5Z,1,REGULAR,jumpball,recovered,[],1630175,,,1610612753,0,0,2022-02-03T00:10:22Z,40000,,,0,,Jump Ball M. Bamba vs. I. Jackson: Tip to C. Anthony,"[1630175, 1628964, 1630543]",1610612753.0,ORL,startperiod,C. Anthony,1630175.0,Anthony,C. Anthony,Bamba,1628964.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-02-03T00:10:31.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,88.91261498028909,59.068627450980394,1610612753,0,0,2022-02-03T00:10:36Z,70000,45.0,52.0,1,right,MISS W. Carter Jr. 6' turnaround Shot,[1628976],1610612753.0,ORL,turnaround,,,Carter Jr.,W. Carter Jr.,,,,,6.87,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-02-03T00:10:35.3Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612754,0,0,2022-02-03T00:10:36Z,80000,,,0,,T. Craig REBOUND (Off:0 Def:1),[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-02-03T00:10:53.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,0,0,2022-02-03T00:10:53Z,90000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M38.00S,2022-02-03T00:11:14.9Z,1,REGULAR,substitution,out,[],1630543,,,1610612754,0,0,2022-02-03T00:12:16Z,100000,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M38.00S,2022-02-03T00:11:14.9Z,1,REGULAR,substitution,in,[],1630678,,,1610612754,0,0,2022-02-03T00:12:16Z,110000,,,0,,SUB in: T. Taylor,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M31.00S,2022-02-03T00:13:48.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,8.623521681997373,45.588235294117645,1610612754,0,0,2022-02-03T00:13:54Z,120000,22.0,29.0,1,left,MISS C. LeVert driving finger roll Layup,[1627747],1610612754.0,IND,driving finger roll,,,LeVert,C. LeVert,,,,,3.61,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M29.00S,2022-02-03T00:13:50.1Z,1,REGULAR,rebound,offensive,[],1630678,,,1610612754,0,0,2022-02-03T00:13:54Z,130000,,,0,,T. Taylor REBOUND (Off:1 Def:0),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
14,PT11M27.00S,2022-02-03T00:13:51.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630678,7.046649145860711,56.372549019607845,1610612754,0,0,2022-02-03T00:14:01Z,140000,-32.0,14.0,1,left,MISS T. Taylor putback Layup - blocked,"[1630678, 1628964]",1610612754.0,IND,putback,,,Taylor,T. Taylor,,,,,3.47,Missed,,,,,Bamba,1628964.0,,,,,,,,,,,,,
