actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-09T00:10:40.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-09T00:10:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-09T00:10:42.8Z,1,REGULAR,jumpball,recovered,[],1629052,,,1610612754,0,0,2022-03-09T00:10:42Z,40000,,,0,,Jump Ball I. Jackson vs. E. Mobley: Tip to O. Brissett,"[1629052, 1630543, 1630596]",1610612754.0,IND,startperiod,O. Brissett,1629052.0,Brissett,O. Brissett,Jackson,1630543.0,Mobley,1630596.0,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-03-09T00:10:55.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,0,0,2022-03-09T00:10:55Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-03-09T00:11:12.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630543,90.62089356110381,41.42156862745098,1610612754,2,0,2022-03-09T00:11:24Z,80000,-43.0,36.0,1,right,I. Jackson driving floating bank Jump Shot (2 PTS) (T. Haliburton 1 AST),"[1630543, 1630169]",1610612754.0,IND,driving floating bank,,,Jackson,I. Jackson,,,,,5.58,Made,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,
10,PT11M25.00S,2022-03-09T00:11:30.6Z,1,REGULAR,foul,personal,['2freethrow'],1627741,,,1610612739,2,0,2022-03-09T00:11:39Z,100000,,,0,,B. Hield shooting personal FOUL (1 PF) (Mobley 2 FT),"[1627741, 1630596]",1610612754.0,IND,shooting,,,Hield,B. Hield,,,,,,,,,,,202007.0,1.0,0.0,Mobley,1630596.0,,,,,,,,,
12,PT11M25.00S,2022-03-09T00:11:51.6Z,1,REGULAR,freethrow,1 of 2,[],1630596,,,1610612739,2,1,2022-03-09T00:11:51Z,120000,,,0,,E. Mobley Free Throw 1 of 2 (1 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
13,PT11M25.00S,2022-03-09T00:12:06.5Z,1,REGULAR,freethrow,2 of 2,[],1630596,,,1610612739,2,2,2022-03-09T00:12:06Z,130000,,,0,,E. Mobley Free Throw 2 of 2 (2 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2022-03-09T00:12:20.6Z,1,REGULAR,turnover,out-of-bounds,[],1627763,,,1610612754,2,2,2022-03-09T00:12:28Z,140000,,,0,,M. Brogdon bad pass out-of-bounds TURNOVER (1 TO),[1627763],1610612754.0,IND,bad pass,,,Brogdon,M. Brogdon,,,,,,,,,,,204058.0,,,,,1.0,,,,,,,,
15,PT11M05.00S,2022-03-09T00:12:42.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629636,5.863994743758213,49.01960784313725,1610612739,2,2,2022-03-09T00:12:50Z,150000,5.0,3.0,1,left,MISS D. Garland driving finger roll Layup,[1629636],1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,0.55,Missed,,,,,,,,,,,,,,,,,,
16,PT11M04.00S,2022-03-09T00:12:45.9Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,2,2,2022-03-09T00:12:45Z,160000,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,
17,PT11M04.00S,2022-03-09T00:12:48.7Z,1,REGULAR,foul,personal,['2freethrow'],1629052,,,1610612739,2,2,2022-03-09T00:12:54Z,170000,,,0,,O. Brissett shooting personal FOUL (1 PF) (Mobley 2 FT),"[1629052, 1630596]",1610612754.0,IND,shooting,,,Brissett,O. Brissett,,,,,,,,,,,204058.0,1.0,0.0,Mobley,1630596.0,,,,,,,,,
19,PT11M04.00S,2022-03-09T00:13:06.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1630596,,,1610612739,2,3,2022-03-09T00:13:24Z,190000,,,0,,E. Mobley Free Throw 1 of 2 (3 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
