actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-06T00:40:35.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-06T00:40:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-06T00:40:37.6Z,1,REGULAR,jumpball,recovered,[],201142,,,1610612751,0,0,2022-01-06T00:40:37Z,40000,,,0,,Jump Ball N. Claxton vs. M. Turner: Tip to K. Durant,"[201142, 1629651, 1626167]",1610612751.0,BKN,startperiod,K. Durant,201142.0,Durant,K. Durant,Claxton,1629651.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-06T00:40:54.3Z,1,REGULAR,2pt,Jump Shot,[],202681,20.71287779237845,26.96078431372549,1610612751,0,0,2022-01-06T00:41:00Z,70000,115.0,142.0,1,left,MISS K. Irving 18' fadeaway Shot,[202681],1610612751.0,BKN,fadeaway,,,Irving,K. Irving,,,,,18.3,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-01-06T00:40:57.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,0,0,2022-01-06T00:41:00Z,80000,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-01-06T00:40:59.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,0,0,2022-01-06T00:40:59Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2022-01-06T00:41:27.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626208,91.80354796320631,46.568627450980394,1610612754,2,0,2022-01-06T00:41:31Z,100000,-17.0,25.0,1,right,K. Sykes driving finger roll Layup (2 PTS),[1626208],1610612754.0,IND,driving finger roll,,,Sykes,K. Sykes,,,,,2.99,Made,,2.0,,,,,,,,,,,,,,,,,
11,PT11M01.00S,2022-01-06T00:41:41.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,19.530223390275953,49.754901960784316,1610612751,2,2,2022-01-06T00:42:05Z,110000,1.0,131.0,1,left,K. Durant 13' turnaround Jump Shot (2 PTS) (K. Irving 1 AST),"[201142, 202681]",1610612751.0,BKN,turnaround,,,Durant,K. Durant,,,,,13.11,Made,,2.0,K. Irving,202681.0,1.0,,,,,,,,,,,,,,
13,PT10M49.00S,2022-01-06T00:41:55.5Z,1,REGULAR,turnover,bad pass,[],1627734,,,1610612754,2,2,2022-01-06T00:41:58Z,130000,,,0,,D. Sabonis bad pass TURNOVER (1 TO),"[1627734, 1629651]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,1.0,Claxton,1629651.0,,,,,,,,,,,
14,PT10M49.00S,2022-01-06T00:41:55.5Z,1,REGULAR,steal,,[],1629651,,,1610612751,2,2,2022-01-06T00:41:57Z,140000,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M30.00S,2022-01-06T00:42:22.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,2,2,2022-01-06T00:42:22Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
