actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-13T00:10:21.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-13T00:10:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-13T00:10:23.6Z,1,REGULAR,jumpball,recovered,[],1627734,,,1610612754,0,0,2022-01-13T00:10:23Z,40000,,,0,,Jump Ball M. Turner vs. R. Williams III: Tip to D. Sabonis,"[1627734, 1626167, 1629057]",1610612754.0,IND,startperiod,D. Sabonis,1627734.0,Sabonis,D. Sabonis,Turner,1626167.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-01-13T00:10:33.3Z,1,REGULAR,3pt,Jump Shot,[],1626167,32.933639947437584,68.38235294117648,1610612754,0,0,2022-01-13T00:11:49Z,70000,-92.0,257.0,1,left,MISS M. Turner 27' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,27.3,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-01-13T00:10:37.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2022-01-13T00:10:38Z,80000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2022-01-13T00:10:52.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201143,86.15308804204993,44.36274509803921,1610612738,0,2,2022-01-13T00:10:56Z,90000,-28.0,78.0,1,right,A. Horford 8' driving floating Jump Shot (2 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,driving floating,,,Horford,A. Horford,,,,,8.27,Made,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,
11,PT11M17.00S,2022-01-13T00:11:03.5Z,1,REGULAR,2pt,Jump Shot,[],1627763,23.078186596583443,44.6078431372549,1610612754,2,2,2022-01-13T00:11:07Z,110000,27.0,164.0,1,left,M. Brogdon 16' driving floating Jump Shot (2 PTS) (D. Sabonis 1 AST),"[1627763, 1627734]",1610612754.0,IND,driving floating,,,Brogdon,M. Brogdon,,,,,16.66,Made,,,,,2.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,
13,PT11M00.00S,2022-01-13T00:11:20.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,75.1149802890933,84.06862745098039,1610612738,2,5,2022-01-13T00:11:24Z,130000,170.0,181.0,1,right,J. Tatum 24' 3PT  (3 PTS) (R. Williams III 1 AST),"[1628369, 1629057]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.88,Made,,,,,3.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,
15,PT10M45.00S,2022-01-13T00:11:36.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,14.799605781865965,48.28431372549019,1610612754,2,5,2022-01-13T00:11:41Z,150000,9.0,87.0,1,left,MISS C. LeVert 8' pullup Shot,[1627747],1610612754.0,IND,pullup,,,LeVert,C. LeVert,,,,,8.7,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M43.00S,2022-01-13T00:11:38.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,2,5,2022-01-13T00:11:41Z,160000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,
17,PT10M43.00S,2022-01-13T00:11:41.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,2,5,2022-01-13T00:11:41Z,170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
