actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-30T23:40:23.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-30T23:40:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-10-30T23:40:25.7Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2021-10-30T23:40:25Z,40000,,,0,,Jump Ball P. Achiuwa vs. M. Turner: Tip to S. Barnes,"[1630567, 1630173, 1626167]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Achiuwa,1630173.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-10-30T23:40:38.0Z,1,REGULAR,2pt,Jump Shot,[],1630567,16.770696452036795,68.62745098039215,1610612761,0,0,2021-10-30T23:40:43Z,70000,-93.0,105.0,1,left,MISS S. Barnes 14' driving floating Shot,[1630567],1610612761.0,TOR,driving floating,,,Barnes,S. Barnes,,,,,14.04,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2021-10-30T23:40:41.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,0,2021-10-30T23:40:43Z,80000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2021-10-30T23:40:46.5Z,1,REGULAR,turnover,out-of-bounds,[],204456,,,1610612754,0,0,2021-10-30T23:40:53Z,90000,,,0,,T. McConnell lost ball out-of-bounds TURNOVER (1 TO),[204456],1610612754.0,IND,lost ball,,,McConnell,T. McConnell,,,,,,,,,,,1199.0,1.0,,,,,,,,,,,,,
10,PT11M15.00S,2021-10-30T23:41:18.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629018,6.389618922470433,56.61764705882353,1610612761,0,0,2021-10-30T23:41:24Z,100000,-33.0,8.0,1,left,MISS G. Trent Jr. driving Layup,[1629018],1610612761.0,TOR,driving,,,Trent Jr.,G. Trent Jr.,,,,,3.4,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2021-10-30T23:41:21.9Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612754,0,0,2021-10-30T23:41:24Z,110000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M06.00S,2021-10-30T23:41:26.5Z,1,REGULAR,turnover,lost ball,[],1627747,,,1610612754,0,0,2021-10-30T23:41:29Z,120000,,,0,,C. LeVert lost ball TURNOVER (1 TO),"[1627747, 1629018]",1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,1.0,Trent Jr.,1629018.0,,,,,,,,,,,
13,PT11M06.00S,2021-10-30T23:41:26.5Z,1,REGULAR,steal,,[],1629018,,,1610612761,0,0,2021-10-30T23:41:28Z,130000,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2021-10-30T23:41:30.3Z,1,REGULAR,turnover,out-of-bounds,[],1629018,,,1610612761,0,0,2021-10-30T23:41:38Z,140000,,,0,,G. Trent Jr. lost ball out-of-bounds TURNOVER (1 TO),[1629018],1610612761.0,TOR,lost ball,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,202007.0,1.0,,,,,,,,,,,,,
