actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-11-14T00:10:56.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-14T00:10:56Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-14T00:10:58.7Z,1,REGULAR,jumpball,recovered,[],203552,,,1610612755,0,0,2021-11-14T00:10:58Z,40000,,,0,,Jump Ball A. Drummond vs. M. Turner: Tip to S. Curry,"[203552, 203083, 1626167]",1610612755.0,PHI,startperiod,S. Curry,203552.0,Curry,S. Curry,Drummond,203083.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-11-14T00:11:15.0Z,1,REGULAR,turnover,bad pass,[],202699,,,1610612755,0,0,2021-11-14T00:11:21Z,70000,,,0,,T. Harris bad pass TURNOVER (1 TO),"[202699, 1630537]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,1.0,Duarte,1630537.0,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-11-14T00:11:15.0Z,1,REGULAR,steal,,[],1630537,,,1610612754,0,0,2021-11-14T00:11:17Z,80000,,,0,,C. Duarte STEAL (1 STL),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2021-11-14T00:11:18.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630537,93.38042049934296,53.92156862745098,1610612754,2,0,2021-11-14T00:11:27Z,90000,20.0,10.0,1,right,C. Duarte running finger roll Layup (2 PTS),[1630537],1610612754.0,IND,running finger roll,,,Duarte,C. Duarte,,,,,,,,2.19,Made,2.0,,,,,,,,,,,,,,,
10,PT11M30.00S,2021-11-14T00:11:26.9Z,1,REGULAR,2pt,Jump Shot,[],203552,21.50131406044678,71.56862745098039,1610612755,2,2,2021-11-14T00:11:31Z,100000,-108.0,150.0,1,left,S. Curry 18' pullup Jump Shot (2 PTS) (T. Harris 1 AST),"[203552, 202699]",1610612755.0,PHI,pullup,,,Curry,S. Curry,,,,,,,,18.44,Made,2.0,T. Harris,202699.0,1.0,,,,,,,,,,,,
12,PT11M12.00S,2021-11-14T00:11:44.1Z,1,REGULAR,3pt,Jump Shot,[],1627763,65.25952693823915,49.50980392156863,1610612754,2,2,2021-11-14T00:11:49Z,120000,-2.0,274.0,1,right,MISS M. Brogdon 27' 3PT,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,27.41,Missed,,,,,,,,,,,,,,,,
13,PT11M08.00S,2021-11-14T00:11:48.1Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,2,2,2021-11-14T00:11:49Z,130000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT11M04.00S,2021-11-14T00:11:51.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202699,32.933639947437584,39.950980392156865,1610612755,2,5,2021-11-14T00:11:57Z,140000,50.0,257.0,1,left,T. Harris 26' 3PT running pullup (3 PTS),[202699],1610612755.0,PHI,running pullup,,,Harris,T. Harris,,,,,,,,26.2,Made,3.0,,,,,,,,,,,,,,,
15,PT10M37.00S,2021-11-14T00:12:19.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,93.11760840998686,51.71568627450981,1610612754,4,5,2021-11-14T00:12:28Z,150000,9.0,12.0,1,right,D. Sabonis reverse Layup (2 PTS) (C. LeVert 1 AST),"[1627734, 1627747]",1610612754.0,IND,reverse,,,Sabonis,D. Sabonis,,,,,,,,1.49,Made,2.0,C. LeVert,1627747.0,1.0,,,,,,,,,,,,
