actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-02T00:10:29.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-02T00:10:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-02T00:10:33.0Z,1,REGULAR,jumpball,recovered,[],1627789,,,1610612737,0,0,2021-12-02T00:10:33Z,40000,,,0,,Jump Ball C. Capela vs. M. Turner: Tip to T. Luwawu-Cabarrot,"[1627789, 203991, 1626167]",1610612737.0,ATL,startperiod,T. Luwawu-Cabarrot,1627789.0,Luwawu-Cabarrot,T. Luwawu-Cabarrot,Capela,203991.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-12-02T00:10:53.3Z,1,REGULAR,3pt,Jump Shot,[],1627789,20.844283837056505,7.352941176470589,1610612737,0,3,2021-12-02T00:10:57Z,70000,213.0,143.0,1,left,T. Luwawu-Cabarrot 25' 3PT  (3 PTS) (C. Capela 1 AST),"[1627789, 203991]",1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,25.69,Made,3.0,C. Capela,203991.0,1.0,,,,,,,,,,,,,,,
9,PT11M20.00S,2021-12-02T00:11:09.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,93.11760840998686,46.07843137254902,1610612754,2,3,2021-12-02T00:11:13Z,90000,-20.0,12.0,1,right,D. Sabonis Layup (2 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,2.31,Made,2.0,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2021-12-02T00:11:13.4Z,1,REGULAR,foul,personal,['1freethrow'],203991,,,1610612754,2,3,2021-12-02T00:11:20Z,100000,,,0,,C. Capela shooting personal FOUL (1 PF) (Sabonis 1 FT),"[203991, 1627734]",1610612737.0,ATL,shooting,,,Capela,C. Capela,,,,,,,,,,,201638.0,1.0,0.0,Sabonis,1627734.0,,,,,,,,,,
12,PT11M20.00S,2021-12-02T00:11:36.1Z,1,REGULAR,freethrow,1 of 1,[],1627734,,,1610612754,3,3,2021-12-02T00:11:36Z,120000,,,0,,D. Sabonis Free Throw 1 of 1 (3 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2021-12-02T00:11:52.9Z,1,REGULAR,3pt,Jump Shot,[],1628381,10.726018396846255,2.2058823529411766,1610612737,3,6,2021-12-02T00:11:57Z,130000,239.0,48.0,1,left,J. Collins 24' 3PT  (3 PTS) (T. Luwawu-Cabarrot 1 AST),"[1628381, 1627789]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,24.38,Made,3.0,T. Luwawu-Cabarrot,1627789.0,1.0,,,,,,,,,,,,,,,
16,PT10M48.00S,2021-12-02T00:12:12.1Z,1,REGULAR,2pt,Jump Shot,[],1627763,78.53153745072274,45.588235294117645,1610612754,5,6,2021-12-02T00:12:22Z,160000,-22.0,149.0,1,right,M. Brogdon 15' driving floating Jump Shot (2 PTS),[1627763],1610612754.0,IND,driving floating,,,Brogdon,M. Brogdon,,,,,15.09,Made,2.0,,,,,,,,,,,,,,,,,,
17,PT10M37.00S,2021-12-02T00:12:23.3Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,5,6,2021-12-02T00:12:28Z,170000,,,0,,T. Young bad pass out-of-bounds TURNOVER (1 TO),[1629027],1610612737.0,ATL,bad pass,,,Young,T. Young,,,,,,,,,,,1628484.0,,,,,1.0,,,,,,,,,
18,PT10M23.00S,2021-12-02T00:12:40.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627747,75.1149802890933,86.02941176470588,1610612754,5,6,2021-12-02T00:12:46Z,180000,180.0,181.0,1,right,MISS C. LeVert 25' 3PT,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,25.56,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M19.00S,2021-12-02T00:12:44.7Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,5,6,2021-12-02T00:12:46Z,190000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,
20,PT10M11.00S,2021-12-02T00:12:51.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,5.732588699080158,49.50980392156863,1610612737,5,8,2021-12-02T00:12:55Z,200000,2.0,1.0,1,left,K. Huerter alley-oop Layup (2 PTS) (T. Young 1 AST),"[1628989, 1629027]",1610612737.0,ATL,alley-oop,,,Huerter,K. Huerter,,,,,0.29,Made,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,,,
22,PT09M53.00S,2021-12-02T00:13:09.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,92.06636005256242,53.67647058823529,1610612754,7,8,2021-12-02T00:13:16Z,220000,18.0,22.0,1,right,C. LeVert driving finger roll Layup (2 PTS) (D. Sabonis 1 AST),"[1627747, 1627734]",1610612754.0,IND,driving finger roll,,,LeVert,C. LeVert,,,,,2.88,Made,2.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,,,,
23,PT09M40.00S,2021-12-02T00:13:23.5Z,1,REGULAR,2pt,Jump Shot,[],1629027,14.931011826544022,31.61764705882353,1610612737,7,8,2021-12-02T00:13:29Z,230000,92.0,88.0,1,left,MISS T. Young 12' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,12.72,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M36.00S,2021-12-02T00:13:27.5Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612754,7,8,2021-12-02T00:13:29Z,240000,,,0,,M. Brogdon REBOUND (Off:0 Def:1),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,
