actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2021-12-11T00:10:38.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-11T00:10:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-11T00:10:39.8Z,1,REGULAR,jumpball,recovered,[],1627734,,,1610612754,0,0,2021-12-11T00:10:39Z,40000,,,0,,Jump Ball M. Turner vs. K. Porzingis: Tip to D. Sabonis,"[1627734, 1626167, 204001]",1610612754.0,IND,startperiod,D. Sabonis,1627734.0,Sabonis,D. Sabonis,Turner,1626167.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-12-11T00:10:59.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,0,0,2021-12-11T00:10:59Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2021-12-11T00:11:16.3Z,1,REGULAR,3pt,Jump Shot,[],1627747,91.14651773981603,94.6078431372549,1610612754,0,0,2021-12-11T00:11:20Z,80000,223.0,31.0,1,right,MISS C. LeVert 3PT,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,22.51,Missed,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2021-12-11T00:11:17.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,0,0,2021-12-11T00:11:27Z,90000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
10,PT11M35.00S,2021-12-11T00:11:21.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612754,0,0,2021-12-11T00:11:28Z,100000,,,0,,IND shot clock Team TURNOVER,[],1610612754.0,IND,,,,,,,,,,,,,2715.0,,,,,,,,,,,,,,,,
11,PT11M16.00S,2021-12-11T00:11:48.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629029,7.966491458607096,45.34313725490196,1610612742,0,2,2021-12-11T00:11:52Z,110000,23.0,22.0,1,left,L. Doncic driving finger roll Layup (2 PTS) (K. Porzingis 1 AST),"[1629029, 204001]",1610612742.0,DAL,driving finger roll,,,Doncic,L. Doncic,,,,,3.23,Made,,,2.0,K. Porzingis,204001.0,1.0,,,,,,,,,,,,
13,PT11M02.00S,2021-12-11T00:12:02.9Z,1,REGULAR,3pt,Jump Shot,[],1626167,76.95466491458606,91.66666666666666,1610612754,0,2,2021-12-11T00:12:08Z,130000,208.0,164.0,1,right,MISS M. Turner 26' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2021-12-11T00:12:05.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,2,2021-12-11T00:12:08Z,140000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,13.0,,,,,,1.0,1.0,0.0,,,,,,,,,
15,PT10M53.00S,2021-12-11T00:12:11.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],204001,35.43035479632063,50.49019607843137,1610612742,0,5,2021-12-11T00:12:20Z,150000,-2.0,281.0,1,left,K. Porzingis 28' 3PT running (3 PTS) (L. Doncic 1 AST),"[204001, 1629029]",1610612742.0,DAL,running,,,Porzingis,K. Porzingis,,,,,28.05,Made,,,3.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,
17,PT10M33.00S,2021-12-11T00:12:32.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,83.52496714848883,50.245098039215684,1610612754,0,5,2021-12-11T00:13:18Z,170000,1.0,102.0,1,right,MISS M. Turner 10' bank Shot,[1626167],1610612754.0,IND,bank,,,Turner,M. Turner,,,,,10.24,Missed,,,,,,,,,,,,,,,,,,
18,PT10M30.00S,2021-12-11T00:12:35.1Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,0,5,2021-12-11T00:13:18Z,180000,,,0,,M. Turner REBOUND (Off:1 Def:0),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,17.0,,,,,,1.0,0.0,1.0,,,,,,,,,
19,PT10M30.00S,2021-12-11T00:12:36.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626167,92.32917214191852,47.30392156862745,1610612754,2,5,2021-12-11T00:12:39Z,190000,-13.0,20.0,1,right,M. Turner putback Layup (2 PTS),[1626167],1610612754.0,IND,putback,,,Turner,M. Turner,,,,,2.38,Made,,,2.0,,,,,,,,,,,,,,,
20,PT10M15.00S,2021-12-11T00:12:49.6Z,1,REGULAR,turnover,bad pass,[],1627827,,,1610612742,2,5,2021-12-11T00:12:58Z,200000,,,0,,D. Finney-Smith bad pass TURNOVER (1 TO),"[1627827, 1627734]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,1.0,Sabonis,1627734.0,,,,,,
21,PT10M15.00S,2021-12-11T00:12:49.6Z,1,REGULAR,steal,,[],1627734,,,1610612754,2,5,2021-12-11T00:12:51Z,210000,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M11.00S,2021-12-11T00:12:53.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627747,93.64323258869908,44.85294117647059,1610612754,2,5,2021-12-11T00:13:02Z,220000,-26.0,7.0,1,right,MISS C. LeVert running Layup,[1627747],1610612754.0,IND,running,,,LeVert,C. LeVert,,,,,2.67,Missed,,,,,,,,,,,,,,,,,,
23,PT10M08.00S,2021-12-11T00:12:56.3Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612754,2,5,2021-12-11T00:12:56Z,230000,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,22.0,,,,,,1.0,0.0,1.0,,,,,,,,,
24,PT10M08.00S,2021-12-11T00:12:56.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1627734,94.40999984741211,50.0,1610612754,2,5,2021-12-11T00:13:00Z,240000,0.0,0.0,1,right,MISS D. Sabonis tip Layup - blocked,"[1627734, 203939]",1610612754.0,IND,tip,,,Sabonis,D. Sabonis,,,,,0.0,Missed,,,,,,,,,,,,,Powell,203939.0,,,,
40,PT10M08.00S,2021-12-11T00:12:56.3Z,1,REGULAR,block,,[],203939,,,1610612754,2,5,2021-12-11T00:14:58Z,245000,,,0,,D. Powell BLOCK (1 BLK),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M07.00S,2021-12-11T00:12:57.3Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,2,5,2021-12-11T00:18:13Z,250000,,,0,,R. Bullock REBOUND (Off:0 Def:1),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,24.0,,,,,,1.0,1.0,0.0,,,,,,,,,
26,PT10M06.00S,2021-12-11T00:13:04.0Z,1,REGULAR,turnover,out-of-bounds,[],1629029,,,1610612742,2,5,2021-12-11T00:13:08Z,260000,,,0,,L. Doncic bad pass out-of-bounds TURNOVER (1 TO),[1629029],1610612742.0,DAL,bad pass,,,Doncic,L. Doncic,,,,,,,,2715.0,,,,,,,,1.0,,,,,,,,
27,PT09M53.00S,2021-12-11T00:13:26.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630537,76.95466491458606,50.49019607843137,1610612754,4,5,2021-12-11T00:13:30Z,270000,2.0,164.0,1,right,C. Duarte 16' pullup Jump Shot (2 PTS) (M. Brogdon 1 AST),"[1630537, 1627763]",1610612754.0,IND,pullup,,,Duarte,C. Duarte,,,,,16.41,Made,,,2.0,M. Brogdon,1627763.0,1.0,,,,,,,,,,,,
