actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-17T00:10:25.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-17T00:10:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-17T00:10:28.2Z,1,REGULAR,jumpball,recovered,[],202954,,,1610612754,0,0,2021-12-17T00:10:28Z,40000,,,0,,Jump Ball M. Turner vs. I. Stewart: Tip to B. Wanamaker,"[202954, 1626167, 1630191]",1610612754.0,IND,startperiod,B. Wanamaker,202954.0,Wanamaker,B. Wanamaker,Turner,1626167.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-12-17T00:10:50.8Z,1,REGULAR,foul,personal,['2freethrow'],1630191,,,1610612754,0,0,2021-12-17T00:10:54Z,70000,,,0,,I. Stewart shooting personal FOUL (1 PF) (Sabonis 2 FT),"[1630191, 1627734]",1610612765.0,DET,shooting,,,Stewart,I. Stewart,,,,,204059.0,1.0,0.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,
9,PT11M35.00S,2021-12-17T00:11:17.1Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612754,1,0,2021-12-17T00:11:17Z,90000,,,0,,D. Sabonis Free Throw 1 of 2 (1 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M35.00S,2021-12-17T00:11:32.1Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612754,2,0,2021-12-17T00:11:32Z,100000,,,0,,D. Sabonis Free Throw 2 of 2 (2 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
11,PT11M15.00S,2021-12-17T00:11:54.0Z,1,REGULAR,2pt,Jump Shot,[],1630191,6.915243101182654,25.98039215686275,1610612765,2,0,2021-12-17T00:11:59Z,110000,120.0,13.0,1,left,MISS I. Stewart 12' Jump Shot,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,Missed,,12.07,,,,,,,,,,,,,
12,PT11M12.00S,2021-12-17T00:11:57.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,2,0,2021-12-17T00:11:59Z,120000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M05.00S,2021-12-17T00:12:03.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202954,82.07950065703022,40.931372549019606,1610612754,2,0,2021-12-17T00:12:08Z,130000,-45.0,116.0,1,right,MISS B. Wanamaker 12' driving floating Shot,[202954],1610612754.0,IND,driving floating,,,Wanamaker,B. Wanamaker,,,,,,,,,,Missed,,12.45,,,,,,,,,,,,,
14,PT11M03.00S,2021-12-17T00:12:05.9Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,2,0,2021-12-17T00:12:08Z,140000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT10M57.00S,2021-12-17T00:12:11.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630191,5.601182654402102,54.41176470588235,1610612765,2,2,2021-12-17T00:12:17Z,150000,-22.0,0.0,1,left,I. Stewart running alley-oop Layup (2 PTS) (C. Cunningham 1 AST),"[1630191, 1630595]",1610612765.0,DET,running alley-oop,,,Stewart,I. Stewart,,,,,,,,,,Made,2.0,2.21,,,,,C. Cunningham,1630595.0,1.0,,,,,,
17,PT10M43.00S,2021-12-17T00:12:24.9Z,1,REGULAR,3pt,Jump Shot,[],203200,94.03745072273325,95.34313725490196,1610612754,2,2,2021-12-17T00:12:30Z,170000,227.0,4.0,1,right,MISS J. Holiday 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,Missed,,22.67,,,,,,,,,,,,,
18,PT10M40.00S,2021-12-17T00:12:27.9Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,2,2,2021-12-17T00:12:30Z,180000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,
19,PT10M35.00S,2021-12-17T00:12:34.9Z,1,REGULAR,foul,personal,['2freethrow'],1626167,,,1610612765,2,2,2021-12-17T00:12:44Z,190000,,,0,,M. Turner shooting personal FOUL (1 PF) (Bey 2 FT),"[1626167, 1630180]",1610612754.0,IND,shooting,,,Turner,M. Turner,,,,,204059.0,1.0,0.0,Bey,1630180.0,,,,,,,,,,,,,,,,
21,PT10M35.00S,2021-12-17T00:12:55.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630180,,,1610612765,2,3,2021-12-17T00:12:55Z,210000,,,0,,S. Bey Free Throw 1 of 2 (1 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
22,PT10M35.00S,2021-12-17T00:13:09.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630180,,,1610612765,2,4,2021-12-17T00:13:09Z,220000,,,0,,S. Bey Free Throw 2 of 2 (2 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
23,PT10M15.00S,2021-12-17T00:13:33.2Z,1,REGULAR,2pt,Jump Shot,[],1627734,91.93495400788436,31.372549019607842,1610612754,2,4,2021-12-17T00:13:38Z,230000,-93.0,23.0,1,right,MISS D. Sabonis 9' turnaround Shot,[1627734],1610612754.0,IND,turnaround,,,Sabonis,D. Sabonis,,,,,,,,,,Missed,,9.6,,,,,,,,,,,,,
24,PT10M11.00S,2021-12-17T00:13:37.2Z,1,REGULAR,rebound,defensive,[],1628977,,,1610612765,2,4,2021-12-17T00:13:38Z,240000,,,0,,H. Diallo REBOUND (Off:0 Def:1),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,
25,PT10M05.00S,2021-12-17T00:13:44.6Z,1,REGULAR,foul,personal,['2freethrow'],1627747,,,1610612765,2,4,2021-12-17T00:13:50Z,250000,,,0,,C. LeVert shooting personal FOUL (1 PF) (Diallo 2 FT),"[1627747, 1628977]",1610612754.0,IND,shooting,,,LeVert,C. LeVert,,,,,1628480.0,1.0,0.0,Diallo,1628977.0,,,,,,,,,,,,,,,,
27,PT10M05.00S,2021-12-17T00:14:09.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628977,,,1610612765,2,5,2021-12-17T00:14:09Z,270000,,,0,,H. Diallo Free Throw 1 of 2 (1 PTS),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
28,PT10M05.00S,2021-12-17T00:14:22.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628977,,,1610612765,2,6,2021-12-17T00:14:22Z,280000,,,0,,H. Diallo Free Throw 2 of 2 (2 PTS),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
30,PT10M00.00S,2021-12-17T00:14:31.4Z,1,REGULAR,turnover,bad pass,[],202954,,,1610612754,2,6,2021-12-17T00:14:35Z,300000,,,0,,B. Wanamaker bad pass TURNOVER (1 TO),"[202954, 1630595]",1610612754.0,IND,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,1.0,Cunningham,1630595.0,,,
31,PT10M00.00S,2021-12-17T00:14:31.4Z,1,REGULAR,steal,,[],1630595,,,1610612765,2,6,2021-12-17T00:14:33Z,310000,,,0,,C. Cunningham STEAL (1 STL),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M56.00S,2021-12-17T00:14:34.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628977,6.1268068331143235,45.83333333333333,1610612765,2,8,2021-12-17T00:14:39Z,320000,21.0,5.0,1,left,H. Diallo cutting finger roll Layup (4 PTS) (C. Cunningham 2 AST),"[1628977, 1630595]",1610612765.0,DET,cutting finger roll,,,Diallo,H. Diallo,,,,,,,,,,Made,4.0,2.14,,,,,C. Cunningham,1630595.0,2.0,,,,,,
34,PT09M42.00S,2021-12-17T00:14:48.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203200,92.72339027595268,55.392156862745104,1610612754,2,8,2021-12-17T00:14:55Z,340000,27.0,16.0,1,right,MISS J. Holiday driving reverse Layup,[203200],1610612754.0,IND,driving reverse,,,Holiday,J. Holiday,,,,,,,,,,Missed,,3.13,,,,,,,,,,,,,
35,PT09M42.00S,2021-12-17T00:14:48.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,2,8,2021-12-17T00:14:55Z,350000,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,
36,PT09M42.00S,2021-12-17T00:14:57.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,2,8,2021-12-17T00:15:06Z,360000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
