actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-01T23:10:39.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-01T23:10:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-01T23:10:41.6Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612759,0,0,2021-11-01T23:10:41Z,40000,,,0,,Jump Ball J. Poeltl vs. M. Turner: Tip to D. Murray,"[1627749, 1627751, 1626167]",1610612759.0,SAS,startperiod,D. Murray,1627749.0,Murray,D. Murray,Poeltl,1627751.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-01T23:10:52.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,7.440867279894875,42.40196078431372,1610612759,0,0,2021-11-01T23:11:01Z,70000,38.0,17.0,1,left,MISS D. White driving Layup,[1628401],1610612759.0,SAS,driving,,,White,D. White,,,,,4.18,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-11-01T23:10:53.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,0,0,2021-11-01T23:11:01Z,80000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2021-11-01T23:11:01.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,0,0,2021-11-01T23:11:01Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M44.00S,2021-11-01T23:11:26.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628401,8.360709592641262,24.509803921568626,1610612759,0,0,2021-11-01T23:11:31Z,100000,127.0,26.0,1,left,MISS D. White 13' Jump Shot,[1628401],1610612759.0,SAS,,,,White,D. White,,,,,13.01,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M40.00S,2021-11-01T23:11:30.4Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,0,2021-11-01T23:11:31Z,110000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M19.00S,2021-11-01T23:11:50.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,92.9862023653088,44.6078431372549,1610612754,0,0,2021-11-01T23:11:54Z,120000,-27.0,13.0,1,right,MISS C. LeVert driving finger roll Layup,[1627747],1610612754.0,IND,driving finger roll,,,LeVert,C. LeVert,,,,,3.01,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2021-11-01T23:11:52.1Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612759,0,0,2021-11-01T23:11:54Z,130000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT11M13.00S,2021-11-01T23:11:56.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629022,19.136005256241788,94.85294117647058,1610612759,0,0,2021-11-01T23:12:02Z,140000,-224.0,127.0,1,left,MISS L. Walker IV 25' 3PT,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,25.8,Missed,,,,,,,,,,,,,,,,,,,
