actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-05T00:10:26.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-05T00:10:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-05T00:10:28.9Z,1,REGULAR,jumpball,recovered,[],1629750,,,1610612741,0,0,2022-02-05T00:10:28Z,40000,,,0,,Jump Ball N. Vucevic vs. T. Taylor: Tip to J. Green,"[1629750, 202696, 1630678]",1610612741.0,CHI,startperiod,J. Green,1629750.0,Green,J. Green,Vucevic,202696.0,Taylor,1630678.0,,,,,,,,,,,,,,,,,,,,
7,PT11M55.00S,2022-02-05T00:10:29.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629750,91.93495400788436,47.794117647058826,1610612741,0,2,2022-02-05T00:10:35Z,70000,-11.0,23.0,1,right,J. Green driving finger roll Layup (2 PTS),[1629750],1610612741.0,CHI,driving finger roll,,,Green,J. Green,,,,,2.58,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-02-05T00:10:41.2Z,1,REGULAR,3pt,Jump Shot,[],1630678,29.25427069645204,71.32352941176471,1610612754,0,2,2022-02-05T00:10:45Z,80000,-107.0,222.0,1,left,MISS T. Taylor 24' 3PT,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,24.67,Missed,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-02-05T00:10:45.2Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612741,0,2,2022-02-05T00:10:45Z,90000,,,0,,T. Brown Jr. REBOUND (Off:0 Def:1),[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M28.00S,2022-02-05T00:10:57.0Z,1,REGULAR,2pt,Jump Shot,[],201942,76.95466491458606,54.166666666666664,1610612741,0,4,2022-02-05T00:11:14Z,100000,21.0,164.0,1,right,D. DeRozan 16' pullup Jump Shot (2 PTS) (A. Dosunmu 1 AST),"[201942, 1630245]",1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,16.54,Made,2.0,,,,,A. Dosunmu,1630245.0,1.0,,,,,,,,,,
12,PT11M26.00S,2022-02-05T00:11:06.5Z,1,REGULAR,stoppage,other,[],0,,,1610612754,0,4,2022-02-05T00:11:09Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2022-02-05T00:11:18.8Z,1,REGULAR,2pt,Jump Shot,[],203200,21.23850197109067,46.07843137254902,1610612754,0,4,2022-02-05T00:12:12Z,130000,20.0,147.0,1,left,MISS J. Holiday 14' pullup Shot,[203200],1610612754.0,IND,pullup,,,Holiday,J. Holiday,,,,,14.84,Missed,,,,,,,,,,,,,,,,,,
14,PT11M12.00S,2022-02-05T00:11:21.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,4,2022-02-05T00:12:12Z,140000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT11M07.00S,2022-02-05T00:11:25.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630245,93.51182654402102,52.94117647058824,1610612741,0,6,2022-02-05T00:12:37Z,150000,15.0,8.0,1,right,A. Dosunmu driving finger roll Layup (2 PTS) (D. DeRozan 1 AST),"[1630245, 201942]",1610612741.0,CHI,driving finger roll,,,Dosunmu,A. Dosunmu,,,,,1.7,Made,2.0,,,,,D. DeRozan,201942.0,1.0,,,,,,,,,,
17,PT10M56.00S,2022-02-05T00:11:35.2Z,1,REGULAR,2pt,Jump Shot,[],1630537,18.084756898817346,30.88235294117647,1610612754,0,6,2022-02-05T00:11:41Z,170000,96.0,117.0,1,left,MISS C. Duarte 15' fadeaway Shot,[1630537],1610612754.0,IND,fadeaway,,,Duarte,C. Duarte,,,,,15.15,Missed,,,,,,,,,,,,,,,,,,
18,PT10M56.00S,2022-02-05T00:11:35.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,6,2022-02-05T00:11:41Z,180000,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,,
19,PT10M45.00S,2022-02-05T00:11:47.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629750,84.83902759526939,48.28431372549019,1610612741,0,6,2022-02-05T00:11:54Z,190000,-9.0,90.0,1,right,MISS J. Green 9' driving floating Shot,[1629750],1610612741.0,CHI,driving floating,,,Green,J. Green,,,,,9.04,Missed,,,,,,,,,,,,,,,,,,
20,PT10M42.00S,2022-02-05T00:11:50.1Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,0,6,2022-02-05T00:11:54Z,200000,,,0,,N. Vucevic REBOUND (Off:1 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,19.0,3.0,2.0,1.0,,,,,,,,,,,,,
21,PT10M41.00S,2022-02-05T00:11:50.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202696,93.24901445466492,47.794117647058826,1610612741,0,8,2022-02-05T00:11:58Z,210000,-11.0,11.0,1,right,N. Vucevic putback Layup (2 PTS),[202696],1610612741.0,CHI,putback,,,Vucevic,N. Vucevic,,,,,1.56,Made,2.0,,,,,,,,,,,,,,,,,
22,PT10M41.00S,2022-02-05T00:11:55.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,0,8,2022-02-05T00:11:55Z,220000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M18.00S,2022-02-05T00:15:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630537,8.229303547963205,42.15686274509804,1610612754,0,8,2022-02-05T00:15:15Z,230000,39.0,25.0,1,left,MISS C. Duarte driving finger roll Layup,[1630537],1610612754.0,IND,driving finger roll,,,Duarte,C. Duarte,,,,,4.64,Missed,,,,,,,,,,,,,,,,,,
24,PT10M15.00S,2022-02-05T00:15:11.4Z,1,REGULAR,rebound,offensive,[],1630678,,,1610612754,0,8,2022-02-05T00:15:15Z,240000,,,0,,T. Taylor REBOUND (Off:1 Def:0),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,23.0,1.0,0.0,1.0,,,,,,,,,,,,,
