actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-25T23:10:22.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-25T23:10:22Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-10-25T23:10:24.2Z,1,REGULAR,jumpball,recovered,[],1627763,,,1610612754,0,0,2021-10-25T23:10:24Z,40000,,,0,,Jump Ball M. Turner vs. T. Antetokounmpo: Tip to M. Brogdon,"[1627763, 1626167, 203648]",1610612754.0,IND,startperiod,M. Brogdon,1627763.0,Brogdon,M. Brogdon,Turner,1626167.0,Antetokounmpo,203648.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2021-10-25T23:10:33.4Z,1,REGULAR,foul,personal,['2freethrow'],203648,,,1610612754,0,0,2021-10-25T23:10:46Z,70000,,,0,,T. Antetokounmpo shooting personal FOUL (1 PF) (Sabonis 2 FT),"[203648, 1627734]",1610612749.0,MIL,shooting,,,Antetokounmpo,T. Antetokounmpo,,,,,202056.0,1.0,0.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,
9,PT11M50.00S,2021-10-25T23:10:56.5Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612754,0,0,2021-10-25T23:10:56Z,90000,,,0,,MISS D. Sabonis Free Throw 1 of 2,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,Missed,,,,,,,,,,,,,,,
10,PT11M50.00S,2021-10-25T23:10:56.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,0,0,2021-10-25T23:10:56Z,100000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
11,PT11M50.00S,2021-10-25T23:11:11.9Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612754,1,0,2021-10-25T23:11:11Z,110000,,,0,,D. Sabonis Free Throw 2 of 2 (1 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,Made,,1.0,,,,,,,,,,,,,
12,PT11M35.00S,2021-10-25T23:11:28.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203648,92.32917214191852,47.794117647058826,1610612749,1,0,2021-10-25T23:11:34Z,120000,-11.0,20.0,1,right,MISS T. Antetokounmpo Layup,[203648],1610612749.0,MIL,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,Missed,,,2.25,,,,,,,,,,,,
13,PT11M29.00S,2021-10-25T23:11:34.5Z,1,REGULAR,rebound,defensive,[],203200,,,1610612754,1,0,2021-10-25T23:12:09Z,130000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,12.0,,,1.0,1.0,0.0,,,,,,,,,
16,PT11M20.00S,2021-10-25T23:11:42.6Z,1,REGULAR,2pt,Jump Shot,[],1630537,21.369908015768726,45.09803921568628,1610612754,3,0,2021-10-25T23:11:48Z,160000,25.0,148.0,1,left,C. Duarte 15' pullup Jump Shot (2 PTS) (M. Brogdon 1 AST),"[1630537, 1627763]",1610612754.0,IND,pullup,,,Duarte,C. Duarte,,,,,,,,,,Made,,2.0,15.04,,,,M. Brogdon,1627763.0,1.0,,,,,,
18,PT11M05.00S,2021-10-25T23:11:58.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,92.9862023653088,46.568627450980394,1610612749,3,2,2021-10-25T23:12:02Z,180000,-17.0,13.0,1,right,G. Antetokounmpo driving reverse Layup (2 PTS),[203507],1610612749.0,MIL,driving reverse,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Made,,2.0,2.18,,,,,,,,,,,,
19,PT10M54.00S,2021-10-25T23:12:09.8Z,1,REGULAR,2pt,Jump Shot,[],1627763,24.917871222076215,29.411764705882355,1610612754,5,2,2021-10-25T23:15:51Z,190000,103.0,182.0,1,left,M. Brogdon 20' fadeaway Jump Shot (2 PTS),[1627763],1610612754.0,IND,fadeaway,,,Brogdon,M. Brogdon,,,,,,,,,,Made,,2.0,20.88,,,,,,,,,,,,
20,PT10M40.00S,2021-10-25T23:12:23.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203114,82.60512483574244,46.568627450980394,1610612749,5,4,2021-10-25T23:12:27Z,200000,-17.0,111.0,1,right,K. Middleton 11' turnaround fadeaway Jump Shot (2 PTS),[203114],1610612749.0,MIL,turnaround fadeaway,,,Middleton,K. Middleton,,,,,,,,,,Made,,2.0,11.23,,,,,,,,,,,,
