actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-20T19:40:16.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-20T19:40:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-20T19:40:19.1Z,1,REGULAR,jumpball,recovered,[],1630169,,,1610612754,0,0,2022-03-20T19:40:19Z,40000,,,0,,Jump Ball G. Bitadze vs. D. Eubanks: Tip to T. Haliburton,"[1630169, 1629048, 1629234]",1610612754.0,IND,startperiod,T. Haliburton,1630169.0,Haliburton,T. Haliburton,Bitadze,1629048.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-03-20T19:40:38.7Z,1,REGULAR,2pt,Jump Shot,[],1626147,77.4802890932983,37.745098039215684,1610612754,0,0,2022-03-20T19:40:45Z,70000,-61.0,159.0,1,right,MISS J. Anderson 17' pullup Shot,[1626147],1610612754.0,IND,pullup,,,Anderson,J. Anderson,,,,,17.06,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-03-20T19:40:41.7Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612754,0,0,2022-03-20T19:40:45Z,80000,,,0,,G. Bitadze REBOUND (Off:1 Def:0),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M33.00S,2022-03-20T19:40:42.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629048,92.85479632063075,49.01960784313725,1610612754,0,0,2022-03-20T19:40:48Z,90000,-5.0,15.0,1,right,MISS G. Bitadze tip Layup,[1629048],1610612754.0,IND,tip,,,Bitadze,G. Bitadze,,,,,1.55,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2022-03-20T19:40:44.4Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,0,0,2022-03-20T19:40:44Z,100000,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M14.00S,2022-03-20T19:41:01.6Z,1,REGULAR,3pt,Jump Shot,[],1630314,33.065045992115635,50.98039215686274,1610612757,0,0,2022-03-20T19:41:09Z,110000,-5.0,258.0,1,left,MISS B. Williams 25' 3PT,[1630314],1610612757.0,POR,,,,Williams,B. Williams,,,,,25.83,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2022-03-20T19:41:05.6Z,1,REGULAR,rebound,defensive,[],1626147,,,1610612754,0,0,2022-03-20T19:41:09Z,120000,,,0,,J. Anderson REBOUND (Off:0 Def:1),[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M57.00S,2022-03-20T19:41:21.4Z,1,REGULAR,foul,personal,['2freethrow'],1629604,,,1610612754,0,0,2022-03-20T19:41:30Z,130000,,,0,,C. Elleby shooting personal FOUL (1 PF) (Anderson 2 FT),"[1629604, 1626147]",1610612757.0,POR,shooting,,,Elleby,C. Elleby,,,,,,,,,,,1628171.0,1.0,0.0,Anderson,1626147.0,,,,,,,,,,
15,PT10M57.00S,2022-03-20T19:41:42.0Z,1,REGULAR,freethrow,1 of 2,[],1626147,,,1610612754,1,0,2022-03-20T19:41:42Z,150000,,,0,,J. Anderson Free Throw 1 of 2 (1 PTS),[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
16,PT10M57.00S,2022-03-20T19:41:55.2Z,1,REGULAR,freethrow,2 of 2,[],1626147,,,1610612754,2,0,2022-03-20T19:41:55Z,160000,,,0,,J. Anderson Free Throw 2 of 2 (2 PTS),[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
17,PT10M45.00S,2022-03-20T19:42:08.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629604,6.1268068331143235,53.431372549019606,1610612757,2,0,2022-03-20T19:42:14Z,170000,-17.0,5.0,1,left,MISS C. Elleby driving Layup,[1629604],1610612757.0,POR,driving,,,Elleby,C. Elleby,,,,,1.79,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M41.00S,2022-03-20T19:42:12.7Z,1,REGULAR,rebound,offensive,[],1629234,,,1610612757,2,0,2022-03-20T19:42:14Z,180000,,,0,,D. Eubanks REBOUND (Off:1 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,17.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
19,PT10M41.00S,2022-03-20T19:42:12.2Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629234,5.590000152587891,50.0,1610612757,2,0,2022-03-20T19:43:20Z,190000,0.0,0.0,1,left,MISS D. Eubanks tip DUNK,[1629234],1610612757.0,POR,tip,,,Eubanks,D. Eubanks,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M41.00S,2022-03-20T19:42:12.2Z,1,REGULAR,rebound,offensive,[],1629234,,,1610612757,2,0,2022-03-20T19:43:20Z,200000,,,0,,D. Eubanks REBOUND (Off:2 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,19.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
21,PT10M33.00S,2022-03-20T19:42:21.5Z,1,REGULAR,foul,personal,[],1626147,,,1610612757,2,0,2022-03-20T19:42:41Z,210000,,,0,,J. Anderson personal FOUL (1 PF),"[1626147, 1630314]",1610612754.0,IND,,,,Anderson,J. Anderson,,,,,,,,,,,1628171.0,1.0,0.0,Williams,1630314.0,,,,,,,,,,
49,PT10M30.00S,2022-03-20T19:42:39.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630570,6.258212877792378,50.73529411764706,1610612757,2,0,2022-03-20T19:46:24Z,235000,-4.0,6.0,1,left,MISS T. Watford Layup,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,0.73,Missed,,,,,,,,,,,,,,,,,,,
50,PT10M30.00S,2022-03-20T19:42:39.9Z,1,REGULAR,rebound,offensive,[],1629234,,,1610612757,2,0,2022-03-20T19:46:24Z,242500,,,0,,D. Eubanks REBOUND (Off:3 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,49.0,4.0,1.0,3.0,,,,,,,,,,,,,,,
25,PT10M27.00S,2022-03-20T19:42:58.4Z,1,REGULAR,foul,personal,['2freethrow'],1627741,,,1610612757,2,0,2022-03-20T19:43:24Z,250000,,,0,,B. Hield shooting personal FOUL (1 PF) (Eubanks 2 FT),"[1627741, 1629234]",1610612754.0,IND,shooting,,,Hield,B. Hield,,,,,,,,,,,201246.0,1.0,0.0,Eubanks,1629234.0,,,,,,,,,,
27,PT10M27.00S,2022-03-20T19:43:27.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629234,,,1610612757,2,1,2022-03-20T19:46:24Z,270000,,,0,,D. Eubanks Free Throw 1 of 2 (1 PTS),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
28,PT10M27.00S,2022-03-20T19:43:29.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629234,,,1610612757,2,2,2022-03-20T19:46:24Z,280000,,,0,,D. Eubanks Free Throw 2 of 2 (2 PTS),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
29,PT10M09.00S,2022-03-20T19:43:49.5Z,1,REGULAR,3pt,Jump Shot,[],1626147,92.85479632063075,3.6764705882352944,1610612754,5,2,2022-03-20T19:43:53Z,290000,-232.0,15.0,1,right,J. Anderson 3PT  (5 PTS) (T. Haliburton 1 AST),"[1626147, 1630169]",1610612754.0,IND,,,,Anderson,J. Anderson,,,,,23.21,Made,,,,,,,,,,5.0,T. Haliburton,1630169.0,1.0,,,,,,
31,PT09M54.00S,2022-03-20T19:44:03.6Z,1,REGULAR,3pt,Jump Shot,[],1629604,7.30946123521682,97.79411764705883,1610612757,5,2,2022-03-20T19:44:07Z,310000,-239.0,16.0,1,left,MISS C. Elleby 3PT,[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,23.95,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M51.00S,2022-03-20T19:44:06.6Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,5,2,2022-03-20T19:44:07Z,320000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
33,PT09M44.00S,2022-03-20T19:44:13.0Z,1,REGULAR,3pt,Jump Shot,[],1626147,79.97700394218134,91.91176470588235,1610612754,5,2,2022-03-20T19:44:17Z,330000,210.0,136.0,1,right,MISS J. Anderson 24' 3PT,[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,24.97,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M42.00S,2022-03-20T19:44:15.0Z,1,REGULAR,rebound,defensive,[],1629604,,,1610612757,5,2,2022-03-20T19:44:17Z,340000,,,0,,C. Elleby REBOUND (Off:0 Def:1),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
35,PT09M38.00S,2022-03-20T19:44:20.7Z,1,REGULAR,turnover,out-of-bounds,[],1629604,,,1610612757,5,2,2022-03-20T19:48:31Z,350000,,,0,,C. Elleby bad pass out-of-bounds TURNOVER (1 TO),[1629604],1610612757.0,POR,bad pass,,,Elleby,C. Elleby,,,,,,,,,,,201640.0,,,,,,,,,1.0,,,,,
