actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,turnoverTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-13T20:10:31.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-13T20:10:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-13T20:10:33.3Z,1,REGULAR,jumpball,recovered,[],1630537,,,1610612754,0,0,2022-02-13T20:10:33Z,40000,,,0,,Jump Ball G. Bitadze vs. K. Towns: Tip to C. Duarte,"[1630537, 1629048, 1626157]",1610612754.0,IND,startperiod,C. Duarte,1630537.0,Duarte,C. Duarte,Bitadze,1629048.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2022-02-13T20:10:42.8Z,1,REGULAR,foul,personal,['2freethrow'],201976,,,1610612754,0,0,2022-02-13T20:10:49Z,70000,,,0,,P. Beverley shooting personal FOUL (1 PF) (Bitadze 2 FT),"[201976, 1629048]",1610612750.0,MIN,shooting,,,Beverley,P. Beverley,,,,,1201.0,1.0,0.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,
9,PT11M50.00S,2022-02-13T20:11:11.8Z,1,REGULAR,freethrow,1 of 2,[],1629048,,,1610612754,0,0,2022-02-13T20:11:11Z,90000,,,0,,MISS G. Bitadze Free Throw 1 of 2,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,Missed,,,,,,,,,,,,,,,
10,PT11M50.00S,2022-02-13T20:11:11.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,0,0,2022-02-13T20:11:11Z,100000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
11,PT11M50.00S,2022-02-13T20:11:28.3Z,1,REGULAR,freethrow,2 of 2,[],1629048,,,1610612754,1,0,2022-02-13T20:11:28Z,110000,,,0,,G. Bitadze Free Throw 2 of 2 (1 PTS),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,Made,,1.0,,,,,,,,,,,,,
12,PT11M41.00S,2022-02-13T20:11:42.3Z,1,REGULAR,foul,personal,[],1629048,,,1610612750,1,0,2022-02-13T20:11:55Z,120000,,,0,,G. Bitadze personal FOUL (1 PF),"[1629048, 201976]",1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,1201.0,1.0,0.0,Beverley,201976.0,,,,,,,,,,,,,,,,
14,PT11M37.00S,2022-02-13T20:12:04.9Z,1,REGULAR,turnover,traveling,[],1626157,,,1610612750,1,0,2022-02-13T20:12:09Z,140000,,,0,,K. Towns traveling TURNOVER (1 TO),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,1204.0,,,,,,,,1.0,,,,,,,,,,,,
15,PT11M19.00S,2022-02-13T20:12:30.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629048,93.38042049934296,50.49019607843137,1610612754,3,0,2022-02-13T20:12:34Z,150000,2.0,10.0,1,right,G. Bitadze cutting DUNK (3 PTS) (T. Haliburton 1 AST),"[1629048, 1630169]",1610612754.0,IND,cutting,,,Bitadze,G. Bitadze,,,,,,,,,,Made,,3.0,,1.0,T. Haliburton,1630169.0,1.0,,,,,,,,
17,PT11M02.00S,2022-02-13T20:12:46.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626157,5.732588699080158,49.01960784313725,1610612750,3,2,2022-02-13T20:12:55Z,170000,5.0,1.0,1,left,K. Towns DUNK (2 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,Made,,2.0,,0.51,D. Russell,1626156.0,1.0,,,,,,,,
19,PT10M49.00S,2022-02-13T20:12:59.9Z,1,REGULAR,3pt,Jump Shot,[],1629052,90.3580814717477,1.2254901960784315,1610612754,6,2,2022-02-13T20:13:06Z,190000,-244.0,38.0,1,right,O. Brissett 24' 3PT step back (3 PTS) (T. Haliburton 2 AST),"[1629052, 1630169]",1610612754.0,IND,step back,,,Brissett,O. Brissett,,,,,,,,,,Made,,3.0,,24.69,T. Haliburton,1630169.0,2.0,,,,,,,,
21,PT10M38.00S,2022-02-13T20:13:10.6Z,1,REGULAR,3pt,Jump Shot,[],1626156,26.363337713534822,20.34313725490196,1610612750,6,2,2022-02-13T20:13:16Z,210000,148.0,195.0,1,left,MISS D. Russell 24' pullup 3PT,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,,,,,,Missed,,,,24.52,,,,,,,,,,,
22,PT10M35.00S,2022-02-13T20:13:13.9Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,6,2,2022-02-13T20:13:13Z,220000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:0),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,21.0,,,,,,,1.0,0.0,1.0,,,,,
23,PT10M33.00S,2022-02-13T20:13:15.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630162,10.85742444152431,97.05882352941177,1610612750,6,5,2022-02-13T20:13:20Z,230000,-235.0,50.0,1,left,A. Edwards 24' 3PT  (3 PTS) (J. Vanderbilt 1 AST),"[1630162, 1629020]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,Made,,3.0,,24.05,J. Vanderbilt,1629020.0,1.0,,,,,,,,
