actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-09T00:10:17.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-09T00:10:17Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-09T00:10:19.7Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2021-12-09T00:10:19Z,40000,,,0,,Jump Ball T. Gibson vs. M. Turner: Tip to J. Randle,"[203944, 201959, 1626167]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Gibson,201959.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-12-09T00:10:39.4Z,1,REGULAR,foul,personal,['2freethrow'],1630537,,,1610612752,0,0,2021-12-09T00:10:48Z,70000,,,0,,C. Duarte shooting personal FOUL (1 PF) (Barrett 2 FT),"[1630537, 1629628]",1610612754.0,IND,shooting,,,Duarte,C. Duarte,,,,,1627961.0,1.0,0.0,Barrett,1629628.0,,,,,,,,,,,,,,,,
9,PT11M40.00S,2021-12-09T00:11:00.1Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,0,1,2021-12-09T00:11:00Z,90000,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M40.00S,2021-12-09T00:11:10.4Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,0,2,2021-12-09T00:11:10Z,100000,,,0,,R. Barrett Free Throw 2 of 2 (2 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
11,PT11M29.00S,2021-12-09T00:11:24.3Z,1,REGULAR,3pt,Jump Shot,[],1626167,91.01511169513797,95.58823529411765,1610612754,0,2,2021-12-09T00:11:29Z,110000,228.0,32.0,1,right,MISS M. Turner 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,Missed,,23.01,,,,,,,,,,,,,
12,PT11M25.00S,2021-12-09T00:11:28.3Z,1,REGULAR,rebound,defensive,[],201959,,,1610612752,0,2,2021-12-09T00:13:29Z,120000,,,0,,T. Gibson REBOUND (Off:0 Def:1),[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M18.00S,2021-12-09T00:11:34.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202692,11.514454664914586,35.78431372549019,1610612752,0,4,2021-12-09T00:11:39Z,130000,71.0,56.0,1,left,A. Burks 9' driving floating bank Jump Shot (2 PTS),[202692],1610612752.0,NYK,driving floating bank,,,Burks,A. Burks,,,,,,,,,,Made,2.0,9.03,,,,,,,,,,,,,
15,PT10M57.00S,2021-12-09T00:12:06.2Z,1,REGULAR,foul,technical,['1freethrow'],203944,,,1610612754,0,4,2021-12-09T00:12:11Z,150000,,,0,,J. Randle defensive-3-second technical FOUL (1 Tech),[203944],1610612752.0,NYK,defensive-3-second,,,Randle,J. Randle,,,,,1830.0,0.0,1.0,,,,,,,,,,,,,,,,,,
16,PT10M57.00S,2021-12-09T00:12:16.3Z,1,REGULAR,freethrow,1 of 1,[],1627763,,,1610612754,1,4,2021-12-09T00:12:16Z,160000,,,0,,M. Brogdon technical Free Throw 1 of 1 (1 PTS),[1627763],1610612754.0,IND,technical,,,Brogdon,M. Brogdon,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
