actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-02-01T00:10:30.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-01T00:10:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-01T00:10:33.1Z,1,REGULAR,jumpball,recovered,[],1630537,,,1610612754,0,0,2022-02-01T00:10:33Z,40000,,,0,,Jump Ball I. Jackson vs. S. Ibaka: Tip to C. Duarte,"[1630537, 1630543, 201586]",1610612754.0,IND,startperiod,C. Duarte,1630537.0,Duarte,C. Duarte,Jackson,1630543.0,Ibaka,201586.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-02-01T00:10:44.0Z,1,REGULAR,3pt,Jump Shot,[],203200,31.750985545335087,60.29411764705882,1610612754,3,0,2022-02-01T00:10:48Z,70000,-51.0,246.0,1,left,J. Holiday 25' 3PT  (3 PTS) (C. LeVert 1 AST),"[203200, 1627747]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,25.13,Made,3.0,C. LeVert,1627747.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2022-02-01T00:11:01.5Z,1,REGULAR,2pt,Jump Shot,[],201586,80.3712220762155,73.0392156862745,1610612746,3,2,2022-02-01T00:11:07Z,90000,115.0,132.0,1,right,S. Ibaka 17' Jump Shot (2 PTS) (R. Jackson 1 AST),"[201586, 202704]",1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,17.52,Made,2.0,R. Jackson,202704.0,1.0,,,,,,,,,,,,,,
11,PT11M11.00S,2022-02-01T00:11:17.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630537,10.200394218134035,41.66666666666667,1610612754,3,2,2022-02-01T00:11:22Z,110000,42.0,43.0,1,left,MISS C. Duarte 6' driving finger roll Layup,[1630537],1610612754.0,IND,driving finger roll,,,Duarte,C. Duarte,,,,,6.02,Missed,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2022-02-01T00:11:20.8Z,1,REGULAR,rebound,offensive,[],1630543,,,1610612754,3,2,2022-02-01T00:11:22Z,120000,,,0,,I. Jackson REBOUND (Off:1 Def:0),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT11M08.00S,2022-02-01T00:11:21.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630543,5.590000152587891,50.0,1610612754,3,2,2022-02-01T00:11:21Z,130000,0.0,0.0,1,left,MISS I. Jackson tip Layup,[1630543],1610612754.0,IND,tip,,,Jackson,I. Jackson,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2022-02-01T00:11:22.4Z,1,REGULAR,rebound,offensive,[],1630543,,,1610612754,3,2,2022-02-01T00:11:22Z,140000,,,0,,I. Jackson REBOUND (Off:2 Def:0),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,13.0,2.0,0.0,2.0,,,,,,,,,,
15,PT11M07.00S,2022-02-01T00:11:22.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630543,5.590000152587891,50.0,1610612754,5,2,2022-02-01T00:11:22Z,150000,0.0,0.0,1,left,I. Jackson tip Layup (2 PTS),[1630543],1610612754.0,IND,tip,,,Jackson,I. Jackson,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M54.00S,2022-02-01T00:11:34.4Z,1,REGULAR,3pt,Jump Shot,[],202694,70.38436268068331,17.647058823529413,1610612746,5,2,2022-02-01T00:11:41Z,160000,-162.0,226.0,1,right,MISS M. Morris Sr. 27' 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,27.79,Missed,,,,,,,,,,,,,,,,,,
17,PT10M49.00S,2022-02-01T00:11:40.4Z,1,REGULAR,rebound,offensive,[],202694,,,1610612746,5,2,2022-02-01T00:11:40Z,170000,,,0,,M. Morris Sr. REBOUND (Off:1 Def:0),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,
18,PT10M39.00S,2022-02-01T00:11:50.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202704,90.48948751642575,49.50980392156863,1610612746,5,2,2022-02-01T00:11:58Z,180000,-2.0,37.0,1,right,MISS R. Jackson driving finger roll Layup,[202704],1610612746.0,LAC,driving finger roll,,,Jackson,R. Jackson,,,,,3.7,Missed,,,,,,,,,,,,,,,,,,
19,PT10M39.00S,2022-02-01T00:11:50.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,5,2,2022-02-01T00:12:10Z,190000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,
20,PT10M39.00S,2022-02-01T00:11:55.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612746,5,2,2022-02-01T00:12:05Z,200000,,,0,,LAC shot clock Team TURNOVER,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M24.00S,2022-02-01T00:12:24.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627747,5.601182654402102,56.86274509803921,1610612754,5,2,2022-02-01T00:12:32Z,210000,-34.0,0.0,1,left,MISS C. LeVert driving reverse Layup,[1627747],1610612754.0,IND,driving reverse,,,LeVert,C. LeVert,,,,,3.43,Missed,,,,,,,,,,,,,,,,,,
22,PT10M22.00S,2022-02-01T00:12:26.0Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,5,2,2022-02-01T00:12:27Z,220000,,,0,,A. Coffey REBOUND (Off:0 Def:1),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT10M14.00S,2022-02-01T00:12:34.5Z,1,REGULAR,2pt,Jump Shot,[],202694,79.05716162943496,49.754901960784316,1610612746,5,4,2022-02-01T00:12:41Z,230000,-1.0,144.0,1,right,M. Morris Sr. 14' turnaround Jump Shot (2 PTS),[202694],1610612746.0,LAC,turnaround,,,Morris Sr.,M. Morris Sr.,,,,,14.44,Made,2.0,,,,,,,,,,,,,,,,,
24,PT10M02.00S,2022-02-01T00:12:45.3Z,1,REGULAR,3pt,Jump Shot,[],1630543,33.98488830486202,51.470588235294116,1610612754,8,4,2022-02-01T00:12:52Z,240000,-7.0,267.0,1,left,I. Jackson 26' 3PT pullup (5 PTS) (C. Duarte 1 AST),"[1630543, 1630537]",1610612754.0,IND,pullup,,,Jackson,I. Jackson,,,,,26.71,Made,5.0,C. Duarte,1630537.0,1.0,,,,,,,,,,,,,,
26,PT09M37.00S,2022-02-01T00:13:11.0Z,1,REGULAR,3pt,Jump Shot,[],1629611,71.04139290407359,77.45098039215686,1610612746,8,4,2022-02-01T00:13:15Z,260000,137.0,220.0,1,right,MISS T. Mann 25' pullup 3PT,[1629611],1610612746.0,LAC,pullup,,,Mann,T. Mann,,,,,25.91,Missed,,,,,,,,,,,,,,,,,,
