actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-30T23:10:36.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-30T23:10:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-30T23:10:38.9Z,1,REGULAR,jumpball,recovered,[],1628420,,,1610612743,0,0,2022-03-30T23:10:38Z,40000,,,0,,Jump Ball N. Jokic vs. G. Bitadze: Tip to M. Morris,"[1628420, 203999, 1629048]",1610612743.0,DEN,startperiod,M. Morris,1628420.0,Morris,M. Morris,Jokic,203999.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-03-30T23:11:00.5Z,1,REGULAR,3pt,Jump Shot,[],203115,14.799605781865965,96.32352941176471,1610612743,0,0,2022-03-30T23:11:04Z,70000,-232.0,87.0,1,left,MISS W. Barton 24' 3PT,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,24.73,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-03-30T23:11:02.5Z,1,REGULAR,rebound,defensive,[],1626147,,,1610612754,0,0,2022-03-30T23:11:04Z,80000,,,0,,J. Anderson REBOUND (Off:0 Def:1),[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2022-03-30T23:11:15.2Z,1,REGULAR,foul,offensive,[],1629048,,,1610612754,0,0,2022-03-30T23:11:25Z,90000,,,0,,G. Bitadze offensive FOUL (1 PF),"[1629048, 1628420]",1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,1146.0,1.0,0.0,Morris,1628420.0,,,,,,,,,,
11,PT11M22.00S,2022-03-30T23:11:15.2Z,1,REGULAR,turnover,offensive foul,[],1629048,,,1610612754,0,0,2022-03-30T23:11:15Z,110000,,,0,,G. Bitadze offensive foul TURNOVER (1 TO),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,1146.0,,,,,1.0,,,,,,,,,
12,PT11M08.00S,2022-03-30T23:11:44.5Z,1,REGULAR,foul,personal,[],1630169,,,1610612743,0,0,2022-03-30T23:11:49Z,120000,,,0,,T. Haliburton personal FOUL (1 PF),"[1630169, 203932]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,1146.0,1.0,0.0,Gordon,203932.0,,,,,,,,,,
14,PT10M55.00S,2022-03-30T23:12:16.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201145,7.835085413929041,97.79411764705883,1610612743,0,0,2022-03-30T23:12:22Z,140000,-239.0,21.0,1,left,MISS J. Green 3PT,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,23.99,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M52.00S,2022-03-30T23:12:19.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,0,0,2022-03-30T23:12:22Z,150000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2022-03-30T23:12:24.2Z,1,REGULAR,foul,personal,[],1626147,,,1610612743,0,0,2022-03-30T23:12:32Z,160000,,,0,,J. Anderson loose ball personal FOUL (1 PF),"[1626147, 203999]",1610612754.0,IND,loose ball,,,Anderson,J. Anderson,,,,,,,,,,,101283.0,1.0,0.0,Jokic,203999.0,,,,,,,,,,
