actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-01-27T00:10:46.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-27T00:10:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-27T00:10:48.4Z,1,REGULAR,jumpball,recovered,[],1628470,,,1610612754,0,0,2022-01-27T00:10:48Z,40000,,,0,,Jump Ball G. Bitadze vs. M. Plumlee: Tip to T. Craig,"[1628470, 1629048, 203486]",1610612754.0,IND,startperiod,T. Craig,1628470.0,Craig,T. Craig,Bitadze,1629048.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-27T00:11:03.7Z,1,REGULAR,3pt,Jump Shot,[],1628470,69.07030223390277,68.87254901960785,1610612754,0,0,2022-01-27T00:11:10Z,70000,94.0,238.0,1,right,MISS T. Craig 25' 3PT,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-01-27T00:11:04.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,0,0,2022-01-27T00:11:10Z,80000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-01-27T00:11:09.5Z,1,REGULAR,foul,personal,[],1628998,,,1610612754,0,0,2022-01-27T00:11:15Z,90000,,,0,,C. Martin loose ball personal FOUL (1 PF),"[1628998, 1629048]",1610612766.0,CHA,loose ball,,,Martin,C. Martin,,,,,,,,201245.0,1.0,0.0,Bitadze,1629048.0,,,,,,,,,,,,
11,PT11M38.00S,2022-01-27T00:11:26.2Z,1,REGULAR,foul,personal,['2freethrow'],1630163,,,1610612754,0,0,2022-01-27T00:11:30Z,110000,,,0,,L. Ball shooting personal FOUL (1 PF) (Holiday 2 FT),"[1630163, 203200]",1610612766.0,CHA,shooting,,,Ball,L. Ball,,,,,,,,1628159.0,1.0,0.0,Holiday,203200.0,,,,,,,,,,,,
13,PT11M38.00S,2022-01-27T00:11:46.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203200,,,1610612754,1,0,2022-01-27T00:12:20Z,130000,,,0,,J. Holiday Free Throw 1 of 2 (1 PTS),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
15,PT11M38.00S,2022-01-27T00:11:46.9Z,1,REGULAR,turnover,LaneViolation,[],1629048,,,1610612754,1,0,2022-01-27T00:12:20Z,150000,,,0,,G. Bitadze LaneViolation TURNOVER (1 TO),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,1.0,,,,,,,,,,
16,PT11M22.00S,2022-01-27T00:12:31.2Z,1,REGULAR,3pt,Jump Shot,[],1628970,10.463206307490145,2.450980392156863,1610612766,1,3,2022-01-27T00:12:35Z,160000,238.0,46.0,1,left,M. Bridges 24' 3PT  (3 PTS) (T. Rozier 1 AST),"[1628970, 1626179]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,24.21,Made,,,,,,,3.0,,T. Rozier,1626179.0,1.0,,,,,,,
18,PT11M07.00S,2022-01-27T00:12:47.2Z,1,REGULAR,foul,offensive,[],1629048,,,1610612754,1,3,2022-01-27T00:12:53Z,180000,,,0,,G. Bitadze offensive FOUL (1 PF),"[1629048, 1628970]",1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,201245.0,1.0,0.0,Bridges,1628970.0,,,,,,,,,,,,
20,PT11M07.00S,2022-01-27T00:12:47.2Z,1,REGULAR,turnover,offensive foul,[],1629048,,,1610612754,1,3,2022-01-27T00:12:47Z,200000,,,0,,G. Bitadze offensive foul TURNOVER (2 TO),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,201245.0,,,,,,2.0,,,,,,,,,,
21,PT10M51.00S,2022-01-27T00:13:13.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628970,32.14520367936925,56.127450980392155,1610612766,1,3,2022-01-27T00:13:20Z,210000,-31.0,250.0,1,left,MISS M. Bridges 25' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,25.16,Missed,,,,,,,,,,,,,,,,,,
22,PT10M49.00S,2022-01-27T00:13:15.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,1,3,2022-01-27T00:13:20Z,220000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,
23,PT10M49.00S,2022-01-27T00:13:20.4Z,1,REGULAR,foul,personal,[],1627747,,,1610612766,1,3,2022-01-27T00:13:27Z,230000,,,0,,C. LeVert loose ball personal FOUL (1 PF),"[1627747, 203486]",1610612754.0,IND,loose ball,,,LeVert,C. LeVert,,,,,,,,1628159.0,1.0,0.0,Plumlee,203486.0,,,,,,,,,,,,
25,PT10M40.00S,2022-01-27T00:13:41.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628998,6.258212877792378,95.83333333333334,1610612766,1,3,2022-01-27T00:13:46Z,250000,-229.0,6.0,1,left,MISS C. Martin 3PT,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,22.93,Missed,,,,,,,,,,,,,,,,,,
26,PT10M35.00S,2022-01-27T00:13:46.1Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,1,3,2022-01-27T00:13:46Z,260000,,,0,,C. Duarte REBOUND (Off:0 Def:1),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,25.0,,,,,,,,,,,1.0,1.0,0.0,,,,
