actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-23T23:12:19.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-23T23:12:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-23T23:12:21.1Z,1,REGULAR,jumpball,recovered,[],1627741,,,1610612754,0,0,2022-03-23T23:12:21Z,40000,,,0,,Jump Ball G. Bitadze vs. D. Jones: Tip to B. Hield,"[1627741, 1629048, 1627745]",1610612754.0,IND,startperiod,B. Hield,1627741.0,Hield,B. Hield,Bitadze,1629048.0,Jones,1627745.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M55.00S,2022-03-23T23:12:25.6Z,1,REGULAR,turnover,out-of-bounds,[],1627741,,,1610612754,0,0,2022-03-23T23:12:30Z,70000,,,0,,B. Hield lost ball out-of-bounds TURNOVER (1 TO),[1627741],1610612754.0,IND,lost ball,,,Hield,B. Hield,,,,,1628159.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-03-23T23:12:49.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630558,8.754927726675426,41.911764705882355,1610612758,0,2,2022-03-23T23:12:54Z,80000,40.0,30.0,1,left,D. Mitchell driving finger roll Layup (2 PTS),[1630558],1610612758.0,SAC,driving finger roll,,,Mitchell,D. Mitchell,,,,,,,5.02,Made,2.0,,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-03-23T23:13:06.4Z,1,REGULAR,3pt,Jump Shot,[],1629052,67.62483574244416,63.725490196078425,1610612754,0,2,2022-03-23T23:13:10Z,90000,69.0,252.0,1,right,MISS O. Brissett 26' 3PT,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,26.1,Missed,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2022-03-23T23:13:08.4Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612758,0,2,2022-03-23T23:13:10Z,100000,,,0,,T. Lyles REBOUND (Off:0 Def:1),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M05.00S,2022-03-23T23:13:24.9Z,1,REGULAR,3pt,Jump Shot,[],203084,21.50131406044678,8.57843137254902,1610612758,0,5,2022-03-23T23:13:28Z,110000,207.0,150.0,1,left,H. Barnes 25' 3PT  (3 PTS) (J. Holiday 1 AST),"[203084, 203200]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,25.55,Made,3.0,,,,,J. Holiday,203200.0,1.0,,,,,,,,,
15,PT10M41.00S,2022-03-23T23:13:59.1Z,1,REGULAR,foul,personal,['2freethrow'],1626168,,,1610612754,0,5,2022-03-23T23:14:04Z,150000,,,0,,T. Lyles shooting personal FOUL (1 PF) (Brissett 2 FT),"[1626168, 1629052]",1610612758.0,SAC,shooting,,,Lyles,T. Lyles,,,,,203592.0,,,,,,,,,,,,1.0,0.0,Brissett,1629052.0,,,,,
17,PT10M41.00S,2022-03-23T23:14:11.9Z,1,REGULAR,freethrow,1 of 2,[],1629052,,,1610612754,1,5,2022-03-23T23:14:11Z,170000,,,0,,O. Brissett Free Throw 1 of 2 (1 PTS),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
18,PT10M41.00S,2022-03-23T23:14:24.8Z,1,REGULAR,freethrow,2 of 2,[],1629052,,,1610612754,2,5,2022-03-23T23:14:24Z,180000,,,0,,O. Brissett Free Throw 2 of 2 (2 PTS),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,
