actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-04-05T23:10:48.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-05T23:10:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-04-05T23:10:51.8Z,1,REGULAR,jumpball,recovered,[],1627741,,,1610612754,0,0,2022-04-05T23:10:51Z,40000,,,0,,Jump Ball I. Jackson vs. J. Embiid: Tip to B. Hield,"[1627741, 1630543, 203954]",1610612754.0,IND,startperiod,B. Hield,1627741.0,Hield,B. Hield,Jackson,1630543.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-04-05T23:11:07.4Z,1,REGULAR,2pt,Jump Shot,[],1630543,94.56307490144546,21.323529411764707,1610612754,0,0,2022-04-05T23:11:13Z,70000,-143.0,-1.0,1,right,MISS I. Jackson 14' floating Shot,[1630543],1610612754.0,IND,floating,,,Jackson,I. Jackson,,,,,14.34,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-04-05T23:11:11.4Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,0,2022-04-05T23:11:13Z,80000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M33.00S,2022-04-05T23:11:16.7Z,1,REGULAR,foul,personal,[],1630543,,,1610612755,0,0,2022-04-05T23:11:21Z,90000,,,0,,I. Jackson personal FOUL (1 PF),"[1630543, 203954]",1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,201245.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,
11,PT11M18.00S,2022-04-05T23:11:47.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,0,0,2022-04-05T23:11:47Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2022-04-05T23:12:06.2Z,1,REGULAR,3pt,Jump Shot,[],203954,32.276609724047304,52.69607843137255,1610612755,0,0,2022-04-05T23:12:52Z,120000,-13.0,251.0,1,left,MISS J. Embiid 25' pullup 3PT - blocked,"[203954, 1630543]",1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,25.13,Missed,,,,,,,,,,Jackson,1630543.0,,,,,,,,
13,PT11M15.00S,2022-04-05T23:12:06.2Z,1,REGULAR,block,,[],1630543,,,1610612755,0,0,2022-04-05T23:12:10Z,130000,,,0,,I. Jackson BLOCK (1 BLK),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M15.00S,2022-04-05T23:12:06.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,0,0,2022-04-05T23:12:18Z,140000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,
15,PT11M15.00S,2022-04-05T23:12:14.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612755,0,0,2022-04-05T23:12:22Z,150000,,,0,,PHI shot clock Team TURNOVER,[],1610612755.0,PHI,,,,,,,,,,,,,,,,2715.0,,,,,,,,,,,,,,
16,PT11M03.00S,2022-04-05T23:12:29.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630543,92.06636005256242,45.34313725490196,1610612754,2,0,2022-04-05T23:13:34Z,160000,-23.0,22.0,1,right,I. Jackson cutting finger roll Layup (2 PTS) (B. Hield 1 AST),"[1630543, 1627741]",1610612754.0,IND,cutting finger roll,,,Jackson,I. Jackson,,,,,3.21,Made,,,,,,,,,,,,2.0,B. Hield,1627741.0,1.0,,,,
18,PT10M53.00S,2022-04-05T23:12:40.4Z,1,REGULAR,3pt,Jump Shot,[],202699,9.937582128777924,96.32352941176471,1610612755,2,3,2022-04-05T23:12:45Z,180000,-232.0,41.0,1,left,T. Harris 3PT  (3 PTS) (J. Harden 1 AST),"[202699, 201935]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,23.52,Made,,,,,,,,,,,,3.0,J. Harden,201935.0,1.0,,,,
20,PT10M40.00S,2022-04-05T23:12:53.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,81.94809461235218,49.01960784313725,1610612754,2,3,2022-04-05T23:12:59Z,200000,-5.0,117.0,1,right,MISS T. Haliburton 11' driving floating Shot,[1630169],1610612754.0,IND,driving floating,,,Haliburton,T. Haliburton,,,,,11.73,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M36.00S,2022-04-05T23:12:56.6Z,1,REGULAR,rebound,offensive,[],1630169,,,1610612754,2,3,2022-04-05T23:12:56Z,210000,,,0,,T. Haliburton REBOUND (Off:1 Def:0),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
22,PT10M31.00S,2022-04-05T23:13:01.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627741,69.99014454664915,30.392156862745097,1610612754,5,3,2022-04-05T23:13:05Z,220000,-98.0,230.0,1,right,B. Hield 24' 3PT  (3 PTS) (T. Taylor 1 AST),"[1627741, 1630678]",1610612754.0,IND,,,,Hield,B. Hield,,,,,24.96,Made,,,,,,,,,,,,3.0,T. Taylor,1630678.0,1.0,,,,
24,PT10M19.00S,2022-04-05T23:13:13.3Z,1,REGULAR,3pt,Jump Shot,[],1629680,8.360709592641262,4.901960784313726,1610612755,5,3,2022-04-05T23:13:17Z,240000,225.0,26.0,1,left,MISS M. Thybulle 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,22.7,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M16.00S,2022-04-05T23:13:16.3Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,5,3,2022-04-05T23:13:17Z,250000,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
26,PT10M09.00S,2022-04-05T23:13:23.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,92.06636005256242,46.07843137254902,1610612754,7,3,2022-04-05T23:13:27Z,260000,-20.0,22.0,1,right,B. Hield driving finger roll Layup (5 PTS) (T. Haliburton 1 AST),"[1627741, 1630169]",1610612754.0,IND,driving finger roll,,,Hield,B. Hield,,,,,2.95,Made,,,,,,,,,,,,5.0,T. Haliburton,1630169.0,1.0,,,,
28,PT09M59.00S,2022-04-05T23:13:33.9Z,1,REGULAR,turnover,lost ball,[],202699,,,1610612755,7,3,2022-04-05T23:13:36Z,280000,,,0,,T. Harris lost ball TURNOVER (1 TO),"[202699, 1630543]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,1.0,Jackson,1630543.0,
