actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-09T00:10:22.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-09T00:10:22Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-09T00:10:23.9Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2022-01-09T00:10:23Z,40000,,,0,,Jump Ball H. Whiteside vs. M. Turner: Tip to R. O'Neale,"[1626220, 202355, 1626167]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Whiteside,202355.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-01-09T00:10:38.4Z,1,REGULAR,3pt,Jump Shot,[],1626220,71.17279894875165,83.57843137254902,1610612762,0,3,2022-01-09T00:10:42Z,70000,168.0,218.0,1,right,R. O'Neale 27' 3PT  (3 PTS) (D. Mitchell 1 AST),"[1626220, 1628378]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,27.56,Made,3.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2022-01-09T00:10:54.1Z,1,REGULAR,3pt,Jump Shot,[],1627734,34.11629434954008,54.41176470588235,1610612754,3,3,2022-01-09T00:10:58Z,90000,-22.0,268.0,1,left,D. Sabonis 26' 3PT  (3 PTS) (K. Sykes 1 AST),"[1627734, 1626208]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,26.91,Made,3.0,K. Sykes,1626208.0,1.0,,,,,,,,,,,,,,,
11,PT11M02.00S,2022-01-09T00:11:19.0Z,1,REGULAR,2pt,Jump Shot,[],202711,90.48948751642575,70.34313725490196,1610612762,3,5,2022-01-09T00:11:31Z,110000,102.0,37.0,1,right,B. Bogdanovic 10' pullup bank Jump Shot (2 PTS) (R. O'Neale 1 AST),"[202711, 1626220]",1610612762.0,UTA,pullup bank,,,Bogdanovic,B. Bogdanovic,,,,,10.82,Made,2.0,R. O'Neale,1626220.0,1.0,,,,,,,,,,,,,,,
12,PT10M39.00S,2022-01-09T00:11:41.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,12.697109067017081,58.82352941176471,1610612754,5,5,2022-01-09T00:11:46Z,120000,-44.0,67.0,1,left,M. Turner 8' turnaround Jump Shot (2 PTS),[1626167],1610612754.0,IND,turnaround,,,Turner,M. Turner,,,,,8.01,Made,2.0,,,,,,,,,,,,,,,,,,
13,PT10M27.00S,2022-01-09T00:11:56.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,5,5,2022-01-09T00:11:56Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M22.00S,2022-01-09T00:12:11.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,93.64323258869908,49.754901960784316,1610612762,5,5,2022-01-09T00:12:16Z,140000,-1.0,7.0,1,right,MISS D. Mitchell driving Layup - blocked,"[1628378, 1626167]",1610612762.0,UTA,driving,,,Mitchell,D. Mitchell,,,,,0.74,Missed,,,,,Turner,1626167.0,,,,,,,,,,,,,
16,PT10M22.00S,2022-01-09T00:12:11.5Z,1,REGULAR,block,,[],1626167,,,1610612762,5,5,2022-01-09T00:12:13Z,150000,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M20.00S,2022-01-09T00:12:13.5Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,5,5,2022-01-09T00:12:16Z,160000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
