actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-24T00:10:36.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-24T00:10:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-24T00:10:38.1Z,1,REGULAR,jumpball,recovered,[],1629726,,,1610612745,0,0,2021-12-24T00:10:38Z,40000,,,0,,Jump Ball C. Wood vs. M. Turner: Tip to G. Mathews,"[1629726, 1626174, 1626167]",1610612745.0,HOU,startperiod,G. Mathews,1629726.0,Mathews,G. Mathews,Wood,1626174.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-12-24T00:10:52.0Z,1,REGULAR,3pt,Jump Shot,[],1626174,30.305519053876477,71.32352941176471,1610612745,0,0,2021-12-24T00:10:57Z,70000,-107.0,232.0,1,left,MISS C. Wood 25' 3PT,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,25.57,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-12-24T00:10:55.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,0,2021-12-24T00:10:57Z,80000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M19.00S,2021-12-24T00:11:16.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,93.11760840998686,49.754901960784316,1610612754,2,0,2021-12-24T00:11:24Z,90000,-1.0,12.0,1,right,M. Turner driving finger roll Layup (2 PTS) (C. LeVert 1 AST),"[1626167, 1627747]",1610612754.0,IND,driving finger roll,,,Turner,M. Turner,,,,,1.23,Made,,,,,2.0,C. LeVert,1627747.0,1.0,,,,,,,,,,
11,PT11M01.00S,2021-12-24T00:11:34.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,9.280551905387648,43.38235294117647,1610612745,2,2,2021-12-24T00:11:38Z,110000,33.0,35.0,1,left,E. Gordon driving Layup (2 PTS),[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,4.8,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M46.00S,2021-12-24T00:11:49.3Z,1,REGULAR,3pt,Jump Shot,[],1630537,93.11760840998686,95.83333333333334,1610612754,5,2,2021-12-24T00:12:02Z,120000,229.0,12.0,1,right,C. Duarte 3PT  (3 PTS) (O. Brissett 1 AST),"[1630537, 1629052]",1610612754.0,IND,,,,Duarte,C. Duarte,,,,,22.95,Made,,,,,3.0,O. Brissett,1629052.0,1.0,,,,,,,,,,
14,PT10M30.00S,2021-12-24T00:12:05.3Z,1,REGULAR,turnover,bad pass,[],1629726,,,1610612745,5,2,2021-12-24T00:12:08Z,140000,,,0,,G. Mathews bad pass TURNOVER (1 TO),"[1629726, 203200]",1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,1.0,Holiday,203200.0,,,,,,,
15,PT10M30.00S,2021-12-24T00:12:05.3Z,1,REGULAR,steal,,[],203200,,,1610612754,5,2,2021-12-24T00:12:06Z,150000,,,0,,J. Holiday STEAL (1 STL),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M26.00S,2021-12-24T00:12:10.2Z,1,REGULAR,turnover,bad pass,[],203200,,,1610612754,5,2,2021-12-24T00:12:13Z,160000,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[203200, 1629726]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,1.0,Mathews,1629726.0,,,,,,,
17,PT10M26.00S,2021-12-24T00:12:10.2Z,1,REGULAR,steal,,[],1629726,,,1610612745,5,2,2021-12-24T00:12:12Z,170000,,,0,,G. Mathews STEAL (1 STL),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M26.00S,2021-12-24T00:12:14.6Z,1,REGULAR,foul,personal,[],203200,,,1610612745,5,2,2021-12-24T00:12:24Z,180000,,,0,,J. Holiday take personal FOUL (1 PF),"[203200, 1630224]",1610612754.0,IND,take,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,203177.0,1.0,0.0,Green,1630224.0,,
20,PT10M03.00S,2021-12-24T00:12:50.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629726,22.946780551905388,89.70588235294117,1610612745,5,2,2021-12-24T00:12:55Z,200000,-199.0,163.0,1,left,MISS G. Mathews 25' pullup 3PT,[1629726],1610612745.0,HOU,pullup,,,Mathews,G. Mathews,,,,,25.7,Missed,,,,,,,,,,,,,,,,,,
21,PT09M59.00S,2021-12-24T00:12:54.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,5,2,2021-12-24T00:12:55Z,210000,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,
22,PT09M56.00S,2021-12-24T00:12:59.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629052,93.11760840998686,53.67647058823529,1610612754,7,2,2021-12-24T00:13:05Z,220000,18.0,12.0,1,right,O. Brissett running Layup (2 PTS) (C. LeVert 2 AST),"[1629052, 1627747]",1610612754.0,IND,running,,,Brissett,O. Brissett,,,,,2.21,Made,,,,,2.0,C. LeVert,1627747.0,2.0,,,,,,,,,,
