actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-17T00:40:39.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-17T00:40:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-17T00:40:41.7Z,1,REGULAR,jumpball,recovered,[],1630169,,,1610612754,0,0,2022-02-17T00:40:41Z,40000,,,0,,Jump Ball J. Smith vs. T. Bryant: Tip to T. Haliburton,"[1630169, 1630188, 1628418]",1610612754.0,IND,startperiod,T. Haliburton,1630169.0,Haliburton,T. Haliburton,Smith,1630188.0,Bryant,1628418.0,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-02-17T00:41:02.3Z,1,REGULAR,turnover,lost ball,[],1630188,,,1610612754,0,0,2022-02-17T00:41:06Z,70000,,,0,,J. Smith lost ball TURNOVER (1 TO),"[1630188, 203526]",1610612754.0,IND,,,,Smith,J. Smith,,,,,1.0,Neto,203526.0,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-02-17T00:41:02.3Z,1,REGULAR,steal,,[],203526,,,1610612764,0,0,2022-02-17T00:48:32Z,80000,,,0,,R. Neto STEAL (1 STL),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2022-02-17T00:41:06.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203484,15.588042049934298,98.77450980392157,1610612764,0,0,2022-02-17T00:41:12Z,90000,-244.0,94.0,1,left,MISS K. Caldwell-Pope 26' running 3PT,[203484],1610612764.0,WAS,running,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,26.14,Missed,,,,,,,,,,,,,,,
10,PT11M28.00S,2022-02-17T00:41:10.8Z,1,REGULAR,rebound,defensive,[],1630678,,,1610612754,0,0,2022-02-17T00:41:12Z,100000,,,0,,T. Taylor REBOUND (Off:0 Def:1),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M11.00S,2022-02-17T00:41:27.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629052,92.72339027595268,50.49019607843137,1610612754,0,0,2022-02-17T00:41:32Z,110000,2.0,16.0,1,right,MISS O. Brissett driving Layup,[1629052],1610612754.0,IND,driving,,,Brissett,O. Brissett,,,,,,,,1.61,Missed,,,,,,,,,,,,,,,
12,PT11M08.00S,2022-02-17T00:41:30.6Z,1,REGULAR,rebound,defensive,[],203526,,,1610612764,0,0,2022-02-17T00:41:32Z,120000,,,0,,R. Neto REBOUND (Off:0 Def:1),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M55.00S,2022-02-17T00:41:43.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,17.69053876478318,47.30392156862745,1610612764,0,0,2022-02-17T00:41:52Z,130000,13.0,114.0,1,left,MISS K. Kuzma 11' turnaround fadeaway Shot,[1628398],1610612764.0,WAS,turnaround fadeaway,,,Kuzma,K. Kuzma,,,,,,,,11.46,Missed,,,,,,,,,,,,,,,
14,PT10M52.00S,2022-02-17T00:41:46.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,0,0,2022-02-17T00:41:52Z,140000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,
15,PT10M52.00S,2022-02-17T00:41:52.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,0,0,2022-02-17T00:41:52Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2022-02-17T00:42:19.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630557,30.305519053876477,77.69607843137256,1610612764,0,0,2022-02-17T00:42:25Z,160000,-138.0,232.0,1,left,MISS C. Kispert 27' 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,27.05,Missed,,,,,,,,,,,,,,,
17,PT10M43.00S,2022-02-17T00:42:22.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,0,0,2022-02-17T00:42:25Z,170000,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,
18,PT10M43.00S,2022-02-17T00:42:24.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,0,0,2022-02-17T00:42:24Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M28.00S,2022-02-17T00:42:43.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,83.65637319316689,48.03921568627451,1610612754,2,0,2022-02-17T00:42:54Z,190000,-10.0,101.0,1,right,T. Haliburton 10' driving floating Jump Shot (2 PTS) (O. Brissett 1 AST),"[1630169, 1629052]",1610612754.0,IND,driving floating,,,Haliburton,T. Haliburton,,,,,,,,10.16,Made,,,,,2.0,O. Brissett,1629052.0,1.0,,,,,,,
21,PT10M06.00S,2022-02-17T00:43:04.7Z,1,REGULAR,turnover,bad pass,[],1628398,,,1610612764,2,0,2022-02-17T00:43:07Z,210000,,,0,,K. Kuzma bad pass TURNOVER (1 TO),"[1628398, 1629052]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,1.0,Brissett,1629052.0,,,,,,,,,,,,,,,,,
22,PT10M06.00S,2022-02-17T00:43:04.7Z,1,REGULAR,steal,,[],1629052,,,1610612754,2,0,2022-02-17T00:43:05Z,220000,,,0,,O. Brissett STEAL (1 STL),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,
23,PT09M56.00S,2022-02-17T00:43:14.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629052,92.32917214191852,97.05882352941177,1610612754,2,0,2022-02-17T00:43:20Z,230000,235.0,20.0,1,right,MISS O. Brissett 3PT,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,23.61,Missed,,,,,,,,,,,,,,,
24,PT09M51.00S,2022-02-17T00:43:19.0Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612764,2,0,2022-02-17T00:43:20Z,240000,,,0,,T. Bryant REBOUND (Off:0 Def:1),[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,
25,PT09M45.00S,2022-02-17T00:43:24.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203526,6.389618922470433,49.50980392156863,1610612764,2,2,2022-02-17T00:43:31Z,250000,2.0,8.0,1,left,R. Neto running Layup (2 PTS),[203526],1610612764.0,WAS,running,,,Neto,R. Neto,,,,,,,,0.8,Made,,,,,2.0,,,,,,,,,,
