actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2021-12-30T00:10:41.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-30T00:10:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-30T00:10:44.4Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2021-12-30T00:10:44Z,40000,,,0,,Jump Ball M. Plumlee vs. M. Turner: Tip to L. Ball,"[1630163, 203486, 1626167]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-12-30T00:10:59.4Z,1,REGULAR,3pt,Jump Shot,[],202330,22.28975032851511,12.5,1610612766,0,0,2021-12-30T00:11:05Z,70000,188.0,157.0,1,left,MISS G. Hayward 24' 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,24.46,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-12-30T00:11:01.4Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,0,0,2021-12-30T00:11:05Z,80000,,,0,,L. Ball REBOUND (Off:1 Def:0),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2021-12-30T00:11:04.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626179,7.178055190538765,2.450980392156863,1610612766,0,0,2021-12-30T00:11:09Z,90000,238.0,15.0,1,left,MISS T. Rozier 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,23.82,Missed,,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2021-12-30T00:11:07.2Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,0,0,2021-12-30T00:11:09Z,100000,,,0,,L. Ball REBOUND (Off:2 Def:0),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,9.0,2.0,0.0,2.0,,,,,,,,,,,,,,
11,PT11M25.00S,2021-12-30T00:11:19.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626179,10.200394218134035,53.92156862745098,1610612766,0,0,2021-12-30T00:11:25Z,110000,-20.0,43.0,1,left,MISS T. Rozier driving Layup - blocked,"[1626179, 1626167]",1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,4.76,Missed,,,,,Turner,1626167.0,,,,,,,,,,,,
12,PT11M25.00S,2021-12-30T00:11:19.0Z,1,REGULAR,block,,[],1626167,,,1610612766,0,0,2021-12-30T00:11:20Z,120000,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M25.00S,2021-12-30T00:11:19.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,0,0,2021-12-30T00:11:25Z,130000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
14,PT11M25.00S,2021-12-30T00:11:22.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,0,0,2021-12-30T00:11:22Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M23.00S,2021-12-30T00:11:36.1Z,1,REGULAR,foul,personal,['2freethrow'],1627747,,,1610612766,0,0,2021-12-30T00:11:47Z,150000,,,0,,C. LeVert shooting personal FOUL (1 PF) (Plumlee 2 FT),"[1627747, 203486]",1610612754.0,IND,shooting,,,LeVert,C. LeVert,,,,,,,,,,,,,1628954.0,1.0,0.0,Plumlee,203486.0,,,,,,,
17,PT11M23.00S,2021-12-30T00:12:03.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203486,,,1610612766,0,1,2021-12-30T00:12:22Z,170000,,,0,,M. Plumlee Free Throw 1 of 2 (1 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
18,PT11M23.00S,2021-12-30T00:12:03.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203486,,,1610612766,0,1,2021-12-30T00:12:22Z,180000,,,0,,MISS M. Plumlee Free Throw 2 of 2,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,Missed,,,,,,,,,,,,,,,,,,
19,PT11M22.00S,2021-12-30T00:12:04.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,1,2021-12-30T00:12:22Z,190000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT11M04.00S,2021-12-30T00:12:36.8Z,1,REGULAR,2pt,Jump Shot,[],1630537,94.03745072273325,73.77450980392157,1610612754,0,1,2021-12-30T00:12:43Z,200000,119.0,4.0,1,right,MISS C. Duarte 11' driving floating Shot,[1630537],1610612754.0,IND,driving floating,,,Duarte,C. Duarte,,,,,11.9,Missed,,,,,,,,,,,,,,,,,,
21,PT11M02.00S,2021-12-30T00:12:38.8Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,0,1,2021-12-30T00:12:43Z,210000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
