actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-07T00:10:24.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-07T00:10:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-07T00:10:25.9Z,1,REGULAR,jumpball,recovered,[],1628988,,,1610612764,0,0,2021-12-07T00:10:25Z,40000,,,0,,Jump Ball D. Gafford vs. M. Turner: Tip to A. Holiday,"[1628988, 1629655, 1626167]",1610612764.0,WAS,startperiod,A. Holiday,1628988.0,Holiday,A. Holiday,Gafford,1629655.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-12-07T00:10:42.0Z,1,REGULAR,turnover,bad pass,[],1628398,,,1610612764,0,0,2021-12-07T00:10:45Z,70000,,,0,,K. Kuzma bad pass TURNOVER (1 TO),"[1628398, 1627734]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,1.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-12-07T00:10:42.0Z,1,REGULAR,steal,,[],1627734,,,1610612754,0,0,2021-12-07T00:10:43Z,80000,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2021-12-07T00:10:59.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627747,81.15965834428384,44.36274509803921,1610612754,0,0,2021-12-07T00:11:04Z,90000,-28.0,125.0,1,right,MISS C. LeVert 12' pullup Shot,[1627747],1610612754.0,IND,pullup,,,LeVert,C. LeVert,,,,,,,,12.78,Missed,,,,,,,,,,,,,,,,
10,PT11M21.00S,2021-12-07T00:11:01.6Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,0,0,2021-12-07T00:11:04Z,100000,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M14.00S,2021-12-07T00:11:09.7Z,1,REGULAR,3pt,Jump Shot,[],1628398,5.863994743758213,97.79411764705883,1610612764,0,3,2021-12-07T00:11:15Z,110000,-239.0,3.0,1,left,K. Kuzma 3PT  (3 PTS) (K. Caldwell-Pope 1 AST),"[1628398, 203484]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,23.9,Made,,,,,3.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,
14,PT10M59.00S,2021-12-07T00:11:23.7Z,1,REGULAR,2pt,Jump Shot,[],1627763,82.07950065703022,69.11764705882352,1610612754,2,3,2021-12-07T00:11:30Z,140000,96.0,116.0,1,right,M. Brogdon 15' pullup Jump Shot (2 PTS) (D. Sabonis 1 AST),"[1627763, 1627734]",1610612754.0,IND,pullup,,,Brogdon,M. Brogdon,,,,,,,,15.03,Made,,,,,2.0,D. Sabonis,1627734.0,1.0,,,,,,,,
15,PT10M48.00S,2021-12-07T00:11:35.0Z,1,REGULAR,2pt,Jump Shot,[],1629655,22.946780551905388,31.862745098039213,1610612764,2,3,2021-12-07T00:11:40Z,150000,91.0,163.0,1,left,MISS D. Gafford 18' Jump Shot,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,18.67,Missed,,,,,,,,,,,,,,,,
16,PT10M46.00S,2021-12-07T00:11:37.0Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612754,2,3,2021-12-07T00:11:40Z,160000,,,0,,M. Brogdon REBOUND (Off:0 Def:1),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,
17,PT10M35.00S,2021-12-07T00:11:48.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,93.24901445466492,51.71568627450981,1610612754,4,3,2021-12-07T00:11:52Z,170000,9.0,11.0,1,right,D. Sabonis driving reverse Layup (2 PTS) (M. Turner 1 AST),"[1627734, 1626167]",1610612754.0,IND,driving reverse,,,Sabonis,D. Sabonis,,,,,,,,1.4,Made,,,,,2.0,M. Turner,1626167.0,1.0,,,,,,,,
19,PT10M24.00S,2021-12-07T00:11:58.6Z,1,REGULAR,turnover,lost ball,[],203484,,,1610612764,4,3,2021-12-07T00:12:01Z,190000,,,0,,K. Caldwell-Pope lost ball TURNOVER (1 TO),"[203484, 1630537]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,1.0,Duarte,1630537.0,,,,,,,,,,,,,,,,,,
20,PT10M24.00S,2021-12-07T00:11:58.6Z,1,REGULAR,steal,,[],1630537,,,1610612754,4,3,2021-12-07T00:12:00Z,200000,,,0,,C. Duarte STEAL (1 STL),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M24.00S,2021-12-07T00:12:01.8Z,1,REGULAR,foul,personal,[],203484,,,1610612754,4,3,2021-12-07T00:12:11Z,220000,,,0,,K. Caldwell-Pope take personal FOUL (1 PF),"[203484, 1630537]",1610612764.0,WAS,take,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Duarte,1630537.0,,,
24,PT10M16.00S,2021-12-07T00:12:21.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627747,91.67214191852825,55.392156862745104,1610612754,4,3,2021-12-07T00:12:26Z,240000,27.0,26.0,1,right,MISS C. LeVert driving Layup - blocked,"[1627747, 1628398]",1610612754.0,IND,driving,,,LeVert,C. LeVert,,,,,,,,3.73,Missed,,,,,,,,,,,,,,Kuzma,1628398.0,
25,PT10M16.00S,2021-12-07T00:12:21.0Z,1,REGULAR,block,,[],1628398,,,1610612754,4,3,2021-12-07T00:12:22Z,250000,,,0,,K. Kuzma BLOCK (1 BLK),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M15.00S,2021-12-07T00:12:22.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,4,3,2021-12-07T00:12:26Z,260000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,
27,PT10M15.00S,2021-12-07T00:12:25.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,4,3,2021-12-07T00:12:25Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT10M10.00S,2021-12-07T00:12:39.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627763,88.38699080157687,44.36274509803921,1610612754,4,3,2021-12-07T00:12:45Z,280000,-28.0,57.0,1,right,MISS M. Brogdon 6' driving finger roll Layup,[1627763],1610612754.0,IND,driving finger roll,,,Brogdon,M. Brogdon,,,,,,,,6.33,Missed,,,,,,,,,,,,,,,,
29,PT10M07.00S,2021-12-07T00:12:42.4Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612754,4,3,2021-12-07T00:12:45Z,290000,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,28.0,1.0,0.0,1.0,,,,,,,,,,,,
30,PT10M06.00S,2021-12-07T00:12:45.9Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612754,4,3,2021-12-07T00:12:52Z,300000,,,0,,D. Gafford shooting personal FOUL (1 PF) (Sabonis 2 FT),"[1629655, 1627734]",1610612764.0,WAS,shooting,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Sabonis,1627734.0,,,
33,PT10M06.00S,2021-12-07T00:13:13.3Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1627734,,,1610612754,5,3,2021-12-07T00:13:13Z,320000,,,0,,D. Sabonis Free Throw 1 of 2 (3 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,
34,PT10M06.00S,2021-12-07T00:13:28.8Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1627734,,,1610612754,6,3,2021-12-07T00:13:28Z,330000,,,0,,D. Sabonis Free Throw 2 of 2 (4 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,Made,,,,,4.0,,,,,,,,,,,
35,PT09M53.00S,2021-12-07T00:13:44.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,16.376478318002626,56.86274509803921,1610612764,6,5,2021-12-07T00:13:50Z,340000,-34.0,101.0,1,left,B. Beal 10' turnaround Jump Shot (2 PTS),[203078],1610612764.0,WAS,turnaround,,,Beal,B. Beal,,,,,,,,10.7,Made,,,,,2.0,,,,,,,,,,,
36,PT09M38.00S,2021-12-07T00:13:58.9Z,1,REGULAR,3pt,Jump Shot,[],1630537,77.21747700394218,88.72549019607843,1610612754,6,5,2021-12-07T00:14:04Z,350000,194.0,162.0,1,right,MISS C. Duarte 25' step back 3PT,[1630537],1610612754.0,IND,step back,,,Duarte,C. Duarte,,,,,,,,25.22,Missed,,,,,,,,,,,,,,,,
37,PT09M34.00S,2021-12-07T00:14:02.9Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,6,5,2021-12-07T00:14:04Z,360000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,
38,PT09M29.00S,2021-12-07T00:14:07.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628398,11.251642575558476,57.59803921568627,1610612764,6,5,2021-12-07T00:14:15Z,370000,-38.0,53.0,1,left,MISS K. Kuzma 6' running Layup - blocked,"[1628398, 1627747]",1610612764.0,WAS,running,,,Kuzma,K. Kuzma,,,,,,,,6.55,Missed,,,,,,,,,,,,,,LeVert,1627747.0,
39,PT09M29.00S,2021-12-07T00:14:07.7Z,1,REGULAR,block,,[],1627747,,,1610612764,6,5,2021-12-07T00:14:10Z,380000,,,0,,C. LeVert BLOCK (1 BLK),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M29.00S,2021-12-07T00:14:07.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,6,5,2021-12-07T00:14:15Z,390000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,
41,PT09M29.00S,2021-12-07T00:14:11.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,6,5,2021-12-07T00:14:11Z,400000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT09M18.00S,2021-12-07T00:14:38.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203078,22.815374507227332,39.950980392156865,1610612764,6,5,2021-12-07T00:14:43Z,410000,50.0,162.0,1,left,MISS B. Beal 16' pullup Shot,[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,,,,16.96,Missed,,,,,,,,,,,,,,,,
43,PT09M14.00S,2021-12-07T00:14:42.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,6,5,2021-12-07T00:14:43Z,420000,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,42.0,2.0,1.0,1.0,,,,,,,,,,,,
44,PT09M02.00S,2021-12-07T00:14:53.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,89.56964520367937,49.50980392156863,1610612754,8,5,2021-12-07T00:14:57Z,430000,-2.0,46.0,1,right,M. Turner turnaround Jump Shot (2 PTS) (D. Sabonis 2 AST),"[1626167, 1627734]",1610612754.0,IND,turnaround,,,Turner,M. Turner,,,,,,,,4.56,Made,,,,,2.0,D. Sabonis,1627734.0,2.0,,,,,,,,
46,PT08M44.00S,2021-12-07T00:15:12.4Z,1,REGULAR,2pt,Jump Shot,[],203484,22.421156373193167,47.05882352941176,1610612764,8,5,2021-12-07T00:15:17Z,450000,15.0,158.0,1,left,MISS K. Caldwell-Pope 15' pullup Shot,[203484],1610612764.0,WAS,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,15.9,Missed,,,,,,,,,,,,,,,,
47,PT08M39.00S,2021-12-07T00:15:17.4Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,8,5,2021-12-07T00:15:17Z,460000,,,0,,D. Gafford REBOUND (Off:1 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,46.0,2.0,1.0,1.0,,,,,,,,,,,,
48,PT08M37.00S,2021-12-07T00:15:18.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628398,16.63929040735874,60.5392156862745,1610612764,8,5,2021-12-07T00:15:51Z,470000,-53.0,104.0,1,left,MISS K. Kuzma 11' floating Shot,[1628398],1610612764.0,WAS,floating,,,Kuzma,K. Kuzma,,,,,,,,11.65,Missed,,,,,,,,,,,,,,,,
49,PT08M34.00S,2021-12-07T00:15:21.4Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,8,5,2021-12-07T00:15:22Z,480000,,,0,,D. Sabonis REBOUND (Off:1 Def:2),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,48.0,3.0,2.0,1.0,,,,,,,,,,,,
50,PT08M24.00S,2021-12-07T00:15:31.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,92.9862023653088,55.14705882352941,1610612754,10,5,2021-12-07T00:15:37Z,490000,26.0,13.0,1,right,M. Turner driving finger roll Layup (4 PTS) (M. Brogdon 1 AST),"[1626167, 1627763]",1610612754.0,IND,driving finger roll,,,Turner,M. Turner,,,,,,,,2.9,Made,,,,,4.0,M. Brogdon,1627763.0,1.0,,,,,,,,
52,PT08M24.00S,2021-12-07T00:15:36.1Z,1,REGULAR,foul,personal,['1freethrow'],1628988,,,1610612754,10,5,2021-12-07T00:15:41Z,510000,,,0,,A. Holiday shooting personal FOUL (1 PF) (Turner 1 FT),"[1628988, 1626167]",1610612764.0,WAS,shooting,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Turner,1626167.0,,,
54,PT08M24.00S,2021-12-07T00:15:59.3Z,1,REGULAR,freethrow,1 of 1,[],1626167,,,1610612754,11,5,2021-12-07T00:15:59Z,530000,,,0,,M. Turner Free Throw 1 of 1 (5 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,Made,,,,,5.0,,,,,,,,,,,
55,PT08M05.00S,2021-12-07T00:16:23.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,5.995400788436268,49.754901960784316,1610612764,11,7,2021-12-07T00:16:48Z,540000,1.0,4.0,1,left,D. Gafford alley-oop DUNK (2 PTS) (K. Caldwell-Pope 2 AST),"[1629655, 203484]",1610612764.0,WAS,alley-oop,,,Gafford,D. Gafford,,,,,,,,0.41,Made,,,,,2.0,K. Caldwell-Pope,203484.0,2.0,,,,,,,,
57,PT08M05.00S,2021-12-07T00:16:26.4Z,1,REGULAR,foul,personal,['1freethrow'],1626167,,,1610612764,11,7,2021-12-07T00:16:51Z,560000,,,0,,M. Turner shooting personal FOUL (1 PF) (Gafford 1 FT),"[1626167, 1629655]",1610612754.0,IND,shooting,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Gafford,1629655.0,,,
59,PT08M05.00S,2021-12-07T00:16:50.0Z,1,REGULAR,freethrow,1 of 1,[],1629655,,,1610612764,11,7,2021-12-07T00:16:53Z,580000,,,0,,MISS D. Gafford Free Throw 1 of 1,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,Missed,,,,,,,,,,,,,,,,
60,PT08M03.00S,2021-12-07T00:16:52.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,11,7,2021-12-07T00:16:53Z,590000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,
61,PT07M47.00S,2021-12-07T00:17:07.7Z,1,REGULAR,3pt,Jump Shot,[],1626167,67.09921156373193,60.5392156862745,1610612754,11,7,2021-12-07T00:17:12Z,600000,53.0,257.0,1,right,MISS M. Turner 26' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,26.22,Missed,,,,,,,,,,,,,,,,
62,PT07M44.00S,2021-12-07T00:17:10.7Z,1,REGULAR,rebound,offensive,[],1627763,,,1610612754,11,7,2021-12-07T00:17:12Z,610000,,,0,,M. Brogdon REBOUND (Off:1 Def:1),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,61.0,2.0,1.0,1.0,,,,,,,,,,,,
63,PT07M41.00S,2021-12-07T00:17:14.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,11,7,2021-12-07T00:17:14Z,620000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M34.00S,2021-12-07T00:17:37.9Z,1,REGULAR,turnover,out-of-bounds,[],1627734,,,1610612754,11,7,2021-12-07T00:17:47Z,630000,,,0,,D. Sabonis lost ball out-of-bounds TURNOVER (1 TO),[1627734],1610612754.0,IND,lost ball,,,Sabonis,D. Sabonis,,,,,1.0,,,,,,,,,,,,,203591.0,,,,,,,
65,PT07M16.00S,2021-12-07T00:18:04.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203484,6.915243101182654,55.14705882352941,1610612764,11,7,2021-12-07T00:18:07Z,640000,-26.0,13.0,1,left,MISS K. Caldwell-Pope driving Layup,[203484],1610612764.0,WAS,driving,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,2.86,Missed,,,,,,,,,,,,,,,,
66,PT07M15.00S,2021-12-07T00:18:05.0Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,11,7,2021-12-07T00:18:07Z,650000,,,0,,D. Gafford REBOUND (Off:2 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,65.0,3.0,1.0,2.0,,,,,,,,,,,,
67,PT07M13.00S,2021-12-07T00:18:08.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629655,11.251642575558476,62.00980392156863,1610612764,11,9,2021-12-07T00:18:13Z,660000,-60.0,53.0,1,left,D. Gafford 8' turnaround Hook (4 PTS),[1629655],1610612764.0,WAS,turnaround,,,Gafford,D. Gafford,,,,,,,,8.03,Made,,,,,4.0,,,,,,,,,,,
