actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-15T00:10:54.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-15T00:10:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-15T00:10:57.7Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2022-01-15T00:10:57Z,40000,,,0,,Jump Ball D. Ayton vs. M. Turner: Tip to C. Paul,"[101108, 1629028, 1626167]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-01-15T00:11:14.2Z,1,REGULAR,2pt,Jump Shot,[],1629028,89.04402102496715,82.1078431372549,1610612756,0,2,2022-01-15T00:11:18Z,70000,161.0,50.0,1,right,D. Ayton 16' Jump Shot (2 PTS) (M. Bridges 1 AST),"[1629028, 1628969]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,16.83,Made,2.0,M. Bridges,1628969.0,1.0,,,,,,,,,,,,,,,
9,PT11M18.00S,2022-01-15T00:11:35.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,7.5722733245729295,49.01960784313725,1610612754,0,2,2022-01-15T00:11:43Z,90000,5.0,19.0,1,left,MISS M. Turner Layup - blocked,"[1626167, 203109]",1610612754.0,IND,,,,Turner,M. Turner,,,,,1.93,Missed,,,,,Crowder,203109.0,,,,,,,,,,,,,
10,PT11M18.00S,2022-01-15T00:11:35.9Z,1,REGULAR,block,,[],203109,,,1610612754,0,2,2022-01-15T00:11:38Z,100000,,,0,,J. Crowder BLOCK (1 BLK),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2022-01-15T00:11:38.9Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,0,2,2022-01-15T00:11:43Z,110000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M05.00S,2022-01-15T00:11:49.8Z,1,REGULAR,3pt,Jump Shot,[],1626164,81.94809461235218,92.40196078431373,1610612756,0,5,2022-01-15T00:11:56Z,120000,212.0,117.0,1,right,D. Booker 24' 3PT  (3 PTS) (J. Crowder 1 AST),"[1626164, 203109]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,24.22,Made,3.0,J. Crowder,203109.0,1.0,,,,,,,,,,,,,,,
14,PT10M49.00S,2022-01-15T00:12:04.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,10.200394218134035,55.63725490196079,1610612754,2,5,2022-01-15T00:12:10Z,140000,-28.0,43.0,1,left,M. Turner turnaround Jump Shot (2 PTS) (D. Sabonis 1 AST),"[1626167, 1627734]",1610612754.0,IND,turnaround,,,Turner,M. Turner,,,,,5.18,Made,2.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,,,,
16,PT10M36.00S,2022-01-15T00:12:19.4Z,1,REGULAR,turnover,out-of-bounds,[],1629028,,,1610612756,2,5,2022-01-15T00:12:25Z,160000,,,0,,D. Ayton lost ball out-of-bounds TURNOVER (1 TO),[1629028],1610612756.0,PHX,lost ball,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,1628951.0,1.0,,,,,,,
17,PT10M19.00S,2022-01-15T00:12:40.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627747,10.5946123521682,40.44117647058824,1610612754,2,5,2022-01-15T00:12:48Z,170000,48.0,47.0,1,left,MISS C. LeVert 6' Jump Shot - blocked,"[1627747, 1626164]",1610612754.0,IND,,,,LeVert,C. LeVert,,,,,6.71,Missed,,,,,Booker,1626164.0,,,,,,,,,,,,,
