actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-29T01:10:36.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-29T01:10:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-01-29T01:10:38.5Z,1,REGULAR,jumpball,recovered,[],201145,,,1610612743,0,0,2022-01-29T01:10:38Z,40000,,,0,,Jump Ball N. Jokic vs. W. Hernangomez: Tip to J. Green,"[201145, 203999, 1626195]",1610612743.0,DEN,startperiod,J. Green,201145.0,Green,J. Green,Jokic,203999.0,Hernangomez,1626195.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-29T01:10:54.1Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,0,0,2022-01-29T01:10:59Z,70000,,,0,,N. Jokic bad pass out-of-bounds TURNOVER (1 TO),[203999],1610612743.0,DEN,bad pass,,,Jokic,N. Jokic,,,,,201638.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2022-01-29T01:11:23.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628984,81.94809461235218,76.9607843137255,1610612740,2,0,2022-01-29T01:11:44Z,80000,135.0,117.0,1,right,D. Graham 17' pullup Jump Shot (2 PTS) (J. Hart 1 AST),"[1628984, 1628404]",1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,,,17.86,Made,2.0,J. Hart,1628404.0,1.0,,,,,,,,,,,,
10,PT11M01.00S,2022-01-29T01:11:41.0Z,1,REGULAR,2pt,Jump Shot,[],1628420,26.231931668856767,30.637254901960787,1610612743,2,2,2022-01-29T01:11:58Z,100000,97.0,194.0,1,left,M. Morris 21' pullup Jump Shot (2 PTS),[1628420],1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,,,21.69,Made,2.0,,,,,,,,,,,,,,,
11,PT10M52.00S,2022-01-29T01:11:52.7Z,1,REGULAR,turnover,out-of-bounds,[],1628984,,,1610612740,2,2,2022-01-29T01:11:59Z,110000,,,0,,D. Graham lost ball out-of-bounds TURNOVER (1 TO),[1628984],1610612740.0,NOP,lost ball,,,Graham,D. Graham,,,,,1627541.0,1.0,,,,,,,,,,,,,,,,,,
12,PT10M38.00S,2022-01-29T01:12:13.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203085,6.521024967148489,95.83333333333334,1610612743,2,2,2022-01-29T01:12:17Z,120000,-229.0,9.0,1,left,MISS A. Rivers 3PT,[203085],1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,,,22.94,Missed,,,,,,,,,,,,,,,,
13,PT10M33.00S,2022-01-29T01:12:18.1Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,2,2,2022-01-29T01:12:17Z,130000,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT10M25.00S,2022-01-29T01:12:29.0Z,1,REGULAR,foul,personal,['2freethrow'],203999,,,1610612740,2,2,2022-01-29T01:12:36Z,140000,,,0,,N. Jokic shooting personal FOUL (1 PF) (Hernangomez 2 FT),"[203999, 1626195]",1610612743.0,DEN,shooting,,,Jokic,N. Jokic,,,,,201638.0,,,,,,,,,,,,1.0,0.0,Hernangomez,1626195.0,,,,
16,PT10M25.00S,2022-01-29T01:12:53.8Z,1,REGULAR,freethrow,1 of 2,[],1626195,,,1610612740,3,2,2022-01-29T01:12:53Z,160000,,,0,,W. Hernangomez Free Throw 1 of 2 (1 PTS),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
17,PT10M25.00S,2022-01-29T01:13:10.5Z,1,REGULAR,freethrow,2 of 2,[],1626195,,,1610612740,4,2,2022-01-29T01:13:10Z,170000,,,0,,W. Hernangomez Free Throw 2 of 2 (2 PTS),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
18,PT10M15.00S,2022-01-29T01:13:29.4Z,1,REGULAR,foul,personal,['2freethrow'],1628984,,,1610612743,4,2,2022-01-29T01:13:39Z,180000,,,0,,D. Graham shooting personal FOUL (1 PF) (Rivers 2 FT),"[1628984, 203085]",1610612740.0,NOP,shooting,,,Graham,D. Graham,,,,,201638.0,,,,,,,,,,,,1.0,0.0,Rivers,203085.0,,,,
20,PT10M15.00S,2022-01-29T01:13:52.1Z,1,REGULAR,freethrow,1 of 2,[],203085,,,1610612743,4,3,2022-01-29T01:13:52Z,200000,,,0,,A. Rivers Free Throw 1 of 2 (1 PTS),[203085],1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
21,PT10M15.00S,2022-01-29T01:14:06.4Z,1,REGULAR,freethrow,2 of 2,[],203085,,,1610612743,4,4,2022-01-29T01:14:06Z,210000,,,0,,A. Rivers Free Throw 2 of 2 (2 PTS),[203085],1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
22,PT09M55.00S,2022-01-29T01:14:26.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626195,89.70105124835742,46.07843137254902,1610612740,4,4,2022-01-29T01:16:03Z,220000,-20.0,44.0,1,right,MISS W. Hernangomez driving floating bank Shot,[1626195],1610612740.0,NOP,driving floating bank,,,Hernangomez,W. Hernangomez,,,,,,,4.84,Missed,,,,,,,,,,,,,,,,
23,PT09M53.00S,2022-01-29T01:14:28.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,4,4,2022-01-29T01:14:30Z,230000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,
24,PT09M42.00S,2022-01-29T01:14:40.9Z,1,REGULAR,turnover,bad pass,[],203085,,,1610612743,4,4,2022-01-29T01:14:45Z,240000,,,0,,A. Rivers bad pass TURNOVER (1 TO),"[203085, 202066]",1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,,1.0,,,,,,,,,,,,,,,Temple,202066.0,,
25,PT09M42.00S,2022-01-29T01:14:40.9Z,1,REGULAR,steal,,[],202066,,,1610612740,4,4,2022-01-29T01:14:43Z,250000,,,0,,G. Temple STEAL (1 STL),[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M35.00S,2022-01-29T01:14:48.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630529,94.95729303547962,96.07843137254902,1610612740,4,4,2022-01-29T01:14:53Z,260000,230.0,-5.0,1,right,MISS H. Jones 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,23.05,Missed,,,,,,,,,,,,,,,,
27,PT09M31.00S,2022-01-29T01:14:51.5Z,1,REGULAR,rebound,offensive,[],1626195,,,1610612740,4,4,2022-01-29T01:14:51Z,270000,,,0,,W. Hernangomez REBOUND (Off:1 Def:0),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,26.0,1.0,0.0,1.0,,,,,,,,
28,PT09M29.00S,2022-01-29T01:14:53.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628984,65.78515111695138,48.28431372549019,1610612740,7,4,2022-01-29T01:14:57Z,280000,-9.0,269.0,1,right,D. Graham 26' 3PT  (5 PTS) (G. Temple 1 AST),"[1628984, 202066]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,26.92,Made,5.0,G. Temple,202066.0,1.0,,,,,,,,,,,,
30,PT09M13.00S,2022-01-29T01:15:09.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,6.258212877792378,53.67647058823529,1610612743,7,6,2022-01-29T01:15:16Z,300000,-18.0,6.0,1,left,A. Gordon driving Layup (2 PTS),[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,,,1.94,Made,2.0,,,,,,,,,,,,,,,
31,PT09M07.00S,2022-01-29T01:15:15.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630529,87.33574244415243,4.411764705882353,1610612740,7,6,2022-01-29T01:15:20Z,310000,-228.0,67.0,1,right,MISS H. Jones 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,23.74,Missed,,,,,,,,,,,,,,,,
32,PT09M03.00S,2022-01-29T01:15:19.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,7,6,2022-01-29T01:15:20Z,320000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,
33,PT08M49.00S,2022-01-29T01:15:33.5Z,1,REGULAR,2pt,Jump Shot,[],203932,5.863994743758213,33.82352941176471,1610612743,7,6,2022-01-29T01:15:38Z,330000,81.0,3.0,1,left,MISS A. Gordon 8' turnaround Shot,[203932],1610612743.0,DEN,turnaround,,,Gordon,A. Gordon,,,,,,,8.09,Missed,,,,,,,,,,,,,,,,
34,PT08M46.00S,2022-01-29T01:15:36.5Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,7,6,2022-01-29T01:15:38Z,340000,,,0,,W. Hernangomez REBOUND (Off:1 Def:1),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,33.0,2.0,1.0,1.0,,,,,,,,
35,PT08M45.00S,2022-01-29T01:15:41.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,94.30026281208936,55.392156862745104,1610612740,7,6,2022-01-29T01:21:15Z,350000,27.0,1.0,1,right,MISS H. Jones Layup - blocked,"[1630529, 203085]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,2.7,Missed,,,,,,,,,,,,,,,Rivers,203085.0
36,PT08M45.00S,2022-01-29T01:15:41.3Z,1,REGULAR,block,,[],203085,,,1610612740,7,6,2022-01-29T01:15:49Z,360000,,,0,,A. Rivers BLOCK (1 BLK),[203085],1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M42.00S,2022-01-29T01:15:44.3Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,7,6,2022-01-29T01:21:15Z,370000,,,0,,H. Jones REBOUND (Off:1 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,35.0,2.0,1.0,1.0,,,,,,,,
38,PT08M41.00S,2022-01-29T01:15:52.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202066,96.05781865965835,96.1014093137255,1610612740,7,6,2022-01-29T01:21:17Z,380000,231.0,-15.0,1,right,MISS G. Temple 3PT,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,23.1,Missed,,,,,,,,,,,,,,,,
39,PT08M39.00S,2022-01-29T01:15:54.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,7,6,2022-01-29T01:21:17Z,390000,,,0,,N. Jokic REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,38.0,3.0,3.0,0.0,,,,,,,,
40,PT08M27.00S,2022-01-29T01:15:56.6Z,1,REGULAR,3pt,Jump Shot,[],1628420,12.697109067017081,2.696078431372549,1610612743,7,6,2022-01-29T01:21:36Z,400000,237.0,67.0,1,left,MISS M. Morris 24' 3PT,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,24.58,Missed,,,,,,,,,,,,,,,,
41,PT08M25.00S,2022-01-29T01:15:58.6Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,7,6,2022-01-29T01:21:36Z,410000,,,0,,W. Hernangomez REBOUND (Off:1 Def:2),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,40.0,3.0,2.0,1.0,,,,,,,,
