actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2021-12-22T01:10:39.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-22T01:10:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-22T01:10:44.5Z,1,REGULAR,jumpball,recovered,[],1626181,,,1610612757,0,0,2021-12-22T01:10:44Z,40000,,,0,,Jump Ball J. Nurkic vs. J. Valanciunas: Tip to N. Powell,"[1626181, 203994, 202685]",1610612757.0,POR,startperiod,N. Powell,1626181.0,Powell,N. Powell,Nurkic,203994.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-12-22T01:11:02.5Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612757,0,0,2021-12-22T01:11:11Z,70000,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Nurkic 2 FT),"[202685, 203994]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,201246.0,1.0,0.0,Nurkic,203994.0,,,,,,,,,,,,,,,,
9,PT11M40.00S,2021-12-22T01:11:20.2Z,1,REGULAR,freethrow,1 of 2,[],203994,,,1610612757,0,1,2021-12-22T01:11:36Z,90000,,,0,,J. Nurkic Free Throw 1 of 2 (1 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M40.00S,2021-12-22T01:11:20.2Z,1,REGULAR,freethrow,2 of 2,[],203994,,,1610612757,0,1,2021-12-22T01:11:36Z,100000,,,0,,MISS J. Nurkic Free Throw 2 of 2,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,Missed,,,,,,,,,,,,,,,
11,PT11M37.00S,2021-12-22T01:11:23.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,1,2021-12-22T01:11:36Z,110000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M16.00S,2021-12-22T01:11:55.8Z,1,REGULAR,3pt,Jump Shot,[],202685,77.08607095926413,87.99019607843137,1610612740,0,1,2021-12-22T01:12:00Z,120000,190.0,163.0,1,right,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,Missed,,,,,,25.03,,,,,,,,,
13,PT11M14.00S,2021-12-22T01:11:57.8Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612757,0,1,2021-12-22T01:12:00Z,130000,,,0,,L. Nance Jr. REBOUND (Off:0 Def:1),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M57.00S,2021-12-22T01:12:15.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203994,5.601182654402102,49.754901960784316,1610612757,0,3,2021-12-22T01:12:20Z,140000,1.0,0.0,1,left,J. Nurkic driving DUNK (3 PTS),[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,,,,,,Made,3.0,,,,,0.12,,,,,,,,,
15,PT10M41.00S,2021-12-22T01:12:31.1Z,1,REGULAR,3pt,Jump Shot,[],1628984,67.09921156373193,72.05882352941177,1610612740,0,3,2021-12-22T01:12:35Z,150000,110.0,257.0,1,right,MISS D. Graham 27' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,Missed,,,,,,27.95,,,,,,,,,
