actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-16T00:10:34.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-16T00:10:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-16T00:10:38.7Z,1,REGULAR,jumpball,recovered,[],1626166,,,1610612756,0,0,2022-03-16T00:10:38Z,40000,,,0,,Jump Ball D. Ayton vs. J. Valanciunas: Tip to C. Payne,"[1626166, 1629028, 202685]",1610612756.0,PHX,startperiod,C. Payne,1626166.0,Payne,C. Payne,Ayton,1629028.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-03-16T00:10:47.5Z,1,REGULAR,2pt,Jump Shot,[],1629028,75.77201051248358,32.1078431372549,1610612756,0,2,2022-03-16T00:10:52Z,70000,-89.0,175.0,1,right,D. Ayton 19' Jump Shot (2 PTS) (J. Crowder 1 AST),"[1629028, 203109]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,19.67,Made,2.0,J. Crowder,203109.0,1.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2022-03-16T00:11:06.2Z,1,REGULAR,3pt,Jump Shot,[],1630529,32.14520367936925,56.372549019607845,1610612740,0,2,2022-03-16T00:11:11Z,90000,-32.0,250.0,1,left,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,25.17,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2022-03-16T00:11:08.2Z,1,REGULAR,rebound,offensive,[],1628984,,,1610612740,0,2,2022-03-16T00:19:09Z,100000,,,0,,D. Graham REBOUND (Off:1 Def:0),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M13.00S,2022-03-16T00:11:21.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630529,16.376478318002626,4.166666666666666,1610612740,3,2,2022-03-16T00:11:26Z,110000,229.0,101.0,1,left,H. Jones 25' 3PT  (3 PTS) (C. McCollum 1 AST),"[1630529, 203468]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,25.06,Made,3.0,C. McCollum,203468.0,1.0,,,,,,,,,,,,,,,
13,PT10M47.00S,2022-03-16T00:11:46.9Z,1,REGULAR,3pt,Jump Shot,[],1628969,71.17279894875165,74.01960784313727,1610612756,3,2,2022-03-16T00:11:54Z,130000,120.0,218.0,1,right,MISS M. Bridges 24' 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,24.93,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M43.00S,2022-03-16T00:11:50.9Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,3,2,2022-03-16T00:11:54Z,140000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M28.00S,2022-03-16T00:12:05.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,4.02431011826544,48.529411764705884,1610612740,5,2,2022-03-16T00:12:11Z,150000,7.0,-15.0,1,left,J. Valanciunas driving Layup (2 PTS) (D. Graham 1 AST),"[202685, 1628984]",1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,1.65,Made,2.0,D. Graham,1628984.0,1.0,,,,,,,,,,,,,,,
17,PT10M21.00S,2022-03-16T00:12:13.4Z,1,REGULAR,3pt,Jump Shot,[],1626164,65.39093298291722,18.627450980392158,1610612756,5,5,2022-03-16T00:15:50Z,170000,-157.0,273.0,1,right,D. Booker 31' 3PT pullup (3 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,31.47,Made,3.0,,,,,,,,,,,,,,,,,,
18,PT10M09.00S,2022-03-16T00:12:25.1Z,1,REGULAR,3pt,Jump Shot,[],202685,27.283180026281208,78.18627450980392,1610612740,5,5,2022-03-16T00:12:32Z,180000,-141.0,204.0,1,left,MISS J. Valanciunas 24' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,24.79,Missed,,,,,,,,,,,,,,,,,,,
