actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-01-30T00:10:33.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-30T00:10:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-30T00:10:37.2Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2022-01-30T00:10:37Z,40000,,,0,,Jump Ball R. Williams III vs. W. Hernangomez: Tip to M. Smart,"[203935, 1629057, 1626195]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Hernangomez,1626195.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-01-30T00:10:48.6Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,0,0,2022-01-30T00:11:13Z,70000,,,0,,M. Smart bad pass out-of-bounds TURNOVER (1 TO),[203935],1610612738.0,BOS,bad pass,,,Smart,M. Smart,,,,,1627541.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2022-01-30T00:11:18.8Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612740,0,0,2022-01-30T00:11:34Z,80000,,,0,,R. Williams III shooting personal FOUL (1 PF) (Hernangomez 2 FT),"[1629057, 1626195]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,201246.0,,1.0,0.0,Hernangomez,1626195.0,,,,,,,,,,,,,,
10,PT11M26.00S,2022-01-30T00:11:47.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1626195,,,1610612740,1,0,2022-01-30T00:11:47Z,100000,,,0,,W. Hernangomez Free Throw 1 of 2 (1 PTS),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
11,PT11M26.00S,2022-01-30T00:12:04.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1626195,,,1610612740,2,0,2022-01-30T00:12:04Z,110000,,,0,,W. Hernangomez Free Throw 2 of 2 (2 PTS),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
12,PT11M17.00S,2022-01-30T00:12:15.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,91.01511169513797,2.450980392156863,1610612738,2,0,2022-01-30T00:12:21Z,120000,-238.0,32.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,Missed,,23.98,,,,,,,,,,,
13,PT11M14.00S,2022-01-30T00:12:18.9Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,2,0,2022-01-30T00:12:18Z,130000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,
14,PT11M11.00S,2022-01-30T00:12:21.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627759,88.25558475689881,4.411764705882353,1610612738,2,3,2022-01-30T00:12:28Z,140000,-228.0,58.0,1,right,J. Brown 3PT  (3 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,Made,3.0,23.51,,,,,M. Smart,203935.0,1.0,,,,
16,PT10M43.00S,2022-01-30T00:12:49.7Z,1,REGULAR,2pt,Jump Shot,[],1628404,6.389618922470433,72.79411764705883,1610612740,2,3,2022-01-30T00:13:08Z,160000,-114.0,8.0,1,left,MISS J. Hart 11' driving floating Shot - blocked,"[1628404, 1629057]",1610612740.0,NOP,driving floating,,,Hart,J. Hart,,,,,,,,,,,Missed,,11.43,,,,,,,,Williams III,1629057.0,,
