actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-02T01:10:32.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-02T01:10:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-02T01:10:34.6Z,1,REGULAR,jumpball,recovered,[],203939,,,1610612742,0,0,2021-12-02T01:10:34Z,40000,,,0,,Jump Ball K. Porzingis vs. J. Valanciunas: Tip to D. Powell,"[203939, 204001, 202685]",1610612742.0,DAL,startperiod,D. Powell,203939.0,Powell,D. Powell,Porzingis,204001.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-12-02T01:10:57.7Z,1,REGULAR,2pt,Jump Shot,[],204001,4.944152431011826,69.11764705882352,1610612742,0,2,2021-12-02T01:11:06Z,70000,-96.0,-6.0,1,left,K. Porzingis 9' pullup Jump Shot (2 PTS) (L. Doncic 1 AST),"[204001, 1629029]",1610612742.0,DAL,pullup,,,Porzingis,K. Porzingis,,,,,9.58,Made,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,,
9,PT11M15.00S,2021-12-02T01:11:20.8Z,1,REGULAR,turnover,out-of-bounds,[],1628984,,,1610612740,0,2,2021-12-02T01:11:28Z,90000,,,0,,D. Graham lost ball out-of-bounds TURNOVER (1 TO),[1628984],1610612740.0,NOP,lost ball,,,Graham,D. Graham,,,,,,,,,,,202037.0,1.0,,,,,,,,,,,,,
10,PT10M56.00S,2021-12-02T01:11:46.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",204001,5.732588699080158,45.588235294117645,1610612742,0,4,2021-12-02T01:12:06Z,100000,22.0,1.0,1,left,K. Porzingis cutting Layup (4 PTS) (D. Powell 1 AST),"[204001, 203939]",1610612742.0,DAL,cutting,,,Porzingis,K. Porzingis,,,,,2.21,Made,4.0,D. Powell,203939.0,1.0,,,,,,,,,,,,,,,
12,PT10M56.00S,2021-12-02T01:11:49.4Z,1,REGULAR,foul,personal,['1freethrow'],202066,,,1610612742,0,4,2021-12-02T01:11:59Z,120000,,,0,,G. Temple shooting personal FOUL (1 PF) (Porzingis 1 FT),"[202066, 204001]",1610612740.0,NOP,shooting,,,Temple,G. Temple,,,,,,,,,,,202037.0,,1.0,0.0,Porzingis,204001.0,,,,,,,,,
14,PT10M56.00S,2021-12-02T01:12:10.8Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],204001,,,1610612742,0,5,2021-12-02T01:12:10Z,140000,,,0,,K. Porzingis Free Throw 1 of 1 (5 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
15,PT10M38.00S,2021-12-02T01:12:30.5Z,1,REGULAR,foul,personal,['2freethrow'],203939,,,1610612740,0,5,2021-12-02T01:12:44Z,150000,,,0,,D. Powell shooting personal FOUL (1 PF) (Valanciunas 2 FT),"[203939, 202685]",1610612742.0,DAL,shooting,,,Powell,D. Powell,,,,,,,,,,,1830.0,,1.0,0.0,Valanciunas,202685.0,,,,,,,,,
17,PT10M38.00S,2021-12-02T01:12:58.3Z,1,REGULAR,freethrow,1 of 2,[],202685,,,1610612740,1,5,2021-12-02T01:12:58Z,170000,,,0,,J. Valanciunas Free Throw 1 of 2 (1 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
18,PT10M38.00S,2021-12-02T01:13:19.9Z,1,REGULAR,freethrow,2 of 2,[],202685,,,1610612740,2,5,2021-12-02T01:13:19Z,180000,,,0,,J. Valanciunas Free Throw 2 of 2 (2 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
