actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-02-11T00:40:38.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-11T00:40:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-02-11T00:40:42.5Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612740,0,0,2022-02-11T00:40:42Z,40000,,,0,,Jump Ball J. Valanciunas vs. B. Adebayo: Tip to C. McCollum,"[203468, 202685, 1628389]",1610612740.0,NOP,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Valanciunas,202685.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-02-11T00:40:58.4Z,1,REGULAR,turnover,traveling,[],1630529,,,1610612740,0,0,2022-02-11T00:41:05Z,70000,,,0,,H. Jones traveling TURNOVER (1 TO),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,1830.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2022-02-11T00:41:27.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],200768,26.49474375821288,82.1078431372549,1610612748,0,3,2022-02-11T00:41:31Z,80000,-161.0,197.0,1,left,K. Lowry 25' 3PT  (3 PTS) (P. Tucker 1 AST),"[200768, 200782]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,25.38,Made,3.0,P. Tucker,200782.0,1.0,,,,,,,,,,,,
10,PT11M09.00S,2022-02-11T00:41:43.1Z,1,REGULAR,2pt,Jump Shot,[],1627742,87.72996057818659,77.45098039215686,1610612740,2,3,2022-02-11T00:41:51Z,100000,137.0,63.0,1,right,B. Ingram 15' pullup Jump Shot (2 PTS) (C. McCollum 1 AST),"[1627742, 203468]",1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,,,15.1,Made,2.0,C. McCollum,203468.0,1.0,,,,,,,,,,,,
12,PT11M03.00S,2022-02-11T00:41:56.2Z,1,REGULAR,foul,personal,[],202685,,,1610612748,2,3,2022-02-11T00:42:02Z,120000,,,0,,J. Valanciunas personal FOUL (1 PF),"[202685, 200782]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,1830.0,,,,,,,,1.0,0.0,Tucker,200782.0,,,,,,,,
14,PT10M56.00S,2022-02-11T00:42:16.6Z,1,REGULAR,3pt,Jump Shot,[],1629130,31.35676741130092,28.431372549019606,1610612748,2,3,2022-02-11T00:42:43Z,140000,108.0,242.0,1,left,MISS D. Robinson 26' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,,,26.52,Missed,,,,,,,,,,,,,,,,
15,PT10M53.00S,2022-02-11T00:42:19.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,3,2022-02-11T00:42:20Z,150000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,
16,PT10M41.00S,2022-02-11T00:42:32.0Z,1,REGULAR,2pt,Jump Shot,[],1627742,73.9323258869908,26.47058823529412,1610612740,2,3,2022-02-11T00:42:37Z,160000,-118.0,193.0,1,right,MISS B. Ingram 22' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,,,22.56,Missed,,,,,,,,,,,,,,,,
17,PT10M37.00S,2022-02-11T00:42:36.0Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,2,3,2022-02-11T00:42:37Z,170000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,
18,PT10M32.00S,2022-02-11T00:42:40.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628389,6.521024967148489,42.64705882352941,1610612748,2,5,2022-02-11T00:44:59Z,180000,37.0,9.0,1,left,B. Adebayo running Layup (2 PTS) (K. Lowry 1 AST),"[1628389, 200768]",1610612748.0,MIA,running,,,Adebayo,B. Adebayo,,,,,,,3.78,Made,2.0,K. Lowry,200768.0,1.0,,,,,,,,,,,,
20,PT10M22.00S,2022-02-11T00:42:53.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,2,5,2022-02-11T00:42:53Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M20.00S,2022-02-11T00:43:05.1Z,1,REGULAR,2pt,Jump Shot,[],203468,94.03745072273325,75.24509803921569,1610612740,4,5,2022-02-11T00:43:17Z,210000,126.0,4.0,1,right,C. McCollum 12' Jump Shot (2 PTS) (D. Graham 1 AST),"[203468, 1628984]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,12.62,Made,2.0,D. Graham,1628984.0,1.0,,,,,,,,,,,,
23,PT09M57.00S,2022-02-11T00:43:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,5.206964520367937,52.69607843137255,1610612748,4,7,2022-02-11T00:46:06Z,230000,-13.0,-4.0,1,left,J. Butler driving Layup (2 PTS),[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,,,1.4,Made,2.0,,,,,,,,,,,,,,,
24,PT09M57.00S,2022-02-11T00:43:38.9Z,1,REGULAR,foul,personal,['1freethrow'],1628984,,,1610612748,4,7,2022-02-11T00:43:46Z,240000,,,0,,D. Graham shooting personal FOUL (1 PF) (Butler 1 FT),"[1628984, 202710]",1610612740.0,NOP,shooting,,,Graham,D. Graham,,,,,1626301.0,,,,,,,,1.0,0.0,Butler,202710.0,,,,,,,,
26,PT09M57.00S,2022-02-11T00:43:59.3Z,1,REGULAR,freethrow,1 of 1,[],202710,,,1610612748,4,8,2022-02-11T00:43:59Z,260000,,,0,,J. Butler Free Throw 1 of 1 (3 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
27,PT09M49.00S,2022-02-11T00:44:09.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628984,86.15308804204993,50.0,1610612740,6,8,2022-02-11T00:44:19Z,270000,0.0,78.0,1,right,D. Graham 7' pullup Jump Shot (2 PTS),[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,,,7.77,Made,2.0,,,,,,,,,,,,,,,
28,PT09M40.00S,2022-02-11T00:44:19.3Z,1,REGULAR,2pt,Jump Shot,[],1628389,21.76412614980289,45.34313725490196,1610612748,6,10,2022-02-11T00:44:24Z,280000,23.0,152.0,1,left,B. Adebayo 15' Jump Shot (4 PTS) (K. Lowry 2 AST),"[1628389, 200768]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,15.39,Made,4.0,K. Lowry,200768.0,2.0,,,,,,,,,,,,
30,PT09M29.00S,2022-02-11T00:44:29.3Z,1,REGULAR,3pt,Jump Shot,[],202685,68.28186596583443,62.254901960784316,1610612740,6,10,2022-02-11T00:44:33Z,300000,61.0,246.0,1,right,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,25.32,Missed,,,,,,,,,,,,,,,,
31,PT09M26.00S,2022-02-11T00:44:32.3Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,6,10,2022-02-11T00:44:33Z,310000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,
32,PT09M23.00S,2022-02-11T00:44:40.6Z,1,REGULAR,foul,personal,[],1627742,,,1610612748,6,10,2022-02-11T00:44:47Z,320000,,,0,,B. Ingram personal FOUL (1 PF),"[1627742, 200768]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,1627962.0,,,,,,,,1.0,0.0,Lowry,200768.0,,,,,,,,
34,PT09M11.00S,2022-02-11T00:45:02.1Z,1,REGULAR,3pt,Jump Shot,[],202710,10.33180026281209,95.34313725490196,1610612748,6,10,2022-02-11T00:45:05Z,340000,-227.0,45.0,1,left,MISS J. Butler 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,23.1,Missed,,,,,,,,,,,,,,,,
35,PT09M09.00S,2022-02-11T00:45:04.1Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,6,10,2022-02-11T00:45:05Z,350000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,
36,PT09M04.00S,2022-02-11T00:45:08.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,74.85216819973719,86.76470588235294,1610612740,6,10,2022-02-11T00:47:33Z,360000,184.0,184.0,1,right,MISS C. McCollum 26' running pullup 3PT,[203468],1610612740.0,NOP,running pullup,,,McCollum,C. McCollum,,,,,,,26.0,Missed,,,,,,,,,,,,,,,,
37,PT09M01.00S,2022-02-11T00:45:11.9Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,6,10,2022-02-11T00:45:13Z,370000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,
38,PT08M47.00S,2022-02-11T00:45:25.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,5.206964520367937,57.107843137254896,1610612748,6,10,2022-02-11T00:48:34Z,380000,-36.0,-4.0,1,left,MISS B. Adebayo Layup - blocked,"[1628389, 202685]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,3.57,Missed,,,,,,,,,,,,,Valanciunas,202685.0,,
39,PT08M47.00S,2022-02-11T00:45:25.8Z,1,REGULAR,block,,[],202685,,,1610612748,6,10,2022-02-11T00:45:28Z,390000,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M43.00S,2022-02-11T00:45:29.8Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612740,6,10,2022-02-11T00:45:30Z,400000,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,
41,PT08M41.00S,2022-02-11T00:45:31.8Z,1,REGULAR,3pt,Jump Shot,[],1628984,75.77201051248358,86.51960784313727,1610612740,6,10,2022-02-11T01:42:48Z,410000,183.0,175.0,1,right,MISS D. Graham 25' running pullup 3PT,[1628984],1610612740.0,NOP,running pullup,,,Graham,D. Graham,,,,,,,25.31,Missed,,,,,,,,,,,,,,,,
