actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-26T21:10:30.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-26T21:10:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-26T21:10:32.5Z,1,REGULAR,jumpball,recovered,[],1630563,,,1610612759,0,0,2022-03-26T21:10:32Z,40000,,,0,,Jump Ball J. Poeltl vs. J. Valanciunas: Tip to J. Primo,"[1630563, 1627751, 202685]",1610612759.0,SAS,startperiod,J. Primo,1630563.0,Primo,J. Primo,Poeltl,1627751.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-03-26T21:10:54.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626196,18.74178712220762,46.568627450980394,1610612759,0,0,2022-03-26T21:11:19Z,70000,17.0,124.0,1,left,MISS J. Richardson 12' driving floating Shot,[1626196],1610612759.0,SAS,driving floating,,,Richardson,J. Richardson,,,,,12.49,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2022-03-26T21:10:58.1Z,1,REGULAR,rebound,offensive,[],1626196,,,1610612759,0,0,2022-03-26T21:10:59Z,80000,,,0,,J. Richardson REBOUND (Off:1 Def:0),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M32.00S,2022-03-26T21:11:01.1Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612759,0,0,2022-03-26T21:11:28Z,90000,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Primo 2 FT),"[202685, 1630563]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,,,,,,,202056.0,1.0,0.0,Primo,1630563.0,,,,,,,,,,
11,PT11M32.00S,2022-03-26T21:11:28.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630563,,,1610612759,0,1,2022-03-26T21:11:54Z,110000,,,0,,J. Primo Free Throw 1 of 2 (1 PTS),[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
12,PT11M32.00S,2022-03-26T21:11:28.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630563,,,1610612759,0,1,2022-03-26T21:11:54Z,120000,,,0,,MISS J. Primo Free Throw 2 of 2,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M30.00S,2022-03-26T21:11:30.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,1,2022-03-26T21:11:54Z,130000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT11M14.00S,2022-03-26T21:11:58.8Z,1,REGULAR,3pt,Jump Shot,[],1630529,94.82588699080158,3.9215686274509802,1610612740,0,1,2022-03-26T21:12:03Z,140000,-230.0,-4.0,1,right,MISS H. Jones 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,23.04,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M10.00S,2022-03-26T21:12:02.8Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,1,2022-03-26T21:12:03Z,150000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
