actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-25T01:10:28.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-25T01:10:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2021-11-25T01:10:36.4Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612740,0,0,2021-11-25T01:10:36Z,40000,,,0,,Jump Ball J. Valanciunas vs. D. Gafford: Tip to J. Hart,"[1628404, 202685, 1629655]",1610612740.0,NOP,startperiod,J. Hart,1628404.0,Hart,J. Hart,Valanciunas,202685.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-11-25T01:10:44.3Z,1,REGULAR,3pt,Jump Shot,[],202685,67.23061760840999,54.65686274509803,1610612740,3,0,2021-11-25T01:10:49Z,70000,23.0,256.0,1,right,J. Valanciunas 25' 3PT  (3 PTS) (B. Ingram 1 AST),"[202685, 1627742]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,25.66,Made,3.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2021-11-25T01:11:03.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,5.338370565045992,46.07843137254902,1610612764,3,2,2021-11-25T01:11:11Z,90000,20.0,-2.0,1,left,B. Beal driving finger roll Layup (2 PTS) (D. Gafford 1 AST),"[203078, 1629655]",1610612764.0,WAS,driving finger roll,,,Beal,B. Beal,,,,,1.97,Made,2.0,D. Gafford,1629655.0,1.0,,,,,,,,,,,,,,,
11,PT11M17.00S,2021-11-25T01:11:13.7Z,1,REGULAR,foul,personal,['2freethrow'],203078,,,1610612740,3,2,2021-11-25T01:11:24Z,110000,,,0,,B. Beal shooting personal FOUL (1 PF) (Valanciunas 2 FT),"[203078, 202685]",1610612764.0,WAS,shooting,,,Beal,B. Beal,,,,,,,,,,,203592.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,,,
13,PT11M17.00S,2021-11-25T01:11:38.2Z,1,REGULAR,freethrow,1 of 2,[],202685,,,1610612740,4,2,2021-11-25T01:11:38Z,130000,,,0,,J. Valanciunas Free Throw 1 of 2 (4 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2021-11-25T01:11:54.5Z,1,REGULAR,freethrow,2 of 2,[],202685,,,1610612740,5,2,2021-11-25T01:11:54Z,140000,,,0,,J. Valanciunas Free Throw 2 of 2 (5 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
15,PT10M54.00S,2021-11-25T01:12:18.3Z,1,REGULAR,2pt,Jump Shot,[],1629655,19.92444152431012,24.509803921568626,1610612764,5,2,2021-11-25T01:12:41Z,150000,127.0,135.0,1,left,MISS D. Gafford 18' Jump Shot,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,18.55,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2021-11-25T01:12:20.3Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,5,2,2021-11-25T01:12:25Z,160000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,
17,PT10M44.00S,2021-11-25T01:12:27.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,94.03745072273325,53.431372549019606,1610612740,5,2,2021-11-25T01:12:34Z,170000,17.0,4.0,1,right,MISS J. Valanciunas Layup - blocked,"[202685, 1629655]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,1.76,Missed,,,,,,,,,,,,,,Gafford,1629655.0,,,,
