actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-30T23:10:23.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-30T23:10:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-30T23:10:26.7Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612752,0,0,2021-10-30T23:10:26Z,40000,,,0,,Jump Ball M. Robinson vs. J. Valanciunas: Tip to K. Walker,"[202689, 1629011, 202685]",1610612752.0,NYK,startperiod,K. Walker,202689.0,Walker,K. Walker,Robinson,1629011.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-10-30T23:10:37.8Z,1,REGULAR,3pt,Jump Shot,[],202689,29.77989487516426,26.225490196078432,1610612752,0,3,2021-10-30T23:10:43Z,70000,119.0,227.0,1,left,K. Walker 25' 3PT  (3 PTS),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,25.66,Made,3.0,,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2021-10-30T23:11:05.8Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612740,0,3,2021-10-30T23:11:13Z,80000,,,0,,M. Robinson shooting personal FOUL (1 PF) (Valanciunas 2 FT),"[1629011, 202685]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,,,,204058.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,,,,,,
10,PT11M20.00S,2021-10-30T23:11:34.0Z,1,REGULAR,freethrow,1 of 2,[],202685,,,1610612740,0,3,2021-10-30T23:11:34Z,100000,,,0,,MISS J. Valanciunas Free Throw 1 of 2,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2021-10-30T23:11:34.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,0,3,2021-10-30T23:11:34Z,110000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,
12,PT11M20.00S,2021-10-30T23:11:52.3Z,1,REGULAR,freethrow,2 of 2,[],202685,,,1610612740,1,3,2021-10-30T23:11:52Z,120000,,,0,,J. Valanciunas Free Throw 2 of 2 (1 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2021-10-30T23:12:11.5Z,1,REGULAR,3pt,Jump Shot,[],203095,17.296320630749015,95.83333333333334,1610612752,1,6,2021-10-30T23:12:16Z,130000,-229.0,110.0,1,left,E. Fournier 25' 3PT  (3 PTS) (K. Walker 1 AST),"[203095, 202689]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,25.43,Made,3.0,,,,,,,K. Walker,202689.0,1.0,,,,,,,,,
15,PT10M53.00S,2021-10-30T23:12:20.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,93.64323258869908,51.470588235294116,1610612740,3,6,2021-10-30T23:12:27Z,150000,7.0,7.0,1,right,J. Hart driving Layup (2 PTS),[1628404],1610612740.0,NOP,driving,,,Hart,J. Hart,,,,,1.04,Made,2.0,,,,,,,,,,,,,,,,,,
16,PT10M44.00S,2021-10-30T23:12:30.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,12.434296977660972,46.81372549019608,1610612752,3,8,2021-10-30T23:12:37Z,160000,16.0,64.0,1,left,R. Barrett 6' running pullup Jump Shot (2 PTS) (J. Randle 1 AST),"[1629628, 203944]",1610612752.0,NYK,running pullup,,,Barrett,R. Barrett,,,,,6.63,Made,2.0,,,,,,,J. Randle,203944.0,1.0,,,,,,,,,
