actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-25T00:10:31.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-25T00:10:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-03-25T00:10:36.0Z,1,REGULAR,jumpball,recovered,[],203897,,,1610612741,0,0,2022-03-25T00:10:36Z,40000,,,0,,Jump Ball N. Vucevic vs. J. Valanciunas: Tip to Z. LaVine,"[203897, 202696, 202685]",1610612741.0,CHI,startperiod,Z. LaVine,203897.0,LaVine,Z. LaVine,Vucevic,202696.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-03-25T00:10:50.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,91.5407358738502,37.745098039215684,1610612741,0,2,2022-03-25T00:10:58Z,70000,-61.0,27.0,1,right,N. Vucevic 6' turnaround Hook (2 PTS),[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,6.7,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M17.00S,2022-03-25T00:11:13.1Z,1,REGULAR,3pt,Jump Shot,[],202685,32.14520367936925,63.970588235294116,1610612740,0,2,2022-03-25T00:11:19Z,80000,-70.0,250.0,1,left,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,25.93,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M14.00S,2022-03-25T00:11:16.1Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,0,2,2022-03-25T00:11:19Z,90000,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M10.00S,2022-03-25T00:11:20.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630245,89.30683311432325,52.20588235294118,1610612741,0,2,2022-03-25T00:12:32Z,100000,11.0,48.0,1,right,MISS A. Dosunmu running pullup Shot,[1630245],1610612741.0,CHI,running pullup,,,Dosunmu,A. Dosunmu,,,,,4.92,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M05.00S,2022-03-25T00:11:25.2Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612740,0,2,2022-03-25T00:11:40Z,110000,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M55.00S,2022-03-25T00:11:34.6Z,1,REGULAR,3pt,Jump Shot,[],203468,30.962549277266753,71.32352941176471,1610612740,0,2,2022-03-25T00:13:18Z,120000,-107.0,239.0,1,left,MISS C. McCollum 26' pullup 3PT,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,26.12,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2022-03-25T00:11:38.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,2,2022-03-25T00:11:43Z,130000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M37.00S,2022-03-25T00:11:53.0Z,1,REGULAR,2pt,Jump Shot,[],202696,76.82325886990802,27.205882352941174,1610612741,0,2,2022-03-25T00:11:57Z,140000,-114.0,165.0,1,right,MISS N. Vucevic 20' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,20.09,Missed,,,,,,,,,,,,,,,,,,,
