actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-13T01:10:54.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-13T01:10:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-13T01:10:57.4Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612740,0,0,2021-11-13T01:10:57Z,40000,,,0,,Jump Ball J. Valanciunas vs. B. Griffin: Tip to J. Hart,"[1628404, 202685, 201933]",1610612740.0,NOP,startperiod,J. Hart,1628404.0,Hart,J. Hart,Valanciunas,202685.0,Griffin,201933.0,,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-11-13T01:11:11.3Z,1,REGULAR,foul,offensive,[],1629638,,,1610612740,0,0,2021-11-13T01:12:57Z,80000,,,0,,N. Alexander-Walker charge offensive FOUL (1 PF),"[1629638, 201933]",1610612740.0,NOP,charge,,,Alexander-Walker,N. Alexander-Walker,,,,,1627963.0,1.0,0.0,Griffin,201933.0,,,,,,,,,,,,,,,
10,PT11M45.00S,2021-11-13T01:11:11.3Z,1,REGULAR,turnover,offensive foul,[],1629638,,,1610612740,0,0,2021-11-13T01:11:11Z,100000,,,0,,N. Alexander-Walker offensive foul TURNOVER (1 TO),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,1627963.0,,,,,1.0,,,,,,,,,,,,,,
11,PT11M33.00S,2021-11-13T01:11:36.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203925,26.363337713534822,14.705882352941178,1610612751,0,3,2021-11-13T01:11:43Z,110000,176.0,195.0,1,left,J. Harris 26' 3PT  (3 PTS) (K. Durant 1 AST),"[203925, 201142]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,26.32,Made,3.0,K. Durant,201142.0,1.0,,,,,,,,
13,PT11M13.00S,2021-11-13T01:11:57.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,90.22667542706965,55.14705882352941,1610612740,0,3,2021-11-13T01:12:06Z,130000,26.0,39.0,1,right,MISS J. Valanciunas turnaround Shot,[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,,,,,,,4.7,Missed,,,,,,,,,,,,
14,PT11M09.00S,2021-11-13T01:12:01.2Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,0,3,2021-11-13T01:12:06Z,140000,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,
15,PT11M06.00S,2021-11-13T01:12:07.5Z,1,REGULAR,foul,personal,[],1629638,,,1610612751,0,3,2021-11-13T01:12:41Z,150000,,,0,,N. Alexander-Walker personal FOUL (2 PF),"[1629638, 1628971]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,1627963.0,2.0,0.0,Brown,1628971.0,,,,,,,,,,,,,,,
17,PT11M06.00S,2021-11-13T01:12:21.1Z,1,REGULAR,substitution,out,[],1629638,,,1610612751,0,3,2021-11-13T01:12:25Z,170000,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,
18,PT11M06.00S,2021-11-13T01:12:21.1Z,1,REGULAR,substitution,in,[],1630529,,,1610612751,0,3,2021-11-13T01:12:25Z,180000,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M53.00S,2021-11-13T01:12:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,8.492115637319317,53.431372549019606,1610612751,0,3,2021-11-13T01:13:58Z,190000,-17.0,27.0,1,left,MISS B. Brown driving reverse Layup,[1628971],1610612751.0,BKN,driving reverse,,,Brown,B. Brown,,,,,,,,,,,3.23,Missed,,,,,,,,,,,,
20,PT10M50.00S,2021-11-13T01:12:47.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,3,2021-11-13T01:13:00Z,200000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,
21,PT10M46.00S,2021-11-13T01:12:51.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202685,67.09921156373193,33.33333333333333,1610612740,0,3,2021-11-13T01:13:15Z,210000,-83.0,257.0,1,right,MISS J. Valanciunas 27' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,27.0,Missed,,,,,,,,,,,,
22,PT10M42.00S,2021-11-13T01:12:55.3Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,0,3,2021-11-13T01:13:15Z,220000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,
23,PT10M37.00S,2021-11-13T01:13:00.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201935,26.62614980289093,85.29411764705883,1610612751,0,3,2021-11-13T01:14:22Z,230000,-176.0,198.0,1,left,MISS J. Harden 26' pullup 3PT,[201935],1610612751.0,BKN,pullup,,,Harden,J. Harden,,,,,,,,,,,26.51,Missed,,,,,,,,,,,,
24,PT10M32.00S,2021-11-13T01:13:05.1Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612740,0,3,2021-11-13T01:13:25Z,240000,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,
25,PT10M30.00S,2021-11-13T01:13:06.9Z,1,REGULAR,3pt,Jump Shot,[],1628984,69.33311432325887,24.754901960784316,1610612740,3,3,2021-11-13T01:14:42Z,250000,-126.0,236.0,1,right,D. Graham 26' 3PT pullup (3 PTS),[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,,,,,,,26.74,Made,3.0,,,,,,,,,,,
26,PT10M16.00S,2021-11-13T01:13:20.7Z,1,REGULAR,2pt,Jump Shot,[],201142,16.507884362680684,19.852941176470587,1610612751,3,5,2021-11-13T01:13:46Z,260000,151.0,103.0,1,left,K. Durant 18' Jump Shot (2 PTS) (J. Harden 1 AST),"[201142, 201935]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,18.24,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,
28,PT10M05.00S,2021-11-13T01:13:32.6Z,1,REGULAR,turnover,bad pass,[],1628984,,,1610612740,3,5,2021-11-13T01:15:14Z,280000,,,0,,D. Graham bad pass TURNOVER (1 TO),"[1628984, 203925]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,1.0,,,,,,,,,,,Harris,203925.0,,
29,PT10M05.00S,2021-11-13T01:13:32.6Z,1,REGULAR,steal,,[],203925,,,1610612751,3,5,2021-11-13T01:13:36Z,290000,,,0,,J. Harris STEAL (1 STL),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M59.00S,2021-11-13T01:13:38.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201935,5.732588699080158,54.90196078431373,1610612751,3,7,2021-11-13T01:15:53Z,300000,-25.0,1.0,1,left,J. Harden running Layup (2 PTS),[201935],1610612751.0,BKN,running,,,Harden,J. Harden,,,,,,,,,,,2.45,Made,2.0,,,,,,,,,,,
31,PT09M47.00S,2021-11-13T01:13:50.6Z,1,REGULAR,2pt,Jump Shot,[],202685,91.27792378449409,20.098039215686274,1610612740,5,7,2021-11-13T01:14:03Z,310000,-150.0,29.0,1,right,J. Valanciunas 15' Jump Shot (2 PTS) (D. Graham 1 AST),"[202685, 1628984]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,15.24,Made,2.0,D. Graham,1628984.0,1.0,,,,,,,,
33,PT09M30.00S,2021-11-13T01:14:07.2Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,5,7,2021-11-13T01:14:12Z,330000,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1628984]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,1.0,,,,,,,,,,,Graham,1628984.0,,
34,PT09M30.00S,2021-11-13T01:14:07.2Z,1,REGULAR,steal,,[],1628984,,,1610612740,5,7,2021-11-13T01:14:10Z,340000,,,0,,D. Graham STEAL (1 STL),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M27.00S,2021-11-13T01:14:30.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630529,88.25558475689881,37.254901960784316,1610612740,5,7,2021-11-13T01:18:43Z,350000,-64.0,58.0,1,right,MISS H. Jones 8' alley-oop Layup,[1630529],1610612740.0,NOP,alley-oop,,,Jones,H. Jones,,,,,,,,,,,8.61,Missed,,,,,,,,,,,,
36,PT09M26.00S,2021-11-13T01:14:31.1Z,1,REGULAR,rebound,offensive,[],1628984,,,1610612740,5,7,2021-11-13T01:18:43Z,360000,,,0,,D. Graham REBOUND (Off:1 Def:1),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,35.0,2.0,1.0,1.0,,,,
66,PT09M07.00S,2021-11-13T01:14:36.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628984,88.30486202365309,63.70251225490196,1610612740,5,7,2021-11-13T01:19:27Z,365000,69.0,57.0,1,right,MISS D. Graham 8' driving floating Shot,[1628984],1610612740.0,NOP,driving floating,,,Graham,D. Graham,,,,,,,,,,,8.94,Missed,,,,,,,,,,,,
67,PT09M07.00S,2021-11-13T01:14:36.6Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,5,7,2021-11-13T01:20:52Z,367500,,,0,,B. Griffin REBOUND (Off:0 Def:2),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,66.0,2.0,2.0,0.0,,,,
37,PT08M54.00S,2021-11-13T01:14:43.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201933,6.915243101182654,56.127450980392155,1610612751,5,7,2021-11-13T01:14:52Z,370000,-31.0,13.0,1,left,MISS B. Griffin Layup,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,3.31,Missed,,,,,,,,,,,,
38,PT08M50.00S,2021-11-13T01:14:47.2Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,5,7,2021-11-13T01:14:52Z,380000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,
39,PT08M45.00S,2021-11-13T01:14:51.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,88.12417871222075,40.931372549019606,1610612740,5,7,2021-11-13T01:14:58Z,390000,-45.0,59.0,1,right,MISS J. Hart 7' driving Layup,[1628404],1610612740.0,NOP,driving,,,Hart,J. Hart,,,,,,,,,,,7.45,Missed,,,,,,,,,,,,
40,PT08M44.00S,2021-11-13T01:14:57.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,5,7,2021-11-13T01:14:57Z,400000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,
41,PT08M39.00S,2021-11-13T01:15:14.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628984,82.21090670170827,49.754901960784316,1610612740,5,7,2021-11-13T01:21:32Z,410000,-1.0,115.0,1,right,MISS D. Graham 11' floating Shot,[1628984],1610612740.0,NOP,floating,,,Graham,D. Graham,,,,,,,,,,,11.47,Missed,,,,,,,,,,,,
42,PT08M37.00S,2021-11-13T01:15:16.2Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,5,7,2021-11-13T01:15:29Z,420000,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,41.0,2.0,1.0,1.0,,,,
43,PT08M33.00S,2021-11-13T01:15:20.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,92.9862023653088,52.69607843137255,1610612740,7,7,2021-11-13T01:21:53Z,430000,13.0,13.0,1,right,J. Valanciunas Layup (4 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,1.9,Made,4.0,,,,,,,,,,,
44,PT08M27.00S,2021-11-13T01:15:26.7Z,1,REGULAR,3pt,Jump Shot,[],203925,28.203022339027594,81.37254901960785,1610612751,7,10,2021-11-13T01:15:39Z,440000,-157.0,213.0,1,left,J. Harris 26' 3PT  (6 PTS) (J. Harden 2 AST),"[203925, 201935]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,26.42,Made,6.0,J. Harden,201935.0,2.0,,,,,,,,
46,PT08M16.00S,2021-11-13T01:15:37.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630529,92.32917214191852,54.65686274509803,1610612740,9,10,2021-11-13T01:15:46Z,460000,23.0,20.0,1,right,H. Jones reverse Layup (2 PTS) (J. Hart 1 AST),"[1630529, 1628404]",1610612740.0,NOP,reverse,,,Jones,H. Jones,,,,,,,,,,,3.04,Made,2.0,J. Hart,1628404.0,1.0,,,,,,,,
48,PT08M03.00S,2021-11-13T01:15:51.8Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,9,10,2021-11-13T01:22:40Z,480000,,,0,,J. Harden bad pass TURNOVER (2 TO),"[201935, 1628984]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,2.0,,,,,,,,,,,Graham,1628984.0,,
49,PT08M03.00S,2021-11-13T01:15:51.8Z,1,REGULAR,steal,,[],1628984,,,1610612740,9,10,2021-11-13T01:15:55Z,490000,,,0,,D. Graham STEAL (2 STL),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M02.00S,2021-11-13T01:15:59.5Z,1,REGULAR,foul,personal,[],201935,,,1610612740,9,10,2021-11-13T01:22:55Z,500000,,,0,,J. Harden take personal FOUL (1 PF),"[201935, 202066]",1610612751.0,BKN,take,,,Harden,J. Harden,,,,,1199.0,1.0,0.0,Temple,202066.0,,,,,,,,,,,,,,,
52,PT07M49.00S,2021-11-13T01:16:20.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630529,69.20170827858082,76.7156862745098,1610612740,12,10,2021-11-13T01:16:27Z,520000,134.0,237.0,1,right,H. Jones 27' 3PT  (5 PTS) (J. Hart 2 AST),"[1630529, 1628404]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,27.21,Made,5.0,J. Hart,1628404.0,2.0,,,,,,,,
54,PT07M31.00S,2021-11-13T01:16:38.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,17.821944809461236,35.78431372549019,1610612751,12,10,2021-11-13T01:16:48Z,540000,71.0,115.0,1,left,MISS K. Durant 13' pullup Shot,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,,,,,,,13.52,Missed,,,,,,,,,,,,
55,PT07M29.00S,2021-11-13T01:16:41.0Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,12,10,2021-11-13T01:16:41Z,550000,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,54.0,3.0,2.0,1.0,,,,
56,PT07M26.00S,2021-11-13T01:16:44.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202066,70.51576872536137,19.852941176470587,1610612740,15,10,2021-11-13T01:23:54Z,560000,-151.0,225.0,1,right,G. Temple 27' 3PT pullup (3 PTS),[202066],1610612740.0,NOP,pullup,,,Temple,G. Temple,,,,,,,,,,,27.06,Made,3.0,,,,,,,,,,,
57,PT07M13.00S,2021-11-13T01:16:57.0Z,1,REGULAR,3pt,Jump Shot,[],203925,28.465834428383708,77.45098039215686,1610612751,15,13,2021-11-13T01:17:04Z,570000,-137.0,215.0,1,left,J. Harris 25' 3PT  (9 PTS) (J. Harden 3 AST),"[203925, 201935]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,25.52,Made,9.0,J. Harden,201935.0,3.0,,,,,,,,
59,PT06M57.00S,2021-11-13T01:17:12.9Z,1,REGULAR,2pt,Jump Shot,[],202685,90.88370565045992,75.49019607843137,1610612740,17,13,2021-11-13T01:17:18Z,590000,127.0,33.0,1,right,J. Valanciunas 13' Jump Shot (6 PTS) (D. Graham 2 AST),"[202685, 1628984]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,13.18,Made,6.0,D. Graham,1628984.0,2.0,,,,,,,,
61,PT06M45.00S,2021-11-13T01:17:25.5Z,1,REGULAR,3pt,Jump Shot,[],201935,3.630091984231275,96.81372549019608,1610612751,17,13,2021-11-13T01:24:56Z,610000,-234.0,-18.0,1,left,MISS J. Harden step back 3PT,[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,,,,,,,23.48,Missed,,,,,,,,,,,,
62,PT06M41.00S,2021-11-13T01:17:29.2Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612751,17,13,2021-11-13T01:17:29Z,620000,,,0,,B. Brown REBOUND (Off:1 Def:0),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,61.0,1.0,0.0,1.0,,,,
64,PT06M39.00S,2021-11-13T01:17:32.2Z,1,REGULAR,turnover,traveling,[],201935,,,1610612751,17,13,2021-11-13T01:25:35Z,640000,,,0,,J. Harden traveling TURNOVER (3 TO),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,1199.0,,,,,3.0,,,,,,,,,,,,,,
65,PT06M39.00S,2021-11-13T01:17:52.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,17,13,2021-11-13T01:17:52Z,650000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
