actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
16,PT10M18.00S,2021-11-20T01:12:06.4Z,1,REGULAR,turnover,lost ball,[],203107,,,1610612740,0,4,2021-11-20T01:12:12Z,160000,,,0,,T. Satoransky lost ball TURNOVER (1 TO),"[203107, 202339]",1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,1.0,Bledsoe,202339.0,,,,,,,,,,
17,PT10M18.00S,2021-11-20T01:12:06.4Z,1,REGULAR,steal,,[],202339,,,1610612746,0,4,2021-11-20T01:12:10Z,170000,,,0,,E. Bledsoe STEAL (1 STL),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M10.00S,2021-11-20T01:12:13.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202331,93.51182654402102,46.568627450980394,1610612746,0,4,2021-11-20T01:14:23Z,180000,-17.0,8.0,1,right,MISS P. George driving Layup,[202331],1610612746.0,LAC,driving,,,George,P. George,,,,,1.92,Missed,,,,,,,,,,,,,,,,,,
19,PT10M09.00S,2021-11-20T01:12:14.5Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612740,0,4,2021-11-20T02:47:20Z,190000,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT09M59.00S,2021-11-20T01:12:25.8Z,1,REGULAR,3pt,Jump Shot,[],1629638,26.757555847568987,15.931372549019606,1610612740,3,4,2021-11-20T01:12:31Z,200000,170.0,199.0,1,left,N. Alexander-Walker 26' 3PT pullup (3 PTS) (B. Ingram 1 AST),"[1629638, 1627742]",1610612740.0,NOP,pullup,,,Alexander-Walker,N. Alexander-Walker,,,,,26.19,Made,3.0,,,,,,,,B. Ingram,1627742.0,1.0,,,,,,,
22,PT09M45.00S,2021-11-20T01:12:38.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,93.24901445466492,46.07843137254902,1610612746,3,4,2021-11-20T01:12:44Z,220000,-20.0,11.0,1,right,MISS R. Jackson driving Layup,[202704],1610612746.0,LAC,driving,,,Jackson,R. Jackson,,,,,2.25,Missed,,,,,,,,,,,,,,,,,,
23,PT09M43.00S,2021-11-20T01:12:40.9Z,1,REGULAR,rebound,defensive,[],203107,,,1610612740,3,4,2021-11-20T01:12:44Z,230000,,,0,,T. Satoransky REBOUND (Off:0 Def:1),[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT09M35.00S,2021-11-20T01:12:48.7Z,1,REGULAR,3pt,Jump Shot,[],1629638,6.915243101182654,98.0392156862745,1610612740,6,4,2021-11-20T01:12:55Z,240000,-240.0,13.0,1,left,N. Alexander-Walker 24' 3PT  (6 PTS) (T. Satoransky 1 AST),"[1629638, 203107]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,24.05,Made,6.0,,,,,,,,T. Satoransky,203107.0,1.0,,,,,,,
26,PT09M24.00S,2021-11-20T01:13:09.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,81.15965834428384,64.2156862745098,1610612746,6,6,2021-11-20T01:13:14Z,260000,71.0,125.0,1,right,P. George 14' pullup Jump Shot (4 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,14.35,Made,4.0,,,,,,,,,,,,,,,,,
27,PT09M09.00S,2021-11-20T01:13:23.5Z,1,REGULAR,3pt,Jump Shot,[],1627742,21.50131406044678,91.42156862745098,1610612740,6,6,2021-11-20T01:13:50Z,270000,-207.0,150.0,1,left,MISS B. Ingram 25' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,25.55,Missed,,,,,,,,,,,,,,,,,,
28,PT09M05.00S,2021-11-20T01:13:27.5Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,6,6,2021-11-20T01:13:50Z,280000,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,27.0,1.0,0.0,1.0,,,,,,,,,,,,,
29,PT09M00.00S,2021-11-20T01:14:05.1Z,1,REGULAR,jumpball,recovered,[],202685,,,1610612740,6,6,2021-11-20T01:14:05Z,290000,,,0,,Jump Ball J. Valanciunas vs. I. Zubac: Tip to J. Valanciunas,"[202685, 202685, 1627826]",1610612740.0,NOP,heldball,J. Valanciunas,202685.0,Valanciunas,J. Valanciunas,Valanciunas,202685.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,
129,PT09M00.00S,2021-11-20T01:14:19.9Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612740,6,6,2021-11-20T01:30:43Z,315000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT08M54.00S,2021-11-20T01:14:34.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627742,7.5722733245729295,41.17647058823529,1610612740,6,6,2021-11-20T01:14:39Z,320000,44.0,19.0,1,left,MISS B. Ingram driving Layup,[1627742],1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,4.79,Missed,,,,,,,,,,,,,,,,,,
33,PT08M51.00S,2021-11-20T01:14:37.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,6,6,2021-11-20T01:14:39Z,330000,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,,,,,
34,PT08M41.00S,2021-11-20T01:14:49.6Z,1,REGULAR,turnover,out-of-bounds,[],202704,,,1610612746,6,6,2021-11-20T01:14:57Z,340000,,,0,,R. Jackson lost ball out-of-bounds TURNOVER (1 TO),[202704],1610612746.0,LAC,lost ball,,,Jackson,R. Jackson,,,,,,,,,,,,1.0,,,,,,1627529.0,,,,,,
35,PT08M29.00S,2021-11-20T01:15:10.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203107,5.995400788436268,42.40196078431372,1610612740,6,6,2021-11-20T01:15:16Z,350000,38.0,4.0,1,left,MISS T. Satoransky driving Layup,[203107],1610612740.0,NOP,driving,,,Satoransky,T. Satoransky,,,,,3.82,Missed,,,,,,,,,,,,,,,,,,
36,PT08M27.00S,2021-11-20T01:15:12.6Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,6,6,2021-11-20T01:15:16Z,360000,,,0,,P. George REBOUND (Off:0 Def:2),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,,,,,,
37,PT08M22.00S,2021-11-20T01:15:17.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201587,93.9060446780552,47.794117647058826,1610612746,6,8,2021-11-20T01:15:24Z,370000,-11.0,5.0,1,right,N. Batum cutting Layup (2 PTS) (P. George 1 AST),"[201587, 202331]",1610612746.0,LAC,cutting,,,Batum,N. Batum,,,,,1.2,Made,2.0,,,,,,,,P. George,202331.0,1.0,,,,,,,
39,PT08M10.00S,2021-11-20T01:15:29.1Z,1,REGULAR,3pt,Jump Shot,[],202685,29.122864651773984,24.509803921568626,1610612740,6,8,2021-11-20T01:15:35Z,390000,127.0,221.0,1,left,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,25.54,Missed,,,,,,,,,,,,,,,,,,
40,PT08M08.00S,2021-11-20T01:15:31.1Z,1,REGULAR,rebound,defensive,[],202339,,,1610612746,6,8,2021-11-20T01:15:35Z,400000,,,0,,E. Bledsoe REBOUND (Off:0 Def:1),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,
41,PT08M00.00S,2021-11-20T01:15:39.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627826,87.99277266754271,50.245098039215684,1610612746,6,10,2021-11-20T01:15:47Z,410000,1.0,60.0,1,right,I. Zubac 6' Jump Shot (2 PTS) (E. Bledsoe 1 AST),"[1627826, 202339]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,6.04,Made,2.0,,,,,,,,E. Bledsoe,202339.0,1.0,,,,,,,
43,PT07M50.00S,2021-11-20T01:15:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,4.812746386333772,47.549019607843135,1610612740,6,10,2021-11-20T01:21:34Z,430000,12.0,-7.0,1,left,MISS J. Hart driving Layup,[1628404],1610612740.0,NOP,driving,,,Hart,J. Hart,,,,,1.43,Missed,,,,,,,,,,,,,,,,,,
44,PT07M47.00S,2021-11-20T01:15:52.8Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,6,10,2021-11-20T01:15:56Z,440000,,,0,,I. Zubac REBOUND (Off:0 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,43.0,3.0,3.0,0.0,,,,,,,,,,,,,
45,PT07M42.00S,2021-11-20T01:16:01.1Z,1,REGULAR,foul,personal,[],203107,,,1610612746,6,10,2021-11-20T01:16:13Z,450000,,,0,,T. Satoransky personal FOUL (1 PF),"[203107, 202704]",1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Jackson,202704.0,,
47,PT07M36.00S,2021-11-20T01:16:20.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,80.50262812089356,60.78431372549019,1610612746,6,12,2021-11-20T01:16:25Z,470000,54.0,131.0,1,right,P. George 14' pullup Jump Shot (6 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,14.15,Made,6.0,,,,,,,,,,,,,,,,,
48,PT07M17.00S,2021-11-20T01:16:39.7Z,1,REGULAR,2pt,Jump Shot,[],1628404,22.026938239159,47.05882352941176,1610612740,6,12,2021-11-20T01:16:46Z,480000,15.0,155.0,1,left,MISS J. Hart 15' pullup Shot,[1628404],1610612740.0,NOP,pullup,,,Hart,J. Hart,,,,,15.53,Missed,,,,,,,,,,,,,,,,,,
49,PT07M14.00S,2021-11-20T01:16:42.7Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,6,12,2021-11-20T01:16:46Z,490000,,,0,,P. George REBOUND (Off:0 Def:3),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,48.0,3.0,3.0,0.0,,,,,,,,,,,,,
50,PT07M07.00S,2021-11-20T01:16:53.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202339,94.56307490144546,54.41176470588235,1610612746,6,14,2021-11-20T01:17:01Z,500000,22.0,-1.0,1,right,E. Bledsoe Layup (4 PTS),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,2.21,Made,4.0,,,,,,,,,,,,,,,,,
51,PT07M07.00S,2021-11-20T01:16:56.3Z,1,REGULAR,foul,personal,['1freethrow'],1628404,,,1610612746,6,14,2021-11-20T01:17:03Z,510000,,,0,,J. Hart shooting personal FOUL (1 PF) (Bledsoe 1 FT),"[1628404, 202339]",1610612740.0,NOP,shooting,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,1627529.0,1.0,0.0,Bledsoe,202339.0,,
53,PT07M07.00S,2021-11-20T01:17:19.9Z,1,REGULAR,freethrow,1 of 1,[],202339,,,1610612746,6,15,2021-11-20T01:17:19Z,530000,,,0,,E. Bledsoe Free Throw 1 of 1 (5 PTS),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
54,PT06M54.00S,2021-11-20T01:17:38.6Z,1,REGULAR,foul,personal,[],201587,,,1610612740,6,15,2021-11-20T01:17:46Z,540000,,,0,,N. Batum personal FOUL (1 PF),"[201587, 1628404]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,1198.0,1.0,0.0,Hart,1628404.0,,
56,PT06M54.00S,2021-11-20T01:17:49.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,6,15,2021-11-20T01:17:49Z,560000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M54.00S,2021-11-20T01:20:25.8Z,1,REGULAR,substitution,out,[],1629638,,,1610612740,6,15,2021-11-20T01:20:29Z,570000,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M54.00S,2021-11-20T01:20:25.8Z,1,REGULAR,substitution,in,[],1630529,,,1610612740,6,15,2021-11-20T01:20:29Z,580000,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M43.00S,2021-11-20T01:20:46.3Z,1,REGULAR,turnover,lost ball,[],1630529,,,1610612740,6,15,2021-11-20T01:20:50Z,590000,,,0,,H. Jones lost ball TURNOVER (1 TO),"[1630529, 202339]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,1.0,Bledsoe,202339.0,,,,,,,,,,
61,PT06M43.00S,2021-11-20T01:20:46.3Z,1,REGULAR,steal,,[],202339,,,1610612746,6,15,2021-11-20T01:20:48Z,600000,,,0,,E. Bledsoe STEAL (2 STL),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M39.00S,2021-11-20T01:20:50.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202339,74.32654402102497,87.25490196078431,1610612746,6,15,2021-11-20T01:20:55Z,610000,186.0,189.0,1,right,MISS E. Bledsoe 26' 3PT,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,
63,PT06M36.00S,2021-11-20T01:20:53.2Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,6,15,2021-11-20T01:20:53Z,620000,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,62.0,2.0,2.0,0.0,,,,,,,,,,,,,
64,PT06M28.00S,2021-11-20T01:21:01.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,8.360709592641262,49.01960784313725,1610612740,6,15,2021-11-20T01:21:09Z,630000,5.0,26.0,1,left,MISS B. Ingram driving finger roll Layup - blocked,"[1627742, 1627826]",1610612740.0,NOP,driving finger roll,,,Ingram,B. Ingram,,,,,2.66,Missed,,,,,,,,,,,,,,,,,Zubac,1627826.0
65,PT06M28.00S,2021-11-20T01:21:01.4Z,1,REGULAR,block,,[],1627826,,,1610612740,6,15,2021-11-20T01:21:04Z,640000,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M21.00S,2021-11-20T01:21:08.4Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,6,15,2021-11-20T01:21:09Z,650000,,,0,,J. Valanciunas REBOUND (Off:2 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,64.0,2.0,0.0,2.0,,,,,,,,,,,,,
67,PT06M21.00S,2021-11-20T01:21:07.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,5.590000152587891,50.0,1610612740,8,15,2021-11-20T01:21:07Z,660000,0.0,0.0,1,left,J. Valanciunas putback Layup (2 PTS),[202685],1610612740.0,NOP,putback,,,Valanciunas,J. Valanciunas,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,
68,PT06M09.00S,2021-11-20T01:21:24.6Z,1,REGULAR,foul,personal,['3freethrow'],1627742,,,1610612746,8,15,2021-11-20T01:21:34Z,670000,,,0,,B. Ingram shooting personal FOUL (1 PF) (Batum 3 FT),"[1627742, 201587]",1610612740.0,NOP,shooting,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Batum,201587.0,,
70,PT06M09.00S,2021-11-20T01:21:49.2Z,1,REGULAR,freethrow,1 of 3,[],201587,,,1610612746,8,16,2021-11-20T01:22:23Z,690000,,,0,,N. Batum Free Throw 1 of 3 (3 PTS),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
71,PT06M09.00S,2021-11-20T01:21:49.2Z,1,REGULAR,freethrow,2 of 3,[],201587,,,1610612746,8,17,2021-11-20T01:22:23Z,700000,,,0,,N. Batum Free Throw 2 of 3 (4 PTS),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
72,PT06M09.00S,2021-11-20T01:22:02.3Z,1,REGULAR,substitution,out,[],203107,,,1610612746,8,17,2021-11-20T01:22:07Z,710000,,,0,,SUB out: T. Satoransky,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M09.00S,2021-11-20T01:22:02.3Z,1,REGULAR,substitution,in,[],1630184,,,1610612746,8,17,2021-11-20T01:22:07Z,720000,,,0,,SUB in: K. Lewis Jr.,[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M09.00S,2021-11-20T01:21:49.2Z,1,REGULAR,freethrow,3 of 3,[],201587,,,1610612746,8,17,2021-11-20T01:22:23Z,730000,,,0,,MISS N. Batum Free Throw 3 of 3,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,Missed,,,,,,,,,,,,,,,,,,
75,PT06M06.00S,2021-11-20T01:21:52.2Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,8,17,2021-11-20T01:22:23Z,740000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,,
76,PT05M58.00S,2021-11-20T01:22:27.3Z,1,REGULAR,3pt,Jump Shot,[],202685,23.73521681997372,14.950980392156863,1610612740,11,17,2021-11-20T01:22:31Z,750000,175.0,171.0,1,left,J. Valanciunas 24' 3PT  (5 PTS) (K. Lewis Jr. 1 AST),"[202685, 1630184]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,24.45,Made,5.0,,,,,,,,K. Lewis Jr.,1630184.0,1.0,,,,,,,
78,PT05M41.00S,2021-11-20T01:22:50.2Z,1,REGULAR,foul,personal,[],1630184,,,1610612746,11,17,2021-11-20T01:23:24Z,770000,,,0,,K. Lewis Jr. personal FOUL (1 PF),"[1630184, 1627826]",1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,,,,,,,,,,,1627529.0,1.0,0.0,Zubac,1627826.0,,
80,PT05M41.00S,2021-11-20T01:23:09.3Z,1,REGULAR,substitution,out,[],202704,,,1610612746,11,17,2021-11-20T01:23:16Z,790000,,,0,,SUB out: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M41.00S,2021-11-20T01:23:09.3Z,1,REGULAR,substitution,out,[],201587,,,1610612746,11,17,2021-11-20T01:23:16Z,800000,,,0,,SUB out: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M41.00S,2021-11-20T01:23:09.3Z,1,REGULAR,substitution,in,[],1629611,,,1610612746,11,17,2021-11-20T01:23:16Z,810000,,,0,,SUB in: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M41.00S,2021-11-20T01:23:09.3Z,1,REGULAR,substitution,in,[],1628379,,,1610612746,11,17,2021-11-20T01:23:16Z,820000,,,0,,SUB in: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M35.00S,2021-11-20T01:23:27.9Z,1,REGULAR,2pt,Jump Shot,[],202331,74.72076215505913,53.18627450980392,1610612746,11,17,2021-11-20T01:23:37Z,830000,16.0,185.0,1,right,MISS P. George 18' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,18.58,Missed,,,,,,,,,,,,,,,,,,
85,PT05M32.00S,2021-11-20T01:23:30.9Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,11,17,2021-11-20T01:23:37Z,840000,,,0,,J. Valanciunas REBOUND (Off:2 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,84.0,3.0,1.0,2.0,,,,,,,,,,,,,
86,PT05M23.00S,2021-11-20T01:23:42.0Z,1,REGULAR,turnover,out-of-bounds,[],1628404,,,1610612740,11,17,2021-11-20T01:23:52Z,850000,,,0,,J. Hart lost ball out-of-bounds TURNOVER (1 TO),[1628404],1610612740.0,NOP,lost ball,,,Hart,J. Hart,,,,,,,,,,,,1.0,,,,,,1627529.0,,,,,,
87,PT05M10.00S,2021-11-20T01:24:07.4Z,1,REGULAR,turnover,out-of-bounds,[],1627826,,,1610612746,11,17,2021-11-20T01:34:00Z,860000,,,0,,I. Zubac bad pass out-of-bounds TURNOVER (1 TO),[1627826],1610612746.0,LAC,bad pass,,,Zubac,I. Zubac,,,,,,,,,,,,1.0,,,,,,1627529.0,,,,,,
88,PT04M58.00S,2021-11-20T01:24:23.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630184,21.107095926412615,23.284313725490197,1610612740,11,17,2021-11-20T01:24:28Z,870000,134.0,146.0,1,left,MISS K. Lewis Jr. 19' pullup Shot,[1630184],1610612740.0,NOP,pullup,,,Lewis Jr.,K. Lewis Jr.,,,,,19.78,Missed,,,,,,,,,,,,,,,,,,
89,PT04M56.00S,2021-11-20T01:24:25.2Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,11,17,2021-11-20T01:24:28Z,880000,,,0,,P. George REBOUND (Off:0 Def:4),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,88.0,4.0,4.0,0.0,,,,,,,,,,,,,
