actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-20T01:10:25.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-20T01:10:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-20T01:10:27.4Z,1,REGULAR,jumpball,recovered,[],201587,,,1610612746,0,0,2021-11-20T01:10:27Z,40000,,,0,,Jump Ball I. Zubac vs. J. Valanciunas: Tip to N. Batum,"[201587, 1627826, 202685]",1610612746.0,LAC,startperiod,N. Batum,201587.0,Batum,N. Batum,Zubac,1627826.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-11-20T01:10:41.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,84.57621550591328,48.77450980392157,1610612746,0,2,2021-11-20T01:10:47Z,70000,-6.0,92.0,1,right,P. George 9' step back Jump Shot (2 PTS),[202331],1610612746.0,LAC,step back,,,George,P. George,,,,,9.27,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2021-11-20T01:11:00.9Z,1,REGULAR,3pt,Jump Shot,[],1629638,30.699737187910642,31.61764705882353,1610612740,0,2,2021-11-20T01:11:06Z,80000,92.0,236.0,1,left,MISS N. Alexander-Walker 25' pullup 3PT,[1629638],1610612740.0,NOP,pullup,,,Alexander-Walker,N. Alexander-Walker,,,,,25.34,Missed,,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2021-11-20T01:11:04.9Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,0,2,2021-11-20T01:11:06Z,90000,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M14.00S,2021-11-20T01:11:10.6Z,1,REGULAR,3pt,Jump Shot,[],202331,66.83639947437582,50.98039215686274,1610612746,0,2,2021-11-20T01:11:15Z,100000,5.0,259.0,1,right,MISS P. George 25' pullup 3PT,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,25.92,Missed,,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2021-11-20T01:11:13.6Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,0,2,2021-11-20T01:11:15Z,110000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M58.00S,2021-11-20T01:11:26.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,5.469776609724048,53.431372549019606,1610612740,0,2,2021-11-20T01:11:31Z,120000,-17.0,-1.0,1,left,MISS N. Alexander-Walker driving Layup,[1629638],1610612740.0,NOP,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,1.72,Missed,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2021-11-20T01:11:30.5Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,2,2021-11-20T01:11:31Z,140000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M40.00S,2021-11-20T01:11:44.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202339,81.42247043363994,50.73529411764706,1610612746,0,4,2021-11-20T01:11:51Z,150000,4.0,122.0,1,right,E. Bledsoe 12' pullup Jump Shot (2 PTS),[202339],1610612746.0,LAC,pullup,,,Bledsoe,E. Bledsoe,,,,,12.22,Made,2.0,,,,,,,,,,,,,,,,,
