actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-07T01:10:33.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-07T01:10:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-01-07T01:10:34.7Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612740,0,0,2022-01-07T01:10:34Z,40000,,,0,,Jump Ball J. Valanciunas vs. K. Looney: Tip to J. Hart,"[1628404, 202685, 1626172]",1610612740.0,NOP,startperiod,J. Hart,1628404.0,Hart,J. Hart,Valanciunas,202685.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-01-07T01:10:46.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,92.19776609724047,49.50980392156863,1610612740,2,0,2022-01-07T01:10:52Z,70000,-2.0,21.0,1,right,B. Ingram driving finger roll Layup (2 PTS) (J. Valanciunas 1 AST),"[1627742, 202685]",1610612740.0,NOP,driving finger roll,,,Ingram,B. Ingram,,,,,2.09,Made,2.0,J. Valanciunas,202685.0,1.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2022-01-07T01:11:06.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627780,5.206964520367937,49.754901960784316,1610612744,2,2,2022-01-07T01:11:22Z,90000,1.0,-4.0,1,left,G. Payton II cutting DUNK (2 PTS) (K. Looney 1 AST),"[1627780, 1626172]",1610612744.0,GSW,cutting,,,Payton II,G. Payton II,,,,,0.38,Made,2.0,K. Looney,1626172.0,1.0,,,,,,,,,,,,,,,
11,PT11M16.00S,2022-01-07T01:11:14.9Z,1,REGULAR,3pt,Jump Shot,[],202685,72.48685939553219,18.627450980392158,1610612740,2,2,2022-01-07T01:11:23Z,110000,-157.0,206.0,1,right,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2022-01-07T01:11:22.9Z,1,REGULAR,rebound,defensive,[],203490,,,1610612744,2,2,2022-01-07T01:12:54Z,120000,,,0,,O. Porter Jr. REBOUND (Off:0 Def:1),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M01.00S,2022-01-07T01:11:29.7Z,1,REGULAR,3pt,Jump Shot,[],203952,24.655059132720105,83.08823529411765,1610612744,2,2,2022-01-07T01:13:27Z,130000,-165.0,179.0,1,left,MISS A. Wiggins 24' step back 3PT,[203952],1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,24.39,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2022-01-07T01:11:31.7Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612740,2,2,2022-01-07T01:11:37Z,140000,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M59.00S,2022-01-07T01:11:37.4Z,1,REGULAR,foul,personal,[],1627780,,,1610612740,2,2,2022-01-07T01:11:46Z,150000,,,0,,G. Payton II personal FOUL (1 PF),"[1627780, 1628984]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,202901.0,1.0,0.0,Graham,1628984.0,,,,,,
17,PT10M47.00S,2022-01-07T01:11:57.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628984,85.75886990801577,62.254901960784316,1610612740,4,2,2022-01-07T01:12:06Z,170000,61.0,81.0,1,right,D. Graham 10' driving floating Jump Shot (2 PTS) (J. Valanciunas 2 AST),"[1628984, 202685]",1610612740.0,NOP,driving floating,,,Graham,D. Graham,,,,,10.19,Made,2.0,J. Valanciunas,202685.0,2.0,,,,,,,,,,,,,,,
19,PT10M25.00S,2022-01-07T01:12:18.8Z,1,REGULAR,3pt,Jump Shot,[],1629673,20.844283837056505,91.17647058823529,1610612744,4,2,2022-01-07T01:14:11Z,190000,-206.0,143.0,1,left,MISS J. Poole 25' pullup 3PT,[1629673],1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,25.09,Missed,,,,,,,,,,,,,,,,,,,
