actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-12T01:10:29.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-12T01:10:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-12T01:10:32.2Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612740,0,0,2022-01-12T01:10:32Z,40000,,,0,,Jump Ball J. Valanciunas vs. K. Towns: Tip to J. Hart,"[1628404, 202685, 1626157]",1610612740.0,NOP,startperiod,J. Hart,1628404.0,Hart,J. Hart,Valanciunas,202685.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-01-12T01:10:41.6Z,1,REGULAR,turnover,bad pass,[],1628404,,,1610612740,0,0,2022-01-12T01:19:20Z,70000,,,0,,J. Hart bad pass TURNOVER (1 TO),"[1628404, 1629020]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,1.0,Vanderbilt,1629020.0,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2022-01-12T01:10:41.6Z,1,REGULAR,steal,,[],1629020,,,1610612750,0,0,2022-01-12T01:10:46Z,80000,,,0,,J. Vanderbilt STEAL (1 STL),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-01-12T01:10:48.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629020,6.1268068331143235,49.26470588235294,1610612750,0,2,2022-01-12T01:13:20Z,90000,4.0,5.0,1,left,J. Vanderbilt running DUNK (2 PTS) (A. Edwards 1 AST),"[1629020, 1630162]",1610612750.0,MIN,running,,,Vanderbilt,J. Vanderbilt,,,,,,,,0.63,Made,2.0,A. Edwards,1630162.0,1.0,,,,,,,,,,,,
11,PT11M31.00S,2022-01-12T01:10:58.0Z,1,REGULAR,turnover,bad pass,[],202685,,,1610612740,0,2,2022-01-12T01:19:39Z,110000,,,0,,J. Valanciunas bad pass TURNOVER (1 TO),"[202685, 1630162]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,1.0,Edwards,1630162.0,,,,,,,,,,,,,,,,,,
12,PT11M31.00S,2022-01-12T01:10:58.0Z,1,REGULAR,steal,,[],1630162,,,1610612750,0,2,2022-01-12T01:11:01Z,120000,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M24.00S,2022-01-12T01:11:04.9Z,1,REGULAR,turnover,lost ball,[],1630162,,,1610612750,0,2,2022-01-12T01:11:08Z,130000,,,0,,A. Edwards lost ball TURNOVER (1 TO),"[1630162, 1627742]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,1.0,Ingram,1627742.0,,,,,,,,,,,,,,,,,,
14,PT11M24.00S,2022-01-12T01:11:04.9Z,1,REGULAR,steal,,[],1627742,,,1610612740,0,2,2022-01-12T01:11:06Z,140000,,,0,,B. Ingram STEAL (1 STL),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M20.00S,2022-01-12T01:11:09.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630529,94.95729303547962,3.1862745098039214,1610612740,3,2,2022-01-12T01:15:06Z,150000,-234.0,-5.0,1,right,H. Jones 3PT running (3 PTS) (J. Hart 1 AST),"[1630529, 1628404]",1610612740.0,NOP,running,,,Jones,H. Jones,,,,,,,,23.42,Made,3.0,J. Hart,1628404.0,1.0,,,,,,,,,,,,
17,PT11M05.00S,2022-01-12T01:11:28.2Z,1,REGULAR,foul,personal,[],202685,,,1610612750,3,2,2022-01-12T01:11:44Z,170000,,,0,,J. Valanciunas personal FOUL (1 PF),"[202685, 1629020]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,1627529.0,1.0,0.0,Vanderbilt,1629020.0,,,,,,,
19,PT10M57.00S,2022-01-12T01:11:52.3Z,1,REGULAR,2pt,Jump Shot,[],1626156,14.14257555847569,24.509803921568626,1610612750,3,4,2022-01-12T01:15:36Z,190000,127.0,80.0,1,left,D. Russell 15' step back Jump Shot (2 PTS),[1626156],1610612750.0,MIN,step back,,,Russell,D. Russell,,,,,,,,15.07,Made,2.0,,,,,,,,,,,,,,,
20,PT10M46.00S,2022-01-12T01:12:03.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628984,88.78120893561103,59.068627450980394,1610612740,5,4,2022-01-12T01:17:03Z,200000,45.0,53.0,1,right,D. Graham 6' driving floating Jump Shot (2 PTS),[1628984],1610612740.0,NOP,driving floating,,,Graham,D. Graham,,,,,,,,6.97,Made,2.0,,,,,,,,,,,,,,,
21,PT10M38.00S,2022-01-12T01:12:12.5Z,1,REGULAR,3pt,Jump Shot,[],1630162,31.61957950065703,37.00980392156863,1610612750,5,4,2022-01-12T02:20:37Z,210000,65.0,245.0,1,left,MISS A. Edwards 25' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,,,,25.32,Missed,,,,,,,,,,,,,,,,
22,PT10M35.00S,2022-01-12T01:12:15.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,5,4,2022-01-12T01:12:17Z,220000,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,
23,PT10M35.00S,2022-01-12T01:12:18.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,5,4,2022-01-12T01:12:18Z,230000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M26.00S,2022-01-12T01:12:30.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628984,82.9993429697766,50.245098039215684,1610612740,7,4,2022-01-12T02:20:44Z,240000,1.0,107.0,1,right,D. Graham 10' driving floating Jump Shot (4 PTS),[1628984],1610612740.0,NOP,driving floating,,,Graham,D. Graham,,,,,,,,10.73,Made,4.0,,,,,,,,,,,,,,,
25,PT10M11.00S,2022-01-12T01:12:46.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,5.601182654402102,54.41176470588235,1610612750,7,6,2022-01-12T01:12:51Z,250000,-22.0,0.0,1,left,K. Towns cutting Layup (2 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,cutting,,,Towns,K. Towns,,,,,,,,2.21,Made,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,,,
27,PT09M56.00S,2022-01-12T01:13:00.4Z,1,REGULAR,3pt,Jump Shot,[],1627742,89.43823915900131,3.1862745098039214,1610612740,7,6,2022-01-12T01:13:04Z,270000,-234.0,47.0,1,right,MISS B. Ingram 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,23.87,Missed,,,,,,,,,,,,,,,,
28,PT09M52.00S,2022-01-12T01:13:04.4Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,7,6,2022-01-12T01:23:22Z,280000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,
