actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-13T00:10:31.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-13T00:10:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-13T00:10:33.7Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2022-02-13T00:10:33Z,40000,,,0,,Jump Ball J. Poeltl vs. J. Valanciunas: Tip to K. Johnson,"[1629640, 1627751, 202685]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-02-13T00:10:41.7Z,1,REGULAR,3pt,Jump Shot,[],203926,22.946780551905388,8.333333333333332,1610612759,0,3,2022-02-13T00:10:50Z,70000,208.0,163.0,1,left,D. McDermott 26' 3PT  (3 PTS) (D. Vassell 1 AST),"[203926, 1630170]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,26.46,Made,3.0,D. Vassell,1630170.0,1.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-02-13T00:11:00.6Z,1,REGULAR,3pt,Jump Shot,[],1628984,74.85216819973719,88.23529411764706,1610612740,0,3,2022-02-13T00:11:45Z,90000,191.0,184.0,1,right,MISS D. Graham 26' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,26.53,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2022-02-13T00:11:03.6Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,0,3,2022-02-13T00:11:09Z,100000,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M17.00S,2022-02-13T00:11:13.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203926,9.017739816031538,44.6078431372549,1610612759,0,3,2022-02-13T00:11:22Z,110000,27.0,32.0,1,left,MISS D. McDermott driving Layup,[203926],1610612759.0,SAS,driving,,,McDermott,D. McDermott,,,,,4.21,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2022-02-13T00:11:14.0Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,0,3,2022-02-13T00:12:35Z,120000,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,
13,PT11M15.00S,2022-02-13T00:11:19.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627751,5.590000152587891,50.0,1610612759,0,5,2022-02-13T00:12:40Z,130000,0.0,0.0,1,left,J. Poeltl putback Layup (2 PTS),[1627751],1610612759.0,SAS,putback,,,Poeltl,J. Poeltl,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
14,PT11M03.00S,2022-02-13T00:11:26.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628984,84.57621550591328,54.65686274509803,1610612740,0,5,2022-02-13T00:11:43Z,140000,23.0,92.0,1,right,MISS D. Graham 9' driving floating Shot,[1628984],1610612740.0,NOP,driving floating,,,Graham,D. Graham,,,,,9.54,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M59.00S,2022-02-13T00:11:30.6Z,1,REGULAR,rebound,offensive,[],1628984,,,1610612740,0,5,2022-02-13T00:11:30Z,150000,,,0,,D. Graham REBOUND (Off:1 Def:0),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,
