actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-14T00:10:23.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-14T00:10:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-14T00:10:25.4Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612740,0,0,2021-11-14T00:10:25Z,40000,,,0,,Jump Ball J. Valanciunas vs. S. Adams: Tip to J. Hart,"[1628404, 202685, 203500]",1610612740.0,NOP,startperiod,J. Hart,1628404.0,Hart,J. Hart,Valanciunas,202685.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-11-14T00:10:38.7Z,1,REGULAR,2pt,Jump Shot,[],1628984,17.16491458607096,33.088235294117645,1610612740,2,0,2021-11-14T00:10:46Z,70000,85.0,109.0,1,left,D. Graham 13' pullup Jump Shot (2 PTS),[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,13.79,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2021-11-14T00:10:55.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203500,86.81011826544021,47.05882352941176,1610612763,2,2,2021-11-14T00:11:05Z,80000,-15.0,71.0,1,right,S. Adams 7' alley-oop DUNK (2 PTS) (J. Morant 1 AST),"[203500, 1629630]",1610612763.0,MEM,alley-oop,,,Adams,S. Adams,,,,,7.3,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,,
10,PT11M17.00S,2021-11-14T00:11:08.4Z,1,REGULAR,foul,personal,[],1628415,,,1610612740,2,2,2021-11-14T00:11:21Z,100000,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 1627742]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,202049.0,1.0,0.0,Ingram,1627742.0,,,,,,,,,,
12,PT11M14.00S,2021-11-14T00:11:30.3Z,1,REGULAR,foul,offensive,[],1627742,,,1610612740,2,2,2021-11-14T00:11:42Z,120000,,,0,,B. Ingram offensive FOUL (1 PF),"[1627742, 1628415]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,202049.0,1.0,0.0,Brooks,1628415.0,,,,,,,,,,
14,PT11M14.00S,2021-11-14T00:11:30.3Z,1,REGULAR,turnover,offensive foul,[],1627742,,,1610612740,2,2,2021-11-14T00:11:30Z,140000,,,0,,B. Ingram offensive foul TURNOVER (1 TO),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,202049.0,,,,,1.0,,,,,,,,,
15,PT10M59.00S,2021-11-14T00:11:53.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628991,76.5604467805519,89.2156862745098,1610612763,2,2,2021-11-14T00:11:59Z,150000,196.0,168.0,1,right,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,25.81,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M57.00S,2021-11-14T00:11:55.4Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,2,2,2021-11-14T00:11:59Z,160000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M47.00S,2021-11-14T00:12:06.8Z,1,REGULAR,3pt,Jump Shot,[],1629638,33.85348226018397,49.754901960784316,1610612740,5,2,2021-11-14T00:12:12Z,170000,1.0,266.0,1,left,N. Alexander-Walker 26' 3PT  (3 PTS) (D. Graham 1 AST),"[1629638, 1628984]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,26.57,Made,3.0,D. Graham,1628984.0,1.0,,,,,,,,,,,,,,,
