actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-12-29T01:10:10.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-29T01:10:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-29T01:10:12.5Z,1,REGULAR,jumpball,recovered,[],1629109,,,1610612740,0,0,2021-12-29T01:10:12Z,40000,,,0,,Jump Ball J. Valanciunas vs. E. Mobley: Tip to G. Clark,"[1629109, 202685, 1630596]",1610612740.0,NOP,startperiod,G. Clark,1629109.0,Clark,G. Clark,Valanciunas,202685.0,Mobley,1630596.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-12-29T01:10:31.9Z,1,REGULAR,3pt,Jump Shot,[],202685,72.48685939553219,79.16666666666666,1610612740,0,0,2021-12-29T01:10:36Z,70000,146.0,206.0,1,right,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,25.25,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2021-12-29T01:10:36.9Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,0,2021-12-29T01:10:36Z,80000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M16.00S,2021-12-29T01:10:53.0Z,1,REGULAR,2pt,Jump Shot,[],1630596,3.892904073587385,81.61764705882352,1610612739,0,0,2021-12-29T01:11:02Z,90000,-158.0,-16.0,1,left,MISS E. Mobley 15' Jump Shot,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,15.89,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M09.00S,2021-12-29T01:11:00.0Z,1,REGULAR,rebound,offensive,[],1629731,,,1610612739,0,0,2021-12-29T01:11:02Z,100000,,,0,,D. Wade REBOUND (Off:1 Def:0),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
11,PT11M04.00S,2021-12-29T01:11:05.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629731,7.5722733245729295,94.85294117647058,1610612739,0,0,2021-12-29T01:11:11Z,110000,-224.0,19.0,1,left,MISS D. Wade 3PT,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,22.51,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2021-12-29T01:11:09.1Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,0,0,2021-12-29T01:12:03Z,120000,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M51.00S,2021-12-29T01:11:18.1Z,1,REGULAR,turnover,lost ball,[],202685,,,1610612740,0,0,2021-12-29T01:11:27Z,130000,,,0,,J. Valanciunas lost ball TURNOVER (1 TO),"[202685, 201937]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,1.0,Rubio,201937.0,,,,,,,,,,,,
14,PT10M51.00S,2021-12-29T01:11:18.1Z,1,REGULAR,steal,,[],201937,,,1610612739,0,0,2021-12-29T01:11:32Z,140000,,,0,,R. Rubio STEAL (1 STL),[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M45.00S,2021-12-29T01:11:24.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201937,6.652431011826544,95.58823529411765,1610612739,0,3,2021-12-29T01:11:30Z,150000,-228.0,10.0,1,left,R. Rubio 3PT  (3 PTS) (I. Okoro 1 AST),"[201937, 1630171]",1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,22.81,Made,,,,,,,,3.0,I. Okoro,1630171.0,1.0,,,,,,,,
17,PT10M29.00S,2021-12-29T01:11:39.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,94.30026281208936,55.392156862745104,1610612740,0,3,2021-12-29T01:11:43Z,170000,27.0,1.0,1,right,MISS H. Jones driving Layup,[1630529],1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,2.7,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M27.00S,2021-12-29T01:11:41.9Z,1,REGULAR,rebound,defensive,[],201937,,,1610612739,0,3,2021-12-29T01:11:42Z,180000,,,0,,R. Rubio REBOUND (Off:0 Def:1),[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
19,PT10M24.00S,2021-12-29T01:11:59.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,0,3,2021-12-29T01:11:59Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M13.00S,2021-12-29T01:12:10.4Z,1,REGULAR,2pt,Jump Shot,[],201937,18.478975032851512,12.5,1610612739,0,3,2021-12-29T01:12:16Z,200000,188.0,121.0,1,left,MISS R. Rubio 22' Jump Shot,[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,22.33,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M11.00S,2021-12-29T01:12:13.2Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612740,0,3,2021-12-29T01:12:13Z,210000,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
22,PT10M07.00S,2021-12-29T01:12:19.1Z,1,REGULAR,turnover,out-of-bounds,[],1628984,,,1610612740,0,3,2021-12-29T01:12:27Z,220000,,,0,,D. Graham bad pass out-of-bounds TURNOVER (1 TO),[1628984],1610612740.0,NOP,bad pass,,,Graham,D. Graham,,,,,,,,,,,1.0,,,,,,,1626301.0,,,,,,,
23,PT09M45.00S,2021-12-29T01:12:47.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629731,18.873193166885677,45.588235294117645,1610612739,0,3,2021-12-29T01:12:51Z,230000,22.0,125.0,1,left,MISS D. Wade 12' Jump Shot - blocked,"[1629731, 1629109]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,12.68,Missed,,,,,,,,,,,,,Clark,1629109.0,,,,,
24,PT09M45.00S,2021-12-29T01:12:47.3Z,1,REGULAR,block,,[],1629109,,,1610612739,0,3,2021-12-29T01:12:50Z,240000,,,0,,G. Clark BLOCK (1 BLK),[1629109],1610612740.0,NOP,,,,Clark,G. Clark,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M41.00S,2021-12-29T01:12:51.3Z,1,REGULAR,rebound,offensive,[],1629731,,,1610612739,0,3,2021-12-29T01:12:51Z,250000,,,0,,D. Wade REBOUND (Off:2 Def:0),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,23.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
26,PT09M39.00S,2021-12-29T01:12:52.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629731,25.312089356110377,16.666666666666664,1610612739,0,3,2021-12-29T01:12:55Z,260000,167.0,185.0,1,left,MISS D. Wade 24' 3PT,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,24.93,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M38.00S,2021-12-29T01:12:54.2Z,1,REGULAR,rebound,offensive,[],201937,,,1610612739,0,3,2021-12-29T01:12:54Z,270000,,,0,,R. Rubio REBOUND (Off:1 Def:1),[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,26.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
28,PT09M36.00S,2021-12-29T01:12:55.9Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",201937,26.149802890932982,51.73866421568627,1610612739,0,5,2021-12-29T01:13:03Z,280000,-9.0,193.0,1,left,R. Rubio 19' Jump Shot (5 PTS),[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,19.35,Made,,,,,,,,5.0,,,,,,,,,,,
29,PT09M16.00S,2021-12-29T01:13:26.5Z,1,REGULAR,turnover,traveling,[],1628984,,,1610612740,0,5,2021-12-29T01:13:39Z,290000,,,0,,D. Graham traveling TURNOVER (2 TO),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,2.0,,,,,,,202049.0,,,,,,,
30,PT09M16.00S,2021-12-29T01:14:06.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,0,5,2021-12-29T01:14:06Z,300000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M16.00S,2021-12-29T01:14:10.2Z,1,REGULAR,substitution,out,[],1628984,,,1610612739,0,5,2021-12-29T01:14:13Z,310000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M16.00S,2021-12-29T01:14:10.2Z,1,REGULAR,substitution,in,[],203107,,,1610612739,0,5,2021-12-29T01:14:13Z,320000,,,0,,SUB in: T. Satoransky,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M06.00S,2021-12-29T01:16:30.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,0,5,2021-12-29T01:16:30Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M58.00S,2021-12-29T01:16:44.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201937,10.5946123521682,37.00980392156863,1610612739,0,7,2021-12-29T01:16:58Z,340000,65.0,47.0,1,left,R. Rubio 8' driving bank Jump Shot (7 PTS),[201937],1610612739.0,CLE,driving bank,,,Rubio,R. Rubio,,,,,8.03,Made,,,,,,,,7.0,,,,,,,,,,,
35,PT08M42.00S,2021-12-29T01:17:01.3Z,1,REGULAR,3pt,Jump Shot,[],203107,72.09264126149803,15.686274509803921,1610612740,0,7,2021-12-29T01:17:06Z,350000,-172.0,210.0,1,right,MISS T. Satoransky 27' 3PT,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,27.1,Missed,,,,,,,,,,,,,,,,,,,
36,PT08M37.00S,2021-12-29T01:17:06.3Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,0,7,2021-12-29T01:17:06Z,360000,,,0,,D. Wade REBOUND (Off:2 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,35.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
37,PT08M27.00S,2021-12-29T01:17:21.4Z,1,REGULAR,foul,personal,['2freethrow'],1630529,,,1610612739,0,7,2021-12-29T01:17:40Z,370000,,,0,,H. Jones shooting personal FOUL (1 PF) (Markkanen 2 FT),"[1630529, 1628374]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,1626301.0,,,1.0,0.0,Markkanen,1628374.0,
39,PT08M27.00S,2021-12-29T01:17:41.2Z,1,REGULAR,freethrow,1 of 2,[],1628374,,,1610612739,0,8,2021-12-29T01:17:41Z,390000,,,0,,L. Markkanen Free Throw 1 of 2 (1 PTS),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,Made,,,,,,,,1.0,,,,,,,,,,,
40,PT08M27.00S,2021-12-29T01:17:55.9Z,1,REGULAR,freethrow,2 of 2,[],1628374,,,1610612739,0,9,2021-12-29T01:17:55Z,400000,,,0,,L. Markkanen Free Throw 2 of 2 (2 PTS),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,Made,,,,,,,,2.0,,,,,,,,,,,
41,PT08M16.00S,2021-12-29T01:18:07.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,93.77463863337714,52.450980392156865,1610612740,2,9,2021-12-29T01:18:12Z,410000,12.0,6.0,1,right,J. Valanciunas cutting Layup (2 PTS) (T. Satoransky 1 AST),"[202685, 203107]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,1.37,Made,,,,,,,,2.0,T. Satoransky,203107.0,1.0,,,,,,,,
43,PT08M04.00S,2021-12-29T01:18:20.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,4.944152431011826,53.67647058823529,1610612739,2,9,2021-12-29T01:18:23Z,430000,-18.0,-6.0,1,left,MISS L. Markkanen cutting Layup,[1628374],1610612739.0,CLE,cutting,,,Markkanen,L. Markkanen,,,,,1.94,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M03.00S,2021-12-29T01:18:21.7Z,1,REGULAR,rebound,offensive,[],1628374,,,1610612739,2,9,2021-12-29T01:18:21Z,440000,,,0,,L. Markkanen REBOUND (Off:1 Def:0),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,43.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
45,PT08M02.00S,2021-12-29T01:18:23.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1628374,11.777266754270697,49.26470588235294,1610612739,2,9,2021-12-29T01:18:28Z,450000,4.0,58.0,1,left,MISS L. Markkanen turnaround Hook - blocked,"[1628374, 202685]",1610612739.0,CLE,turnaround,,,Markkanen,L. Markkanen,,,,,5.83,Missed,,,,,,,,,,,,,Valanciunas,202685.0,,,,,
46,PT08M02.00S,2021-12-29T01:18:23.2Z,1,REGULAR,block,,[],202685,,,1610612739,2,9,2021-12-29T01:18:25Z,460000,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M58.00S,2021-12-29T01:18:27.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,9,2021-12-29T01:18:28Z,470000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
