actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-05T01:10:28.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-05T01:10:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-05T01:10:30.2Z,1,REGULAR,jumpball,recovered,[],1629637,,,1610612740,0,0,2022-03-05T01:10:30Z,40000,,,0,,Jump Ball J. Valanciunas vs. R. Gobert: Tip to J. Hayes,"[1629637, 202685, 203497]",1610612740.0,NOP,startperiod,J. Hayes,1629637.0,Hayes,J. Hayes,Valanciunas,202685.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-03-05T01:10:51.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202685,6.783837056504599,49.50980392156863,1610612740,2,0,2022-03-05T01:10:59Z,70000,2.0,11.0,1,left,J. Valanciunas DUNK (2 PTS) (B. Ingram 1 AST),"[202685, 1627742]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,1.16,Made,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,,
9,PT11M19.00S,2022-03-05T01:11:11.1Z,1,REGULAR,turnover,out-of-bounds,[],203497,,,1610612762,2,0,2022-03-05T01:11:21Z,90000,,,0,,R. Gobert step out-of-bounds TURNOVER (1 TO),[203497],1610612762.0,UTA,step,,,Gobert,R. Gobert,,,,,,,,,,,1662.0,1.0,,,,,,,,,,,,,
10,PT11M02.00S,2022-03-05T01:11:32.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630529,15.982260183968464,2.941176470588235,1610612740,2,0,2022-03-05T01:11:38Z,100000,235.0,98.0,1,left,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,25.48,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M00.00S,2022-03-05T01:11:34.3Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,2,0,2022-03-05T01:11:38Z,110000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT10M51.00S,2022-03-05T01:11:43.7Z,1,REGULAR,3pt,Jump Shot,[],1628378,69.85873850197109,16.176470588235293,1610612762,2,3,2022-03-05T01:11:50Z,120000,-169.0,231.0,1,right,D. Mitchell 28' 3PT pullup (3 PTS) (M. Conley 1 AST),"[1628378, 201144]",1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,28.61,Made,3.0,M. Conley,201144.0,1.0,,,,,,,,,,,,,,,
13,PT10M38.00S,2022-03-05T01:11:56.0Z,1,REGULAR,3pt,Jump Shot,[],202685,24.78646517739816,85.29411764705883,1610612740,2,3,2022-03-05T01:12:05Z,130000,-176.0,180.0,1,left,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,25.25,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M35.00S,2022-03-05T01:11:59.0Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,2,3,2022-03-05T01:12:05Z,140000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT10M27.00S,2022-03-05T01:12:07.5Z,1,REGULAR,3pt,Jump Shot,[],202711,68.15045992115637,25.245098039215684,1610612762,2,3,2022-03-05T01:12:12Z,150000,-124.0,247.0,1,right,MISS B. Bogdanovic 27' 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,27.62,Missed,,,,,,,,,,,,,,,,,,,
