actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-11T01:10:21.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-11T01:10:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-11T01:10:24.6Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612740,0,0,2021-12-11T01:10:24Z,40000,,,0,,Jump Ball J. Valanciunas vs. I. Stewart: Tip to J. Hart,"[1628404, 202685, 1630191]",1610612740.0,NOP,startperiod,J. Hart,1628404.0,Hart,J. Hart,Valanciunas,202685.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2021-12-11T01:10:43.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,92.9862023653088,53.92156862745098,1610612740,2,0,2021-12-11T01:10:53Z,70000,20.0,13.0,1,right,J. Hart driving Layup (2 PTS) (J. Valanciunas 1 AST),"[1628404, 202685]",1610612740.0,NOP,driving,,,Hart,J. Hart,,,,,2.37,Made,2.0,J. Valanciunas,202685.0,1.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2021-12-11T01:11:02.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,2,0,2021-12-11T01:11:02Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M14.00S,2021-12-11T01:11:24.2Z,1,REGULAR,3pt,Jump Shot,[],1630165,30.305519053876477,72.05882352941177,1610612765,2,0,2021-12-11T01:11:51Z,100000,-110.0,232.0,1,left,MISS K. Hayes 25' step back 3PT,[1630165],1610612765.0,DET,step back,,,Hayes,K. Hayes,,,,,25.72,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2021-12-11T01:11:26.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,2,0,2021-12-11T01:11:51Z,110000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,
12,PT11M12.00S,2021-12-11T01:11:38.1Z,1,REGULAR,foul,personal,[],202685,,,1610612765,2,0,2021-12-11T01:12:08Z,120000,,,0,,J. Valanciunas personal FOUL (1 PF),"[202685, 1630191]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,202056.0,1.0,0.0,Stewart,1630191.0,,,,,,,,,
15,PT11M00.00S,2021-12-11T01:12:00.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203924,19.66162943495401,44.11764705882353,1610612765,2,2,2021-12-11T01:12:15Z,150000,29.0,132.0,1,left,J. Grant 13' pullup Jump Shot (2 PTS),[203924],1610612765.0,DET,pullup,,,Grant,J. Grant,,,,,13.55,Made,2.0,,,,,,,,,,,,,,,,,,
16,PT10M43.00S,2021-12-11T01:12:17.0Z,1,REGULAR,3pt,Jump Shot,[],1630529,88.64980289093299,2.696078431372549,1610612740,2,2,2021-12-11T01:12:25Z,160000,-237.0,54.0,1,right,MISS H. Jones 24' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,24.26,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M40.00S,2021-12-11T01:12:20.0Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,2,2,2021-12-11T01:12:25Z,170000,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,16.0,,,,,,1.0,0.0,1.0,,,,,,
18,PT10M37.00S,2021-12-11T01:12:23.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627742,66.70499342969777,48.529411764705884,1610612740,5,2,2021-12-11T01:12:28Z,180000,-7.0,260.0,1,right,B. Ingram 26' 3PT  (3 PTS) (J. Valanciunas 2 AST),"[1627742, 202685]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,26.06,Made,3.0,J. Valanciunas,202685.0,2.0,,,,,,,,,,,,,,,
20,PT10M23.00S,2021-12-11T01:12:36.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,17.16491458607096,39.705882352941174,1610612765,5,2,2021-12-11T01:12:42Z,200000,51.0,109.0,1,left,MISS C. Cunningham 12' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,12.05,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M20.00S,2021-12-11T01:12:39.7Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,5,2,2021-12-11T01:12:42Z,210000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,20.0,,,,,,1.0,1.0,0.0,,,,,,
22,PT10M11.00S,2021-12-11T01:12:48.5Z,1,REGULAR,2pt,Jump Shot,[],202685,91.93495400788436,86.27450980392157,1610612740,5,2,2021-12-11T01:12:55Z,220000,181.0,23.0,1,right,MISS J. Valanciunas 18' Jump Shot,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,18.29,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M07.00S,2021-12-11T01:12:52.5Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,5,2,2021-12-11T01:12:55Z,230000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,22.0,,,,,,1.0,1.0,0.0,,,,,,
24,PT10M03.00S,2021-12-11T01:12:57.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630191,5.863994743758213,51.9607843137255,1610612765,5,4,2021-12-11T01:13:04Z,240000,-10.0,3.0,1,left,I. Stewart Layup (2 PTS) (C. Cunningham 1 AST),"[1630191, 1630595]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,1.01,Made,2.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,,,,,
26,PT09M53.00S,2021-12-11T01:13:08.4Z,1,REGULAR,2pt,Jump Shot,[],1627742,86.41590013140605,69.11764705882352,1610612740,7,4,2021-12-11T01:13:15Z,260000,96.0,75.0,1,right,B. Ingram 12' step back Jump Shot (5 PTS) (D. Graham 1 AST),"[1627742, 1628984]",1610612740.0,NOP,step back,,,Ingram,B. Ingram,,,,,12.16,Made,5.0,D. Graham,1628984.0,1.0,,,,,,,,,,,,,,,
28,PT09M53.00S,2021-12-11T01:13:20.8Z,1,REGULAR,foul,personal,['1freethrow'],1630165,,,1610612740,7,4,2021-12-11T01:13:36Z,280000,,,0,,K. Hayes shooting personal FOUL (1 PF) (Ingram 1 FT),"[1630165, 1627742]",1610612765.0,DET,shooting,,,Hayes,K. Hayes,,,,,,,,,,,,202056.0,1.0,0.0,Ingram,1627742.0,,,,,,,,,
30,PT09M53.00S,2021-12-11T01:13:35.6Z,1,REGULAR,freethrow,1 of 1,[],1627742,,,1610612740,8,4,2021-12-11T01:13:35Z,300000,,,0,,B. Ingram Free Throw 1 of 1 (6 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
31,PT09M42.00S,2021-12-11T01:13:46.3Z,1,REGULAR,3pt,Jump Shot,[],203924,27.677398160315374,81.12745098039215,1610612765,8,7,2021-12-11T01:13:51Z,310000,-156.0,208.0,1,left,J. Grant 25' 3PT  (5 PTS) (K. Hayes 1 AST),"[203924, 1630165]",1610612765.0,DET,,,,Grant,J. Grant,,,,,25.95,Made,5.0,K. Hayes,1630165.0,1.0,,,,,,,,,,,,,,,
33,PT09M27.00S,2021-12-11T01:14:01.2Z,1,REGULAR,2pt,Jump Shot,[],1627742,91.80354796320631,75.73529411764706,1610612740,10,7,2021-12-11T01:26:21Z,330000,129.0,25.0,1,right,B. Ingram 13' turnaround fadeaway Jump Shot (8 PTS),[1627742],1610612740.0,NOP,turnaround fadeaway,,,Ingram,B. Ingram,,,,,13.1,Made,8.0,,,,,,,,,,,,,,,,,,
34,PT09M07.00S,2021-12-11T01:14:21.2Z,1,REGULAR,3pt,Jump Shot,[],1630595,32.14520367936925,30.392156862745097,1610612765,10,10,2021-12-11T01:14:26Z,340000,98.0,250.0,1,left,C. Cunningham 26' 3PT  (3 PTS) (J. Grant 1 AST),"[1630595, 203924]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,26.82,Made,3.0,J. Grant,203924.0,1.0,,,,,,,,,,,,,,,
