actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-04T01:10:19.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-04T01:10:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-04T01:10:23.2Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2022-01-04T01:10:23Z,40000,,,0,,Jump Ball R. Gobert vs. J. Valanciunas: Tip to R. O'Neale,"[1626220, 203497, 202685]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-01-04T01:10:41.4Z,1,REGULAR,foul,personal,[],202685,,,1610612762,0,0,2022-01-04T01:10:51Z,70000,,,0,,J. Valanciunas personal FOUL (1 PF),"[202685, 203497]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,203177.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,,,,,
9,PT11M33.00S,2022-01-04T01:11:06.2Z,1,REGULAR,3pt,Jump Shot,[],1628378,76.03482260183968,86.76470588235294,1610612762,0,3,2022-01-04T01:11:12Z,90000,184.0,173.0,1,right,D. Mitchell 25' 3PT step back (3 PTS),[1628378],1610612762.0,UTA,step back,,,Mitchell,D. Mitchell,,,,,,,,,,25.23,Made,3.0,,,,,,,,,,,,,
10,PT11M09.00S,2022-01-04T01:11:29.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,17.69053876478318,45.09803921568628,1610612740,2,3,2022-01-04T01:11:45Z,100000,25.0,114.0,1,left,J. Valanciunas 11' turnaround fadeaway Jump Shot (2 PTS),[202685],1610612740.0,NOP,turnaround fadeaway,,,Valanciunas,J. Valanciunas,,,,,,,,,,11.64,Made,2.0,,,,,,,,,,,,,
11,PT10M52.00S,2022-01-04T01:11:46.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,82.7365308804205,35.294117647058826,1610612762,2,3,2022-01-04T01:11:51Z,110000,-74.0,110.0,1,right,MISS B. Bogdanovic 13' turnaround Shot,[202711],1610612762.0,UTA,turnaround,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,13.21,Missed,,,,,,,,,,,,,,
12,PT10M49.00S,2022-01-04T01:11:49.1Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,3,2022-01-04T01:11:51Z,120000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT10M32.00S,2022-01-04T01:12:06.9Z,1,REGULAR,turnover,bad pass,[],202685,,,1610612740,2,3,2022-01-04T01:12:11Z,130000,,,0,,J. Valanciunas bad pass TURNOVER (1 TO),"[202685, 1628378]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,1.0,Mitchell,1628378.0,,,,,,
14,PT10M32.00S,2022-01-04T01:12:06.9Z,1,REGULAR,steal,,[],1628378,,,1610612762,2,3,2022-01-04T01:12:09Z,140000,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M28.00S,2022-01-04T01:12:10.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202711,77.21747700394218,91.91176470588235,1610612762,2,3,2022-01-04T01:12:53Z,150000,210.0,162.0,1,right,MISS B. Bogdanovic 26' running 3PT,[202711],1610612762.0,UTA,running,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,26.47,Missed,,,,,,,,,,,,,,
16,PT10M24.00S,2022-01-04T01:12:14.5Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,2,3,2022-01-04T01:12:17Z,160000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
17,PT10M20.00S,2022-01-04T01:12:23.7Z,1,REGULAR,violation,kicked ball,[],201144,,,1610612740,2,3,2022-01-04T01:12:33Z,170000,,,0,,M. Conley kicked ball VIOLATION,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,2004.0,,,,,,,,,,,,,,,,,,,,
18,PT10M14.00S,2022-01-04T01:12:44.6Z,1,REGULAR,3pt,Jump Shot,[],1628984,31.488173455978973,26.225490196078432,1610612740,5,3,2022-01-04T01:12:49Z,180000,119.0,243.0,1,left,D. Graham 27' 3PT  (3 PTS) (J. Valanciunas 1 AST),"[1628984, 202685]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,27.1,Made,3.0,,,,,,,,J. Valanciunas,202685.0,1.0,,,
20,PT09M55.00S,2022-01-04T01:13:03.0Z,1,REGULAR,2pt,Jump Shot,[],201144,74.32654402102497,35.53921568627451,1610612762,5,3,2022-01-04T01:13:10Z,200000,-72.0,189.0,1,right,MISS M. Conley 20' pullup Shot,[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,,,,,,20.22,Missed,,,,,,,,,,,,,,
21,PT09M52.00S,2022-01-04T01:13:06.0Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,5,3,2022-01-04T01:13:10Z,210000,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,
22,PT09M43.00S,2022-01-04T01:13:15.1Z,1,REGULAR,3pt,Jump Shot,[],202685,28.07161629434954,72.30392156862744,1610612740,8,3,2022-01-04T01:13:19Z,220000,-112.0,211.0,1,left,J. Valanciunas 3PT  (5 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,23.9,Made,5.0,,,,,,,,,,,,,
23,PT09M27.00S,2022-01-04T01:13:32.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,86.5473061760841,49.26470588235294,1610612762,8,3,2022-01-04T01:14:48Z,230000,-4.0,74.0,1,right,MISS M. Conley 7' floating Shot,[201144],1610612762.0,UTA,floating,,,Conley,M. Conley,,,,,,,,,,7.41,Missed,,,,,,,,,,,,,,
24,PT09M25.00S,2022-01-04T01:13:34.7Z,1,REGULAR,rebound,offensive,[],203497,,,1610612762,8,3,2022-01-04T01:14:48Z,240000,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,23.0,1.0,0.0,1.0,,,,,,,,,
25,PT09M24.00S,2022-01-04T01:13:44.5Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612762,8,3,2022-01-04T01:13:58Z,250000,,,0,,J. Valanciunas shooting personal FOUL (2 PF) (Gobert 2 FT),"[202685, 203497]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,2004.0,2.0,0.0,Gobert,203497.0,,,,,,,,,,,,,,,,
27,PT09M24.00S,2022-01-04T01:14:24.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203497,,,1610612762,8,3,2022-01-04T01:14:51Z,270000,,,0,,MISS R. Gobert Free Throw 1 of 2,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,Missed,,,,,,,,,,,,,,
28,PT09M24.00S,2022-01-04T01:14:24.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612762,8,3,2022-01-04T01:14:51Z,280000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,
29,PT09M24.00S,2022-01-04T01:14:25.1Z,1,REGULAR,substitution,out,[],202685,,,1610612762,8,3,2022-01-04T01:14:29Z,290000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M24.00S,2022-01-04T01:14:25.1Z,1,REGULAR,substitution,in,[],1626195,,,1610612762,8,3,2022-01-04T01:14:29Z,300000,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M24.00S,2022-01-04T01:14:24.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203497,,,1610612762,8,3,2022-01-04T01:14:51Z,310000,,,0,,MISS R. Gobert Free Throw 2 of 2,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,Missed,,,,,,,,,,,,,,
32,PT09M22.00S,2022-01-04T01:14:26.0Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,8,3,2022-01-04T01:14:51Z,320000,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,
33,PT09M01.00S,2022-01-04T01:15:10.0Z,1,REGULAR,3pt,Jump Shot,[],1628984,24.392247043363994,7.598039215686274,1610612740,8,3,2022-01-04T01:15:15Z,330000,212.0,177.0,1,left,MISS D. Graham 27' step back 3PT,[1628984],1610612740.0,NOP,step back,,,Graham,D. Graham,,,,,,,,,,27.6,Missed,,,,,,,,,,,,,,
34,PT08M58.00S,2022-01-04T01:15:13.0Z,1,REGULAR,rebound,offensive,[],1626195,,,1610612740,8,3,2022-01-04T01:15:15Z,340000,,,0,,W. Hernangomez REBOUND (Off:1 Def:0),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,33.0,1.0,0.0,1.0,,,,,,,,,
35,PT08M54.00S,2022-01-04T01:15:16.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627742,8.229303547963205,24.019607843137255,1610612740,8,3,2022-01-04T01:16:37Z,350000,130.0,25.0,1,left,MISS B. Ingram 13' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,,,,,,13.23,Missed,,,,,,,,,,,,,,
36,PT08M50.00S,2022-01-04T01:15:20.8Z,1,REGULAR,rebound,defensive,[],201144,,,1610612762,8,3,2022-01-04T01:15:23Z,360000,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,
37,PT08M41.00S,2022-01-04T01:15:29.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,93.51182654402102,54.41176470588235,1610612762,8,3,2022-01-04T01:15:35Z,370000,22.0,8.0,1,right,MISS D. Mitchell finger roll Layup,[1628378],1610612762.0,UTA,finger roll,,,Mitchell,D. Mitchell,,,,,,,,,,2.37,Missed,,,,,,,,,,,,,,
38,PT08M40.00S,2022-01-04T01:15:30.4Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,8,3,2022-01-04T01:15:35Z,380000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,
39,PT08M34.00S,2022-01-04T01:15:37.2Z,1,REGULAR,3pt,Jump Shot,[],1630529,6.1268068331143235,96.81372549019608,1610612740,8,3,2022-01-04T01:15:42Z,390000,-234.0,5.0,1,left,MISS H. Jones 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,23.42,Missed,,,,,,,,,,,,,,
40,PT08M29.00S,2022-01-04T01:15:42.2Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,8,3,2022-01-04T01:15:42Z,400000,,,0,,R. Gobert REBOUND (Off:1 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,39.0,2.0,1.0,1.0,,,,,,,,,
41,PT08M16.00S,2022-01-04T01:15:54.4Z,1,REGULAR,3pt,Jump Shot,[],1626220,68.54467805519053,26.96078431372549,1610612762,8,6,2022-01-04T01:16:01Z,410000,-115.0,243.0,1,right,R. O'Neale 26' 3PT  (3 PTS) (M. Conley 1 AST),"[1626220, 201144]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,26.91,Made,3.0,,,,,,,,M. Conley,201144.0,1.0,,,
43,PT08M01.00S,2022-01-04T01:16:08.9Z,1,REGULAR,3pt,Jump Shot,[],1627742,17.296320630749015,93.62745098039215,1610612740,8,6,2022-01-04T01:16:14Z,430000,-218.0,110.0,1,left,MISS B. Ingram 24' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,24.43,Missed,,,,,,,,,,,,,,
44,PT07M57.00S,2022-01-04T01:16:12.9Z,1,REGULAR,rebound,offensive,[],1626195,,,1610612740,8,6,2022-01-04T01:16:14Z,440000,,,0,,W. Hernangomez REBOUND (Off:2 Def:0),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,43.0,2.0,0.0,2.0,,,,,,,,,
