actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-09T01:10:53.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-09T01:10:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-02-09T01:10:58.6Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2022-02-09T01:10:58Z,40000,,,0,,Jump Ball C. Wood vs. J. Valanciunas: Tip to K. Porter Jr.,"[1629645, 1626174, 202685]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Wood,1626174.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-02-09T01:11:12.9Z,1,REGULAR,3pt,Jump Shot,[],1626174,22.683968462549277,85.7843137254902,1610612745,0,3,2022-02-09T01:11:17Z,70000,-179.0,161.0,1,left,C. Wood 24' 3PT  (3 PTS) (K. Porter Jr. 1 AST),"[1626174, 1629645]",1610612745.0,HOU,,,,Wood,C. Wood,,,,,24.05,Made,3.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2022-02-09T01:11:30.5Z,1,REGULAR,2pt,Jump Shot,[],1627742,85.89027595269383,77.69607843137256,1610612740,2,3,2022-02-09T01:11:51Z,90000,138.0,80.0,1,right,B. Ingram 16' Jump Shot (2 PTS) (H. Jones 1 AST),"[1627742, 1630529]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,16.0,Made,2.0,H. Jones,1630529.0,1.0,,,,,,,,,,,,,,,
11,PT11M04.00S,2022-02-09T01:11:48.0Z,1,REGULAR,3pt,Jump Shot,[],1630578,24.917871222076215,13.23529411764706,1610612745,2,3,2022-02-09T01:11:53Z,110000,184.0,182.0,1,left,MISS A. Sengun 25' 3PT,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,25.85,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2022-02-09T01:11:50.0Z,1,REGULAR,rebound,offensive,[],1626174,,,1610612745,2,3,2022-02-09T01:11:53Z,120000,,,0,,C. Wood REBOUND (Off:1 Def:0),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,
13,PT11M00.00S,2022-02-09T01:11:53.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626174,13.748357424441524,49.754901960784316,1610612745,2,5,2022-02-09T01:13:06Z,130000,1.0,77.0,1,left,C. Wood 7' floating Jump Shot (5 PTS),[1626174],1610612745.0,HOU,floating,,,Wood,C. Wood,,,,,7.67,Made,5.0,,,,,,,,,,,,,,,,,,
14,PT10M43.00S,2022-02-09T01:12:09.8Z,1,REGULAR,2pt,Jump Shot,[],202685,89.83245729303549,66.91176470588235,1610612740,2,5,2022-02-09T01:12:15Z,140000,85.0,43.0,1,right,MISS J. Valanciunas 9' turnaround bank Shot,[202685],1610612740.0,NOP,turnaround bank,,,Valanciunas,J. Valanciunas,,,,,9.49,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M39.00S,2022-02-09T01:12:13.8Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,2,5,2022-02-09T01:12:15Z,150000,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
16,PT10M36.00S,2022-02-09T01:12:17.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630256,8.360709592641262,96.81372549019608,1610612745,2,5,2022-02-09T01:12:24Z,160000,-234.0,26.0,1,left,MISS J. Tate 3PT,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,23.56,Missed,,,,,,,,,,,,,,,,,,,
