actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-10-27T23:45:33.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-27T23:45:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-27T23:45:36.1Z,1,REGULAR,jumpball,recovered,[],1630529,,,1610612740,0,0,2021-10-27T23:45:36Z,40000,,,0,,Jump Ball J. Valanciunas vs. C. Capela: Tip to H. Jones,"[1630529, 202685, 203991]",1610612740.0,NOP,startperiod,H. Jones,1630529.0,Jones,H. Jones,Valanciunas,202685.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-10-27T23:45:49.6Z,1,REGULAR,3pt,Jump Shot,[],1628984,67.23061760840999,49.26470588235294,1610612740,3,0,2021-10-27T23:46:31Z,70000,-4.0,256.0,1,right,D. Graham 25' 3PT pullup (3 PTS) (B. Ingram 1 AST),"[1628984, 1627742]",1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,25.55,Made,3.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2021-10-27T23:46:09.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,5.863994743758213,47.30392156862745,1610612737,3,0,2021-10-27T23:47:21Z,90000,13.0,3.0,1,left,MISS C. Capela cutting Layup,[203991],1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,1.37,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2021-10-27T23:46:09.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,3,0,2021-10-27T23:47:38Z,100000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M15.00S,2021-10-27T23:46:17.0Z,1,REGULAR,3pt,Jump Shot,[],1627742,72.22404730617609,78.18627450980392,1610612740,6,0,2021-10-27T23:47:43Z,110000,141.0,209.0,1,right,B. Ingram 25' 3PT  (3 PTS) (D. Graham 1 AST),"[1627742, 1628984]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,25.17,Made,3.0,D. Graham,1628984.0,1.0,,,,,,,,,,,,,,,
13,PT11M03.00S,2021-10-27T23:46:29.5Z,1,REGULAR,3pt,Jump Shot,[],1629027,34.773324572930356,41.17647058823529,1610612737,6,0,2021-10-27T23:48:00Z,130000,44.0,274.0,1,left,MISS T. Young 27' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,27.79,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2021-10-27T23:46:32.4Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,6,0,2021-10-27T23:46:32Z,140000,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,
15,PT10M56.00S,2021-10-27T23:46:36.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629631,4.28712220762155,17.401960784313726,1610612737,6,0,2021-10-27T23:46:44Z,150000,163.0,-12.0,1,left,MISS D. Hunter 16' Jump Shot,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,16.35,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2021-10-27T23:46:42.5Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612737,6,0,2021-10-27T23:46:44Z,160000,,,0,,J. Collins REBOUND (Off:1 Def:0),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,
17,PT10M45.00S,2021-10-27T23:46:47.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629631,6.1268068331143235,46.07843137254902,1610612737,6,2,2021-10-27T23:46:52Z,170000,20.0,5.0,1,left,D. Hunter driving Layup (2 PTS) (T. Young 1 AST),"[1629631, 1629027]",1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,2.03,Made,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,,,
18,PT10M27.00S,2021-10-27T23:47:08.8Z,1,REGULAR,2pt,Jump Shot,[],1627742,72.7496714848883,52.450980392156865,1610612740,8,2,2021-10-27T23:47:17Z,180000,12.0,204.0,1,right,B. Ingram 20' turnaround Jump Shot (5 PTS) (H. Jones 1 AST),"[1627742, 1630529]",1610612740.0,NOP,turnaround,,,Ingram,B. Ingram,,,,,20.41,Made,5.0,H. Jones,1630529.0,1.0,,,,,,,,,,,,,,,
20,PT10M27.00S,2021-10-27T23:47:11.9Z,1,REGULAR,foul,personal,['1freethrow'],1629631,,,1610612740,8,2,2021-10-27T23:47:28Z,200000,,,0,,D. Hunter shooting personal FOUL (1 PF) (Ingram 1 FT),"[1629631, 1627742]",1610612737.0,ATL,shooting,,,Hunter,D. Hunter,,,,,,,,,,,,,,,2003.0,1.0,0.0,Ingram,1627742.0,,,,,,
22,PT10M27.00S,2021-10-27T23:47:38.4Z,1,REGULAR,freethrow,1 of 1,[],1627742,,,1610612740,9,2,2021-10-27T23:47:38Z,220000,,,0,,B. Ingram Free Throw 1 of 1 (6 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
23,PT10M15.00S,2021-10-27T23:47:51.6Z,1,REGULAR,2pt,Jump Shot,[],1629027,22.552562417871222,52.450980392156865,1610612737,9,2,2021-10-27T23:50:20Z,230000,-12.0,159.0,1,left,MISS T. Young 16' pullup Shot,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,16.0,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M09.00S,2021-10-27T23:47:57.0Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,9,2,2021-10-27T23:47:57Z,240000,,,0,,C. Capela REBOUND (Off:2 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,23.0,2.0,0.0,2.0,,,,,,,,,,,
25,PT10M01.00S,2021-10-27T23:48:04.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,7.440867279894875,44.11764705882353,1610612737,9,2,2021-10-27T23:48:14Z,250000,29.0,17.0,1,left,MISS C. Capela Layup - blocked,"[203991, 1630529]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,3.42,Missed,,,,,,,,,,,,,,Jones,1630529.0,,,,
26,PT10M01.00S,2021-10-27T23:48:04.8Z,1,REGULAR,block,,[],1630529,,,1610612737,9,2,2021-10-27T23:48:07Z,260000,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M57.00S,2021-10-27T23:48:08.8Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,9,2,2021-10-27T23:48:14Z,270000,,,0,,C. Capela REBOUND (Off:3 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,25.0,3.0,0.0,3.0,,,,,,,,,,,
81,PT09M56.00S,2021-10-27T23:48:09.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,7.884362680683312,44.55422794117647,1610612737,9,2,2021-10-28T00:48:25Z,275000,27.0,22.0,1,left,MISS C. Capela Layup,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,3.47,Missed,,,,,,,,,,,,,,,,,,,
83,PT09M56.00S,2021-10-27T23:48:09.2Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612737,9,2,2021-10-27T23:58:38Z,278750,,,0,,J. Collins REBOUND (Off:2 Def:0),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,81.0,2.0,0.0,2.0,,,,,,,,,,,
28,PT09M52.00S,2021-10-27T23:48:13.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628381,10.5946123521682,62.254901960784316,1610612737,9,4,2021-10-28T00:01:08Z,280000,-61.0,47.0,1,left,J. Collins 7' tip Layup (2 PTS),[1628381],1610612737.0,ATL,tip,,,Collins,J. Collins,,,,,7.73,Made,2.0,,,,,,,,,,,,,,,,,,
