actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-18T01:10:35.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-18T01:10:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-18T01:10:38.8Z,1,REGULAR,jumpball,recovered,[],1628960,,,1610612749,0,0,2021-12-18T01:10:38Z,40000,,,0,,Jump Ball D. Cousins vs. J. Valanciunas: Tip to G. Allen,"[1628960, 202326, 202685]",1610612749.0,MIL,startperiod,G. Allen,1628960.0,Allen,G. Allen,Cousins,202326.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-12-18T01:10:55.5Z,1,REGULAR,3pt,Jump Shot,[],202326,66.04796320630749,48.77450980392157,1610612749,0,0,2021-12-18T01:11:00Z,70000,-6.0,267.0,1,right,MISS D. Cousins 26' 3PT,[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,26.67,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2021-12-18T01:10:58.5Z,1,REGULAR,rebound,offensive,[],1629670,,,1610612749,0,0,2021-12-18T01:11:00Z,80000,,,0,,J. Nwora REBOUND (Off:1 Def:0),[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2021-12-18T01:10:59.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629670,88.78120893561103,49.754901960784316,1610612749,0,0,2021-12-18T01:11:55Z,90000,-1.0,53.0,1,right,MISS J. Nwora floating Shot,[1629670],1610612749.0,MIL,floating,,,Nwora,J. Nwora,,,,,5.3,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M35.00S,2021-12-18T01:10:59.6Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,0,0,2021-12-18T01:11:06Z,100000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M19.00S,2021-12-18T01:11:15.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630529,5.601182654402102,48.28431372549019,1610612740,2,0,2021-12-18T01:11:22Z,110000,9.0,0.0,1,left,H. Jones cutting DUNK (2 PTS) (B. Ingram 1 AST),"[1630529, 1627742]",1610612740.0,NOP,cutting,,,Jones,H. Jones,,,,,0.86,Made,,,,,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,
13,PT11M13.00S,2021-12-18T01:11:24.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,2,0,2021-12-18T01:11:24Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2021-12-18T01:11:49.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,92.9862023653088,45.588235294117645,1610612749,2,0,2021-12-18T01:13:26Z,140000,-22.0,13.0,1,right,MISS J. Holiday driving Layup,[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,2.58,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M04.00S,2021-12-18T01:11:50.5Z,1,REGULAR,rebound,offensive,[],202326,,,1610612749,2,0,2021-12-18T01:13:26Z,150000,,,0,,D. Cousins REBOUND (Off:1 Def:0),[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
16,PT11M03.00S,2021-12-18T01:11:59.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202326,94.40999984741211,50.0,1610612749,2,2,2021-12-18T01:13:36Z,160000,0.0,0.0,1,right,D. Cousins putback Layup (2 PTS),[202326],1610612749.0,MIL,putback,,,Cousins,D. Cousins,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
17,PT10M44.00S,2021-12-18T01:12:08.4Z,1,REGULAR,2pt,Jump Shot,[],1627742,21.76412614980289,30.392156862745097,1610612740,2,2,2021-12-18T01:12:12Z,170000,98.0,152.0,1,left,MISS B. Ingram 18' Jump Shot,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,18.09,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M42.00S,2021-12-18T01:12:10.4Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,2,2,2021-12-18T01:12:12Z,180000,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
19,PT10M33.00S,2021-12-18T01:12:19.8Z,1,REGULAR,3pt,Jump Shot,[],202326,72.35545335085413,16.911764705882355,1610612749,2,2,2021-12-18T01:12:26Z,190000,-165.0,207.0,1,right,MISS D. Cousins 26' 3PT,[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,26.53,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M31.00S,2021-12-18T01:12:21.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,2,2,2021-12-18T01:12:26Z,200000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,
21,PT10M31.00S,2021-12-18T01:12:27.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,2,2,2021-12-18T01:12:27Z,210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M24.00S,2021-12-18T01:12:40.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202326,93.64323258869908,45.83333333333333,1610612749,2,4,2021-12-18T01:12:45Z,220000,-21.0,7.0,1,right,D. Cousins cutting Layup (4 PTS) (J. Holiday 1 AST),"[202326, 201950]",1610612749.0,MIL,cutting,,,Cousins,D. Cousins,,,,,2.2,Made,,,,,4.0,J. Holiday,201950.0,1.0,,,,,,,,,,,
