actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-23T01:10:30.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-23T01:10:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-23T01:10:33.1Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612740,0,0,2021-11-23T01:10:33Z,40000,,,0,,Jump Ball J. Valanciunas vs. K. Towns: Tip to J. Hart,"[1628404, 202685, 1626157]",1610612740.0,NOP,startperiod,J. Hart,1628404.0,Hart,J. Hart,Valanciunas,202685.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-11-23T01:10:49.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,91.40932982917214,47.794117647058826,1610612740,0,0,2021-11-23T01:11:50Z,70000,-11.0,28.0,1,right,MISS J. Valanciunas cutting Layup,[202685],1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,3.04,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2021-11-23T01:10:55.3Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,0,0,2021-11-23T01:10:55Z,80000,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M34.00S,2021-11-23T01:10:55.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,94.40999984741211,50.0,1610612740,2,0,2021-11-23T01:10:55Z,90000,0.0,0.0,1,right,J. Valanciunas tip Layup (2 PTS),[202685],1610612740.0,NOP,tip,,,Valanciunas,J. Valanciunas,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M23.00S,2021-11-23T01:11:12.2Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612750,2,0,2021-11-23T01:11:19Z,100000,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Towns 2 FT),"[202685, 1626157]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,204059.0,1.0,0.0,Towns,1626157.0,,,,,,,,,
12,PT11M23.00S,2021-11-23T01:11:40.4Z,1,REGULAR,freethrow,1 of 2,[],1626157,,,1610612750,2,1,2021-11-23T01:11:40Z,120000,,,0,,K. Towns Free Throw 1 of 2 (1 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
13,PT11M23.00S,2021-11-23T01:11:59.1Z,1,REGULAR,freethrow,2 of 2,[],1626157,,,1610612750,2,2,2021-11-23T01:11:59Z,130000,,,0,,K. Towns Free Throw 2 of 2 (2 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
14,PT10M58.00S,2021-11-23T01:12:25.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,93.24901445466492,56.372549019607845,1610612740,2,2,2021-11-23T01:12:30Z,140000,32.0,11.0,1,right,MISS J. Valanciunas Layup,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,3.37,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2021-11-23T01:12:27.4Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,2,2,2021-11-23T01:12:30Z,150000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
16,PT10M49.00S,2021-11-23T01:12:33.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,11.383048620236531,49.01960784313725,1610612750,2,4,2021-11-23T01:13:24Z,160000,5.0,55.0,1,left,K. Towns driving Hook (4 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,5.47,Made,,,,,4.0,,,,,,D. Russell,1626156.0,1.0,,,,,,
18,PT10M43.00S,2021-11-23T01:12:39.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627742,76.5604467805519,9.803921568627452,1610612740,2,4,2021-11-23T01:12:45Z,180000,-201.0,168.0,1,right,MISS B. Ingram 26' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,26.18,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M41.00S,2021-11-23T01:12:41.3Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,2,4,2021-11-23T01:12:45Z,190000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT10M33.00S,2021-11-23T01:12:50.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626157,4.418528252299605,49.754901960784316,1610612750,2,6,2021-11-23T01:12:57Z,200000,1.0,-11.0,1,left,K. Towns driving DUNK (6 PTS),[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,1.11,Made,,,,,6.0,,,,,,,,,,,,,,
21,PT10M16.00S,2021-11-23T01:13:06.7Z,1,REGULAR,3pt,Jump Shot,[],1627742,92.85479632063075,2.696078431372549,1610612740,2,6,2021-11-23T01:14:46Z,210000,-237.0,15.0,1,right,MISS B. Ingram 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,23.7,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M13.00S,2021-11-23T01:13:09.7Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,2,6,2021-11-23T01:13:13Z,220000,,,0,,J. Valanciunas REBOUND (Off:2 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,21.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
23,PT10M13.00S,2021-11-23T01:13:12.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202685,94.40999984741211,50.0,1610612740,2,6,2021-11-23T01:13:16Z,230000,0.0,0.0,1,right,MISS J. Valanciunas tip Layup,[202685],1610612740.0,NOP,tip,,,Valanciunas,J. Valanciunas,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M13.00S,2021-11-23T01:13:12.3Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,2,6,2021-11-23T01:22:25Z,240000,,,0,,J. Valanciunas REBOUND (Off:3 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,23.0,3.0,0.0,3.0,,,,,,,,,,,,,,,
75,PT10M13.00S,2021-11-23T01:13:14.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,92.85479632063075,50.245098039215684,1610612740,2,6,2021-11-23T01:21:19Z,245000,1.0,15.0,1,right,MISS J. Valanciunas tip Layup,[202685],1610612740.0,NOP,tip,,,Valanciunas,J. Valanciunas,,,,,1.47,Missed,,,,,,,,,,,,,,,,,,,
76,PT10M13.00S,2021-11-23T01:13:14.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,2,6,2021-11-23T01:22:18Z,247500,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,
25,PT10M13.00S,2021-11-23T01:13:15.8Z,1,REGULAR,foul,personal,[],1626157,,,1610612740,2,6,2021-11-23T01:13:22Z,250000,,,0,,K. Towns loose ball personal FOUL (1 PF),"[1626157, 202685]",1610612750.0,MIN,loose ball,,,Towns,K. Towns,,,,,,,,,,,,204059.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,,
27,PT10M03.00S,2021-11-23T01:13:49.1Z,1,REGULAR,turnover,traveling,[],1627742,,,1610612740,2,6,2021-11-23T01:13:59Z,270000,,,0,,B. Ingram traveling TURNOVER (1 TO),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,204059.0,,,,,,,,1.0,,,,,
28,PT09M48.00S,2021-11-23T01:14:17.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626156,5.469776609724048,53.431372549019606,1610612750,2,6,2021-11-23T01:14:24Z,280000,-17.0,-1.0,1,left,MISS D. Russell driving Layup,[1626156],1610612750.0,MIN,driving,,,Russell,D. Russell,,,,,1.72,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M47.00S,2021-11-23T01:14:19.3Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,2,6,2021-11-23T01:14:19Z,290000,,,0,,K. Towns REBOUND (Off:1 Def:0),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,28.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
30,PT09M46.00S,2021-11-23T01:14:20.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626157,7.30946123521682,44.36274509803921,1610612750,2,6,2021-11-23T01:18:12Z,300000,28.0,16.0,1,left,MISS K. Towns putback Layup - blocked,"[1626157, 1627742]",1610612750.0,MIN,putback,,,Towns,K. Towns,,,,,3.25,Missed,,,,,,,,,,,,,,,Ingram,1627742.0,,,
31,PT09M46.00S,2021-11-23T01:14:20.4Z,1,REGULAR,block,,[],1627742,,,1610612750,2,6,2021-11-23T01:14:22Z,310000,,,0,,B. Ingram BLOCK (1 BLK),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,
