actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-30T00:10:28.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-30T00:10:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-10-30T00:10:32.6Z,1,REGULAR,jumpball,recovered,[],203090,,,1610612758,0,0,2021-10-30T00:10:32Z,40000,,,0,,Jump Ball R. Holmes vs. J. Valanciunas: Tip to M. Harkless,"[203090, 1626158, 202685]",1610612758.0,SAC,startperiod,M. Harkless,203090.0,Harkless,M. Harkless,Holmes,1626158.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-10-30T00:10:45.2Z,1,REGULAR,turnover,bad pass,[],1628368,,,1610612758,0,0,2021-10-30T00:10:53Z,70000,,,0,,D. Fox bad pass TURNOVER (1 TO),"[1628368, 1630529]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,1.0,Jones,1630529.0,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2021-10-30T00:10:45.2Z,1,REGULAR,steal,,[],1630529,,,1610612740,0,0,2021-10-30T00:10:48Z,80000,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2021-10-30T00:10:51.6Z,1,REGULAR,turnover,out-of-bounds,[],1627742,,,1610612740,0,0,2021-10-30T00:11:00Z,90000,,,0,,B. Ingram bad pass out-of-bounds TURNOVER (1 TO),[1627742],1610612740.0,NOP,bad pass,,,Ingram,B. Ingram,,,,,1.0,,,202041.0,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2021-10-30T00:11:15.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628368,28.33442838370565,77.20588235294117,1610612758,0,3,2021-10-30T00:11:37Z,100000,-136.0,214.0,1,left,D. Fox 25' 3PT step back (3 PTS),[1628368],1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,,,,,25.34,Made,3.0,,,,,,,,,,,,,,
11,PT11M02.00S,2021-10-30T00:11:37.6Z,1,REGULAR,3pt,Jump Shot,[],1627742,71.30420499342969,19.11764705882353,1610612740,0,3,2021-10-30T00:11:44Z,110000,-154.0,217.0,1,right,MISS B. Ingram 26' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,26.65,Missed,,,,,,,,,,,,,,,
12,PT10M57.00S,2021-10-30T00:11:42.6Z,1,REGULAR,rebound,offensive,[],1627742,,,1610612740,0,3,2021-10-30T00:13:26Z,120000,,,0,,B. Ingram REBOUND (Off:1 Def:0),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT10M51.00S,2021-10-30T00:11:48.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,93.9060446780552,54.41176470588235,1610612740,2,3,2021-10-30T00:11:54Z,130000,22.0,5.0,1,right,J. Valanciunas Layup (2 PTS) (N. Alexander-Walker 1 AST),"[202685, 1629638]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,2.26,Made,2.0,,,,,N. Alexander-Walker,1629638.0,1.0,,,,,,,
15,PT10M42.00S,2021-10-30T00:11:58.2Z,1,REGULAR,turnover,bad pass,[],1628368,,,1610612758,2,3,2021-10-30T00:12:06Z,150000,,,0,,D. Fox bad pass TURNOVER (2 TO),"[1628368, 1629638]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,2.0,Alexander-Walker,1629638.0,,,,,,,,,,,,,,,,,,
